ward,precinct,total,"Alfred M. Swanson, Jr.","Alfred M. Swanson, Jr. Percent",precinct_id
1,1,51,12,23.53,01001
1,2,58,15,25.86,01002
1,3,36,17,47.22,01003
1,4,24,9,37.5,01004
1,5,18,5,27.78,01005
1,6,42,21,50.0,01006
1,7,83,18,21.69,01007
1,8,56,13,23.21,01008
1,9,104,23,22.12,01009
1,10,26,8,30.77,01010
1,11,42,15,35.71,01011
1,12,39,13,33.33,01012
1,13,41,13,31.71,01013
1,14,37,11,29.73,01014
1,15,35,9,25.71,01015
1,16,81,20,24.69,01016
1,17,61,24,39.34,01017
1,18,54,18,33.33,01018
1,19,131,47,35.88,01019
1,20,47,16,34.04,01020
1,21,19,3,15.79,01021
1,22,26,7,26.92,01022
1,23,125,26,20.8,01023
1,24,41,8,19.51,01024
1,25,28,5,17.86,01025
1,26,53,10,18.87,01026
1,27,34,9,26.47,01027
1,28,40,14,35.0,01028
1,29,37,11,29.73,01029
1,30,73,21,28.77,01030
1,31,67,17,25.37,01031
1,32,35,14,40.0,01032
1,33,23,7,30.43,01033
1,34,71,15,21.13,01034
1,35,30,10,33.33,01035
1,36,33,8,24.24,01036
1,37,27,8,29.63,01037
1,38,61,15,24.59,01038
1,39,17,6,35.29,01039
1,40,52,19,36.54,01040
1,41,71,15,21.13,01041
1,42,35,8,22.86,01042
1,43,79,22,27.85,01043
1,44,15,5,33.33,01044
2,1,34,14,41.18,02001
2,2,52,17,32.69,02002
2,3,35,9,25.71,02003
2,4,26,9,34.62,02004
2,5,27,5,18.52,02005
2,6,31,9,29.03,02006
2,7,26,4,15.38,02007
2,8,25,7,28.0,02008
2,9,22,7,31.82,02009
2,10,72,23,31.94,02010
2,11,59,19,32.2,02011
2,12,59,19,32.2,02012
2,13,87,31,35.63,02013
2,14,58,14,24.14,02014
2,15,63,26,41.27,02015
2,16,26,9,34.62,02016
2,17,50,17,34.0,02017
2,18,68,17,25.0,02018
2,19,70,14,20.0,02019
2,20,15,7,46.67,02020
2,21,38,12,31.58,02021
2,22,41,18,43.9,02022
2,23,46,10,21.74,02023
2,24,42,16,38.1,02024
2,25,38,13,34.21,02025
2,26,35,6,17.14,02026
2,27,46,16,34.78,02027
2,28,37,10,27.03,02028
2,29,46,11,23.91,02029
2,30,41,16,39.02,02030
2,31,69,24,34.78,02031
2,32,27,9,33.33,02032
2,33,98,40,40.82,02033
2,34,59,33,55.93,02034
2,35,32,12,37.5,02035
2,36,34,15,44.12,02036
2,37,48,20,41.67,02037
2,38,37,6,16.22,02038
2,39,47,16,34.04,02039
2,40,30,14,46.67,02040
2,41,19,3,15.79,02041
2,42,52,15,28.85,02042
2,43,38,9,23.68,02043
2,44,28,6,21.43,02044
2,45,87,37,42.53,02045
2,46,23,5,21.74,02046
3,1,99,33,33.33,03001
3,2,196,91,46.43,03002
3,3,98,39,39.8,03003
3,4,139,50,35.97,03004
3,5,66,30,45.45,03005
3,6,45,20,44.44,03006
3,7,106,38,35.85,03007
3,8,73,40,54.79,03008
3,9,100,40,40.0,03009
3,10,50,21,42.0,03010
3,11,89,27,30.34,03011
3,12,171,63,36.84,03012
3,13,66,25,37.88,03013
3,14,58,12,20.69,03014
3,15,74,33,44.59,03015
3,16,85,27,31.76,03016
3,17,37,16,43.24,03017
3,18,123,41,33.33,03018
3,19,73,24,32.88,03019
3,20,95,37,38.95,03020
3,21,113,46,40.71,03021
3,22,43,13,30.23,03022
3,23,104,36,34.62,03023
3,24,113,39,34.51,03024
3,25,70,25,35.71,03025
3,26,103,45,43.69,03026
3,27,32,10,31.25,03027
3,28,98,40,40.82,03028
