ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,precinct_id
28,1,68,68,100.0,28001
28,12,77,77,100.0,28012
28,14,89,89,100.0,28014
28,31,156,156,100.0,28031
28,39,56,56,100.0,28039
28,41,66,66,100.0,28041
28,42,68,68,100.0,28042
28,43,104,104,100.0,28043
29,2,183,183,100.0,29002
29,3,121,121,100.0,29003
29,6,71,71,100.0,29006
29,8,45,45,100.0,29008
29,11,58,58,100.0,29011
29,14,138,138,100.0,29014
29,16,140,140,100.0,29016
29,18,92,92,100.0,29018
29,19,132,132,100.0,29019
29,20,129,129,100.0,29020
29,21,89,89,100.0,29021
29,22,76,76,100.0,29022
29,28,181,181,100.0,29028
29,34,39,39,100.0,29034
29,42,132,132,100.0,29042
37,1,48,48,100.0,37001
37,5,109,109,100.0,37005
37,6,104,104,100.0,37006
37,9,79,79,100.0,37009
37,10,84,84,100.0,37010
37,11,44,44,100.0,37011
37,14,75,75,100.0,37014
37,15,105,105,100.0,37015
37,16,84,84,100.0,37016
37,17,67,67,100.0,37017
37,20,63,63,100.0,37020
37,22,10,10,100.0,37022
37,23,107,107,100.0,37023
37,24,77,77,100.0,37024
37,25,89,89,100.0,37025
37,26,49,49,100.0,37026
37,27,109,109,100.0,37027
37,29,74,74,100.0,37029
37,30,68,68,100.0,37030
37,31,100,100,100.0,37031
37,32,84,84,100.0,37032
37,33,136,136,100.0,37033
37,34,82,82,100.0,37034
37,36,77,77,100.0,37036
37,38,111,111,100.0,37038
37,39,82,82,100.0,37039
37,40,111,111,100.0,37040
37,41,85,85,100.0,37041
