ward,precinct,total,Thaddeus Jones,Thaddeus Jones Percent,Kenneth ''Kenny'' Williams,Kenneth ''Kenny'' Williams Percent,precinct_id
9,3,55,36,65.45,19,34.55,09003
9,4,2,2,100.0,0,0.0,09004
9,7,77,53,68.83,24,31.17,09007
9,11,75,55,73.33,20,26.67,09011
9,15,60,30,50.0,30,50.0,09015
9,16,121,86,71.07,35,28.93,09016
9,18,79,55,69.62,24,30.38,09018
9,26,59,38,64.41,21,35.59,09026
9,28,26,19,73.08,7,26.92,09028
9,31,0,0,0.0,0,0.0,09031
9,33,78,54,69.23,24,30.77,09033
9,41,88,62,70.45,26,29.55,09041
9,44,87,62,71.26,25,28.74,09044
9,45,85,61,71.76,24,28.24,09045
