ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,precinct_id
6,10,59,59,100.0,06010
6,17,80,80,100.0,06017
6,19,25,25,100.0,06019
6,20,67,67,100.0,06020
6,22,60,60,100.0,06022
6,25,55,55,100.0,06025
6,26,23,23,100.0,06026
6,27,56,56,100.0,06027
17,2,63,63,100.0,17002
17,4,85,85,100.0,17004
17,5,70,70,100.0,17005
17,9,71,71,100.0,17009
17,10,84,84,100.0,17010
17,11,63,63,100.0,17011
17,15,85,85,100.0,17015
17,18,85,85,100.0,17018
17,20,112,112,100.0,17020
17,21,9,9,100.0,17021
17,22,86,86,100.0,17022
17,23,56,56,100.0,17023
17,24,105,105,100.0,17024
17,26,79,79,100.0,17026
17,27,75,75,100.0,17027
17,28,49,49,100.0,17028
17,29,88,88,100.0,17029
17,32,46,46,100.0,17032
17,34,48,48,100.0,17034
17,37,66,66,100.0,17037
17,38,80,80,100.0,17038
17,39,86,86,100.0,17039
17,40,96,96,100.0,17040
17,41,86,86,100.0,17041
18,4,98,98,100.0,18004
18,6,39,39,100.0,18006
18,7,59,59,100.0,18007
18,8,97,97,100.0,18008
18,9,80,80,100.0,18009
18,10,138,138,100.0,18010
18,12,76,76,100.0,18012
18,13,68,68,100.0,18013
18,14,74,74,100.0,18014
18,16,68,68,100.0,18016
18,18,131,131,100.0,18018
18,19,105,105,100.0,18019
18,20,72,72,100.0,18020
18,21,42,42,100.0,18021
18,22,123,123,100.0,18022
18,26,105,105,100.0,18026
18,29,2,2,100.0,18029
18,32,14,14,100.0,18032
18,33,31,31,100.0,18033
18,35,94,94,100.0,18035
18,36,59,59,100.0,18036
18,37,99,99,100.0,18037
18,38,98,98,100.0,18038
18,41,83,83,100.0,18041
21,2,53,53,100.0,21002
21,4,86,86,100.0,21004
21,13,2,2,100.0,21013
21,15,39,39,100.0,21015
21,17,10,10,100.0,21017
21,20,11,11,100.0,21020
21,26,80,80,100.0,21026
21,28,111,111,100.0,21028
21,30,63,63,100.0,21030
21,34,27,27,100.0,21034
21,43,93,93,100.0,21043
21,44,25,25,100.0,21044
21,47,75,75,100.0,21047
21,51,111,111,100.0,21051
21,52,68,68,100.0,21052
21,53,32,32,100.0,21053
21,54,79,79,100.0,21054
