ward,precinct,total,Frank L Mc Partlin,Frank L Mc Partlin Percent,precinct_id
38,2,49,49,100.0,38002
38,3,27,27,100.0,38003
38,4,65,65,100.0,38004
38,5,61,61,100.0,38005
38,6,54,54,100.0,38006
38,7,57,57,100.0,38007
38,9,58,58,100.0,38009
38,12,58,58,100.0,38012
38,13,57,57,100.0,38013
38,16,45,45,100.0,38016
38,17,68,68,100.0,38017
38,19,23,23,100.0,38019
38,20,49,49,100.0,38020
38,24,51,51,100.0,38024
38,26,33,33,100.0,38026
38,27,43,43,100.0,38027
38,28,55,55,100.0,38028
38,29,43,43,100.0,38029
38,30,40,40,100.0,38030
38,38,51,51,100.0,38038
41,1,47,47,100.0,41001
41,2,77,77,100.0,41002
41,3,53,53,100.0,41003
41,4,69,69,100.0,41004
41,5,65,65,100.0,41005
41,6,70,70,100.0,41006
41,7,48,48,100.0,41007
41,8,48,48,100.0,41008
41,9,55,55,100.0,41009
41,10,64,64,100.0,41010
41,11,55,55,100.0,41011
41,12,67,67,100.0,41012
41,13,40,40,100.0,41013
41,14,54,54,100.0,41014
41,15,71,71,100.0,41015
41,16,64,64,100.0,41016
41,17,82,82,100.0,41017
41,18,35,35,100.0,41018
41,19,30,30,100.0,41019
41,20,73,73,100.0,41020
41,21,67,67,100.0,41021
41,22,70,70,100.0,41022
41,23,54,54,100.0,41023
41,24,48,48,100.0,41024
41,25,30,30,100.0,41025
41,26,58,58,100.0,41026
41,27,42,42,100.0,41027
41,28,51,51,100.0,41028
41,29,24,24,100.0,41029
41,30,57,57,100.0,41030
41,31,95,95,100.0,41031
41,32,45,45,100.0,41032
41,33,51,51,100.0,41033
41,34,53,53,100.0,41034
41,35,78,78,100.0,41035
41,36,50,50,100.0,41036
41,37,53,53,100.0,41037
41,38,50,50,100.0,41038
41,39,62,62,100.0,41039
41,40,65,65,100.0,41040
41,41,41,41,100.0,41041
41,42,47,47,100.0,41042
41,43,60,60,100.0,41043
41,44,62,62,100.0,41044
41,45,48,48,100.0,41045
41,46,78,78,100.0,41046
41,47,68,68,100.0,41047
