ward,precinct,total,Lauren Brougham Glennon,Lauren Brougham Glennon Percent,Terrence J. McGuire,Terrence J. McGuire Percent,precinct_id
13,1,131,48,36.64,83,63.36,13001
13,2,118,46,38.98,72,61.02,13002
13,3,55,23,41.82,32,58.18,13003
13,4,117,53,45.3,64,54.7,13004
13,5,84,33,39.29,51,60.71,13005
13,6,108,49,45.37,59,54.63,13006
13,7,104,24,23.08,80,76.92,13007
13,8,71,27,38.03,44,61.97,13008
13,9,83,28,33.73,55,66.27,13009
13,10,91,49,53.85,42,46.15,13010
13,11,155,52,33.55,103,66.45,13011
13,12,58,20,34.48,38,65.52,13012
13,13,174,25,14.37,149,85.63,13013
13,14,77,29,37.66,48,62.34,13014
13,15,125,41,32.8,84,67.2,13015
13,16,82,28,34.15,54,65.85,13016
13,17,98,42,42.86,56,57.14,13017
13,18,66,42,63.64,24,36.36,13018
13,19,112,26,23.21,86,76.79,13019
13,20,75,18,24.0,57,76.0,13020
13,21,147,64,43.54,83,56.46,13021
13,22,88,50,56.82,38,43.18,13022
13,23,83,21,25.3,62,74.7,13023
13,24,88,33,37.5,55,62.5,13024
13,25,95,23,24.21,72,75.79,13025
13,26,114,25,21.93,89,78.07,13026
13,27,116,43,37.07,73,62.93,13027
13,28,54,19,35.19,35,64.81,13028
13,29,70,19,27.14,51,72.86,13029
13,30,70,27,38.57,43,61.43,13030
13,31,93,51,54.84,42,45.16,13031
13,32,88,61,69.32,27,30.68,13032
13,33,70,45,64.29,25,35.71,13033
13,34,170,22,12.94,148,87.06,13034
13,35,130,32,24.62,98,75.38,13035
13,36,46,21,45.65,25,54.35,13036
13,37,134,54,40.3,80,59.7,13037
13,38,94,36,38.3,58,61.7,13038
13,39,113,14,12.39,99,87.61,13039
13,40,98,25,25.51,73,74.49,13040
13,41,136,23,16.91,113,83.09,13041
13,42,85,39,45.88,46,54.12,13042
13,43,152,35,23.03,117,76.97,13043
13,44,215,34,15.81,181,84.19,13044
13,45,162,31,19.14,131,80.86,13045
13,46,80,41,51.25,39,48.75,13046
13,47,79,20,25.32,59,74.68,13047
13,48,118,41,34.75,77,65.25,13048
14,1,95,39,41.05,56,58.95,14001
14,2,121,44,36.36,77,63.64,14002
14,3,53,17,32.08,36,67.92,14003
14,4,66,25,37.88,41,62.12,14004
14,7,57,30,52.63,27,47.37,14007
14,8,42,20,47.62,22,52.38,14008
14,9,64,27,42.19,37,57.81,14009
14,12,66,34,51.52,32,48.48,14012
14,13,64,22,34.38,42,65.63,14013
14,18,25,9,36.0,16,64.0,14018
14,22,75,25,33.33,50,66.67,14022
14,23,94,39,41.49,55,58.51,14023
14,24,127,47,37.01,80,62.99,14024
14,27,68,25,36.76,43,63.24,14027
14,28,45,21,46.67,24,53.33,14028
15,22,21,9,42.86,12,57.14,15022
16,29,8,5,62.5,3,37.5,16029
17,1,45,17,37.78,28,62.22,17001
17,3,51,24,47.06,27,52.94,17003
17,8,61,28,45.9,33,54.1,17008
17,11,70,32,45.71,38,54.29,17011
17,12,11,6,54.55,5,45.45,17012
17,14,33,18,54.55,15,45.45,17014
17,17,48,22,45.83,26,54.17,17017
17,19,38,16,42.11,22,57.89,17019
17,25,37,13,35.14,24,64.86,17025
17,30,21,9,42.86,12,57.14,17030
17,31,45,15,33.33,30,66.67,17031
17,32,53,26,49.06,27,50.94,17032
17,33,46,24,52.17,22,47.83,17033
17,34,50,27,54.0,23,46.0,17034
17,35,5,3,60.0,2,40.0,17035
17,36,43,21,48.84,22,51.16,17036
17,37,70,31,44.29,39,55.71,17037
18,1,51,25,49.02,26,50.98,18001
18,2,37,16,43.24,21,56.76,18002
18,3,60,23,38.33,37,61.67,18003
18,4,90,40,44.44,50,55.56,18004
18,5,47,22,46.81,25,53.19,18005
18,6,51,13,25.49,38,74.51,18006
18,7,62,31,50.0,31,50.0,18007
18,8,102,43,42.16,59,57.84,18008
