ward,precinct,total,Jesus G. Garcia,Jesus G. Garcia Percent,precinct_id
11,3,31,31,100.0,11003
11,7,3,3,100.0,11007
11,33,33,33,100.0,11033
11,37,20,20,100.0,11037
11,38,22,22,100.0,11038
12,1,59,59,100.0,12001
12,2,38,38,100.0,12002
12,3,58,58,100.0,12003
12,4,47,47,100.0,12004
12,5,42,42,100.0,12005
12,6,53,53,100.0,12006
12,7,43,43,100.0,12007
12,8,67,67,100.0,12008
12,9,42,42,100.0,12009
12,10,43,43,100.0,12010
12,11,52,52,100.0,12011
12,12,37,37,100.0,12012
12,13,79,79,100.0,12013
12,14,31,31,100.0,12014
12,15,79,79,100.0,12015
12,16,35,35,100.0,12016
12,17,59,59,100.0,12017
12,18,34,34,100.0,12018
12,19,10,10,100.0,12019
12,20,66,66,100.0,12020
12,21,61,61,100.0,12021
12,22,33,33,100.0,12022
12,23,1,1,100.0,12023
13,3,48,48,100.0,13003
13,5,8,8,100.0,13005
13,15,115,115,100.0,13015
13,28,48,48,100.0,13028
13,30,63,63,100.0,13030
13,34,119,119,100.0,13034
13,35,23,23,100.0,13035
13,39,9,9,100.0,13039
13,46,15,15,100.0,13046
14,3,55,55,100.0,14003
14,5,93,93,100.0,14005
14,6,40,40,100.0,14006
14,10,45,45,100.0,14010
14,11,69,69,100.0,14011
14,14,65,65,100.0,14014
14,15,85,85,100.0,14015
14,16,52,52,100.0,14016
14,17,42,42,100.0,14017
14,19,39,39,100.0,14019
14,20,49,49,100.0,14020
14,21,71,71,100.0,14021
14,25,59,59,100.0,14025
14,26,43,43,100.0,14026
14,29,90,90,100.0,14029
14,30,24,24,100.0,14030
14,31,35,35,100.0,14031
15,1,47,47,100.0,15001
15,4,33,33,100.0,15004
15,5,45,45,100.0,15005
15,6,52,52,100.0,15006
15,8,26,26,100.0,15008
15,9,51,51,100.0,15009
15,10,71,71,100.0,15010
15,11,51,51,100.0,15011
15,12,76,76,100.0,15012
15,13,28,28,100.0,15013
15,14,12,12,100.0,15014
15,15,27,27,100.0,15015
15,16,34,34,100.0,15016
15,19,79,79,100.0,15019
16,1,40,40,100.0,16001
16,13,16,16,100.0,16013
16,17,17,17,100.0,16017
16,23,13,13,100.0,16023
16,32,24,24,100.0,16032
16,35,38,38,100.0,16035
17,7,23,23,100.0,17007
17,12,37,37,100.0,17012
17,14,51,51,100.0,17014
20,15,24,24,100.0,20015
20,17,24,24,100.0,20017
20,20,37,37,100.0,20020
22,1,82,82,100.0,22001
22,2,63,63,100.0,22002
22,3,56,56,100.0,22003
22,4,47,47,100.0,22004
22,5,52,52,100.0,22005
22,6,51,51,100.0,22006
22,7,34,34,100.0,22007
22,8,57,57,100.0,22008
22,9,58,58,100.0,22009
22,10,66,66,100.0,22010
22,11,57,57,100.0,22011
22,12,65,65,100.0,22012
22,13,44,44,100.0,22013
22,14,41,41,100.0,22014
22,15,40,40,100.0,22015
22,16,43,43,100.0,22016
22,17,50,50,100.0,22017
22,18,47,47,100.0,22018
22,20,44,44,100.0,22020
22,22,35,35,100.0,22022
22,23,120,120,100.0,22023
22,24,55,55,100.0,22024
22,25,43,43,100.0,22025
23,5,51,51,100.0,23005
23,7,48,48,100.0,23007
23,9,44,44,100.0,23009
23,10,39,39,100.0,23010
23,11,40,40,100.0,23011
23,13,35,35,100.0,23013
23,15,53,53,100.0,23015
23,17,20,20,100.0,23017
23,19,28,28,100.0,23019
23,20,25,25,100.0,23020
23,24,38,38,100.0,23024
23,26,33,33,100.0,23026
23,30,59,59,100.0,23030
23,31,17,17,100.0,23031
23,32,51,51,100.0,23032
23,33,36,36,100.0,23033
23,34,43,43,100.0,23034
23,39,41,41,100.0,23039
24,7,22,22,100.0,24007
24,16,42,42,100.0,24016
25,1,53,53,100.0,25001
25,2,37,37,100.0,25002
25,5,44,44,100.0,25005
25,7,42,42,100.0,25007
25,8,33,33,100.0,25008
25,9,42,42,100.0,25009
25,11,56,56,100.0,25011
25,12,51,51,100.0,25012
25,13,45,45,100.0,25013
25,14,2,2,100.0,25014
25,15,39,39,100.0,25015
25,17,66,66,100.0,25017
25,19,42,42,100.0,25019
25,22,42,42,100.0,25022
25,23,56,56,100.0,25023
25,24,26,26,100.0,25024
25,26,32,32,100.0,25026
25,27,2,2,100.0,25027
25,28,46,46,100.0,25028
25,30,37,37,100.0,25030
25,32,46,46,100.0,25032
28,19,0,0,0.0,28019
28,34,4,4,100.0,28034
