ward,precinct,total,Cynthia M. Santos,Cynthia M. Santos Percent,Frank Avila,Frank Avila Percent,Timothy ''Tim'' Bradford,Timothy ''Tim'' Bradford Percent,Josina Morita,Josina Morita Percent,Tom Courtney,Tom Courtney Percent,Adam Miguest,Adam Miguest Percent,John S. Xydakis,John S. Xydakis Percent,Frank Edward Gardner,Frank Edward Gardner Percent,Kathleen Mary O'Reilley,Kathleen Mary O'Reilley Percent,Brendan Francis Houlihan,Brendan Francis Houlihan Percent,precinct_id
1,1,124,34,27.42,24,19.35,17,13.71,26,20.97,3,2.42,0,0.0,3,2.42,3,2.42,12,9.68,2,1.61,01001
1,2,165,44,26.67,35,21.21,14,8.48,22,13.33,12,7.27,5,3.03,6,3.64,7,4.24,16,9.7,4,2.42,01002
1,3,94,13,13.83,23,24.47,16,17.02,14,14.89,6,6.38,3,3.19,3,3.19,3,3.19,8,8.51,5,5.32,01003
1,4,75,15,20.0,16,21.33,8,10.67,13,17.33,4,5.33,5,6.67,2,2.67,3,4.0,6,8.0,3,4.0,01004
1,5,39,9,23.08,8,20.51,4,10.26,7,17.95,0,0.0,2,5.13,1,2.56,0,0.0,6,15.38,2,5.13,01005
1,6,116,21,18.1,29,25.0,18,15.52,23,19.83,3,2.59,1,0.86,0,0.0,9,7.76,10,8.62,2,1.72,01006
1,7,217,49,22.58,45,20.74,22,10.14,31,14.29,12,5.53,7,3.23,10,4.61,7,3.23,27,12.44,7,3.23,01007
1,8,161,39,24.22,30,18.63,26,16.15,27,16.77,13,8.07,5,3.11,4,2.48,4,2.48,12,7.45,1,0.62,01008
1,9,256,90,35.16,41,16.02,17,6.64,36,14.06,12,4.69,7,2.73,6,2.34,8,3.13,31,12.11,8,3.13,01009
1,10,59,6,10.17,12,20.34,11,18.64,8,13.56,2,3.39,3,5.08,3,5.08,2,3.39,7,11.86,5,8.47,01010
1,11,123,23,18.7,22,17.89,14,11.38,25,20.33,6,4.88,7,5.69,4,3.25,4,3.25,9,7.32,9,7.32,01011
1,12,94,20,21.28,12,12.77,7,7.45,15,15.96,5,5.32,4,4.26,7,7.45,3,3.19,17,18.09,4,4.26,01012
1,13,128,33,25.78,17,13.28,10,7.81,19,14.84,8,6.25,4,3.13,5,3.91,7,5.47,14,10.94,11,8.59,01013
1,14,97,23,23.71,22,22.68,13,13.4,12,12.37,3,3.09,2,2.06,1,1.03,4,4.12,11,11.34,6,6.19,01014
1,15,100,30,30.0,16,16.0,11,11.0,18,18.0,4,4.0,2,2.0,1,1.0,3,3.0,13,13.0,2,2.0,01015
