ward,precinct,total,"Luis Arroyo, Jr.","Luis Arroyo, Jr. Percent",Edwin ''Eddie'' Reyes,Edwin ''Eddie'' Reyes Percent,precinct_id
1,1,58,25,43.1,33,56.9,01001
1,2,75,32,42.67,43,57.33,01002
1,7,90,47,52.22,43,47.78,01007
1,9,138,92,66.67,46,33.33,01009
1,13,55,31,56.36,24,43.64,01013
1,15,39,14,35.9,25,64.1,01015
1,16,88,43,48.86,45,51.14,01016
1,17,62,30,48.39,32,51.61,01017
1,18,62,31,50.0,31,50.0,01018
1,19,159,72,45.28,87,54.72,01019
1,20,54,28,51.85,26,48.15,01020
1,22,42,15,35.71,27,64.29,01022
1,23,141,65,46.1,76,53.9,01023
1,24,46,26,56.52,20,43.48,01024
1,25,35,17,48.57,18,51.43,01025
1,26,63,40,63.49,23,36.51,01026
1,27,32,21,65.63,11,34.38,01027
1,29,34,21,61.76,13,38.24,01029
1,30,94,31,32.98,63,67.02,01030
1,31,80,35,43.75,45,56.25,01031
1,34,87,46,52.87,41,47.13,01034
1,38,12,8,66.67,4,33.33,01038
1,41,89,31,34.83,58,65.17,01041
1,42,33,19,57.58,14,42.42,01042
1,43,88,48,54.55,40,45.45,01043
1,44,15,5,33.33,10,66.67,01044
26,1,33,21,63.64,12,36.36,26001
26,2,58,33,56.9,25,43.1,26002
26,3,41,28,68.29,13,31.71,26003
26,4,59,48,81.36,11,18.64,26004
26,5,45,26,57.78,19,42.22,26005
26,6,42,30,71.43,12,28.57,26006
26,7,60,31,51.67,29,48.33,26007
26,8,31,21,67.74,10,32.26,26008
26,9,60,42,70.0,18,30.0,26009
26,10,52,24,46.15,28,53.85,26010
26,11,47,24,51.06,23,48.94,26011
26,12,51,33,64.71,18,35.29,26012
26,13,56,39,69.64,17,30.36,26013
26,14,34,19,55.88,15,44.12,26014
26,15,24,17,70.83,7,29.17,26015
26,16,29,15,51.72,14,48.28,26016
26,17,28,16,57.14,12,42.86,26017
26,18,58,43,74.14,15,25.86,26018
26,19,31,18,58.06,13,41.94,26019
26,20,39,17,43.59,22,56.41,26020
26,21,68,43,63.24,25,36.76,26021
26,22,38,30,78.95,8,21.05,26022
26,23,49,33,67.35,16,32.65,26023
26,24,76,59,77.63,17,22.37,26024
26,25,52,33,63.46,19,36.54,26025
26,26,27,15,55.56,12,44.44,26026
26,27,51,39,76.47,12,23.53,26027
26,29,39,17,43.59,22,56.41,26029
26,30,31,19,61.29,12,38.71,26030
26,31,33,22,66.67,11,33.33,26031
26,33,39,23,58.97,16,41.03,26033
26,34,101,58,57.43,43,42.57,26034
26,35,53,26,49.06,27,50.94,26035
26,36,28,16,57.14,12,42.86,26036
26,37,46,31,67.39,15,32.61,26037
26,38,43,35,81.4,8,18.6,26038
26,39,40,31,77.5,9,22.5,26039
26,40,20,12,60.0,8,40.0,26040
26,41,54,26,48.15,28,51.85,26041
26,42,41,24,58.54,17,41.46,26042
26,43,44,22,50.0,22,50.0,26043
26,44,25,18,72.0,7,28.0,26044
26,45,24,15,62.5,9,37.5,26045
26,46,19,16,84.21,3,15.79,26046
26,47,29,21,72.41,8,27.59,26047
26,48,19,10,52.63,9,47.37,26048
26,49,21,17,80.95,4,19.05,26049
30,1,37,20,54.05,17,45.95,30001
30,2,84,53,63.1,31,36.9,30002
30,3,65,28,43.08,37,56.92,30003
30,5,37,27,72.97,10,27.03,30005
30,6,53,31,58.49,22,41.51,30006
30,7,103,60,58.25,43,41.75,30007
30,8,83,50,60.24,33,39.76,30008
30,9,28,10,35.71,18,64.29,30009
30,10,69,41,59.42,28,40.58,30010
30,11,52,37,71.15,15,28.85,30011
30,12,52,31,59.62,21,40.38,30012
30,13,56,28,50.0,28,50.0,30013
30,14,29,24,82.76,5,17.24,30014
30,15,87,46,52.87,41,47.13,30015
30,16,21,13,61.9,8,38.1,30016
30,18,80,47,58.75,33,41.25,30018
30,19,50,34,68.0,16,32.0,30019
30,20,104,64,61.54,40,38.46,30020
30,21,52,31,59.62,21,40.38,30021
30,22,93,37,39.78,56,60.22,30022
30,23,67,33,49.25,34,50.75,30023
30,24,74,37,50.0,37,50.0,30024
30,25,76,36,47.37,40,52.63,30025
30,26,65,35,53.85,30,46.15,30026
30,27,59,39,66.1,20,33.9,30027
30,28,87,50,57.47,37,42.53,30028
30,29,37,20,54.05,17,45.95,30029
30,30,19,11,57.89,8,42.11,30030
30,31,57,35,61.4,22,38.6,30031
30,32,54,31,57.41,23,42.59,30032
31,1,75,46,61.33,29,38.67,31001
31,2,71,45,63.38,26,36.62,31002
31,3,47,24,51.06,23,48.94,31003
31,4,55,26,47.27,29,52.73,31004
31,5,95,63,66.32,32,33.68,31005
31,6,85,55,64.71,30,35.29,31006
31,7,85,44,51.76,41,48.24,31007
31,8,55,35,63.64,20,36.36,31008
31,9,88,62,70.45,26,29.55,31009
31,10,60,33,55.0,27,45.0,31010
31,11,73,46,63.01,27,36.99,31011
31,12,58,26,44.83,32,55.17,31012
31,13,77,46,59.74,31,40.26,31013
31,14,58,36,62.07,22,37.93,31014
31,15,41,16,39.02,25,60.98,31015
31,16,47,16,34.04,31,65.96,31016
31,17,83,46,55.42,37,44.58,31017
31,18,74,44,59.46,30,40.54,31018
31,19,43,24,55.81,19,44.19,31019
31,20,92,67,72.83,25,27.17,31020
31,21,76,58,76.32,18,23.68,31021
31,22,37,30,81.08,7,18.92,31022
31,23,74,49,66.22,25,33.78,31023
31,24,110,73,66.36,37,33.64,31024
31,25,44,29,65.91,15,34.09,31025
31,26,88,52,59.09,36,40.91,31026
31,27,94,69,73.4,25,26.6,31027
31,28,55,31,56.36,24,43.64,31028
31,29,102,45,44.12,57,55.88,31029
31,30,54,41,75.93,13,24.07,31030
31,31,44,31,70.45,13,29.55,31031
31,32,60,38,63.33,22,36.67,31032
31,33,64,39,60.94,25,39.06,31033
31,34,71,32,45.07,39,54.93,31034
31,35,90,67,74.44,23,25.56,31035
31,36,85,47,55.29,38,44.71,31036
31,37,102,56,54.9,46,45.1,31037
31,38,50,24,48.0,26,52.0,31038
31,39,26,12,46.15,14,53.85,31039
31,40,59,33,55.93,26,44.07,31040
31,41,63,42,66.67,21,33.33,31041
32,1,15,11,73.33,4,26.67,32001
32,3,136,50,36.76,86,63.24,32003
32,5,15,12,80.0,3,20.0,32005
32,11,139,57,41.01,82,58.99,32011
32,12,112,46,41.07,66,58.93,32012
32,14,114,49,42.98,65,57.02,32014
32,16,55,31,56.36,24,43.64,32016
32,17,132,48,36.36,84,63.64,32017
32,20,133,62,46.62,71,53.38,32020
32,22,141,55,39.01,86,60.99,32022
32,26,156,58,37.18,98,62.82,32026
32,28,118,40,33.9,78,66.1,32028
32,29,61,25,40.98,36,59.02,32029
32,32,5,1,20.0,4,80.0,32032
32,43,85,31,36.47,54,63.53,32043
33,1,102,74,72.55,28,27.45,33001
33,3,88,50,56.82,38,43.18,33003
33,4,99,72,72.73,27,27.27,33004
33,5,60,30,50.0,30,50.0,33005
33,6,124,87,70.16,37,29.84,33006
33,8,18,2,11.11,16,88.89,33008
33,9,28,14,50.0,14,50.0,33009
33,11,95,61,64.21,34,35.79,33011
33,12,137,95,69.34,42,30.66,33012
33,13,85,42,49.41,43,50.59,33013
33,14,46,18,39.13,28,60.87,33014
33,15,107,68,63.55,39,36.45,33015
33,16,170,99,58.24,71,41.76,33016
33,17,110,64,58.18,46,41.82,33017
33,19,85,45,52.94,40,47.06,33019
33,20,108,58,53.7,50,46.3,33020
33,21,101,59,58.42,42,41.58,33021
33,22,23,20,86.96,3,13.04,33022
33,26,69,35,50.72,34,49.28,33026
33,27,56,35,62.5,21,37.5,33027
33,28,82,36,43.9,46,56.1,33028
35,1,80,37,46.25,43,53.75,35001
35,2,116,31,26.72,85,73.28,35002
35,3,63,31,49.21,32,50.79,35003
35,4,91,36,39.56,55,60.44,35004
35,5,61,25,40.98,36,59.02,35005
35,6,55,20,36.36,35,63.64,35006
35,7,60,28,46.67,32,53.33,35007
35,8,60,27,45.0,33,55.0,35008
35,9,64,43,67.19,21,32.81,35009
35,10,140,58,41.43,82,58.57,35010
35,11,75,37,49.33,38,50.67,35011
35,12,43,32,74.42,11,25.58,35012
35,13,54,43,79.63,11,20.37,35013
35,14,45,22,48.89,23,51.11,35014
35,15,110,50,45.45,60,54.55,35015
35,16,67,39,58.21,28,41.79,35016
35,17,106,44,41.51,62,58.49,35017
35,18,50,34,68.0,16,32.0,35018
35,19,45,27,60.0,18,40.0,35019
35,20,61,35,57.38,26,42.62,35020
35,21,61,35,57.38,26,42.62,35021
35,22,66,41,62.12,25,37.88,35022
35,23,90,53,58.89,37,41.11,35023
35,24,73,36,49.32,37,50.68,35024
35,25,104,53,50.96,51,49.04,35025
35,26,53,33,62.26,20,37.74,35026
35,27,70,45,64.29,25,35.71,35027
35,28,114,31,27.19,83,72.81,35028
35,29,39,24,61.54,15,38.46,35029
35,30,67,43,64.18,24,35.82,35030
35,31,82,37,45.12,45,54.88,35031
36,2,42,31,73.81,11,26.19,36002
36,4,4,2,50.0,2,50.0,36004
36,5,73,35,47.95,38,52.05,36005
36,6,47,26,55.32,21,44.68,36006
36,8,49,26,53.06,23,46.94,36008
36,9,59,38,64.41,21,35.59,36009
36,11,42,23,54.76,19,45.24,36011
36,12,35,21,60.0,14,40.0,36012
36,13,28,19,67.86,9,32.14,36013
36,21,47,38,80.85,9,19.15,36021
36,22,34,26,76.47,8,23.53,36022
36,23,45,31,68.89,14,31.11,36023
36,25,37,28,75.68,9,24.32,36025
39,6,0,0,0.0,0,0.0,39006
45,1,62,29,46.77,33,53.23,45001
45,2,87,43,49.43,44,50.57,45002
45,3,79,32,40.51,47,59.49,45003
