ward,precinct,total,Robert D. Kuzas,Robert D. Kuzas Percent,precinct_id
4,20,0,0,0.0,04020
11,6,25,25,100.0,11006
11,7,27,27,100.0,11007
22,19,0,0,0.0,22019
22,21,75,75,100.0,22021
24,1,62,62,100.0,24001
24,2,44,44,100.0,24002
24,3,53,53,100.0,24003
24,4,33,33,100.0,24004
24,5,33,33,100.0,24005
24,6,54,54,100.0,24006
24,8,26,26,100.0,24008
24,9,42,42,100.0,24009
24,10,28,28,100.0,24010
24,11,48,48,100.0,24011
24,12,28,28,100.0,24012
24,13,31,31,100.0,24013
24,14,47,47,100.0,24014
24,15,29,29,100.0,24015
24,17,49,49,100.0,24017
24,18,75,75,100.0,24018
24,19,74,74,100.0,24019
24,20,36,36,100.0,24020
24,21,30,30,100.0,24021
24,22,59,59,100.0,24022
24,23,45,45,100.0,24023
24,24,53,53,100.0,24024
24,25,44,44,100.0,24025
24,26,99,99,100.0,24026
24,27,75,75,100.0,24027
24,28,44,44,100.0,24028
24,29,51,51,100.0,24029
24,30,29,29,100.0,24030
24,31,53,53,100.0,24031
24,32,43,43,100.0,24032
24,33,20,20,100.0,24033
24,34,50,50,100.0,24034
24,35,52,52,100.0,24035
24,36,76,76,100.0,24036
24,37,11,11,100.0,24037
24,38,44,44,100.0,24038
24,40,46,46,100.0,24040
24,41,52,52,100.0,24041
25,3,30,30,100.0,25003
25,4,2,2,100.0,25004
25,10,25,25,100.0,25010
25,16,28,28,100.0,25016
25,20,22,22,100.0,25020
25,27,8,8,100.0,25027
25,29,54,54,100.0,25029
25,31,18,18,100.0,25031
26,2,30,30,100.0,26002
26,10,30,30,100.0,26010
26,17,24,24,100.0,26017
26,31,13,13,100.0,26031
26,46,14,14,100.0,26046
27,2,48,48,100.0,27002
27,3,27,27,100.0,27003
27,4,43,43,100.0,27004
27,5,39,39,100.0,27005
27,8,47,47,100.0,27008
27,10,70,70,100.0,27010
27,14,31,31,100.0,27014
27,15,50,50,100.0,27015
27,16,20,20,100.0,27016
27,17,47,47,100.0,27017
27,18,65,65,100.0,27018
27,19,37,37,100.0,27019
27,22,41,41,100.0,27022
27,23,69,69,100.0,27023
27,24,34,34,100.0,27024
27,25,50,50,100.0,27025
27,26,83,83,100.0,27026
27,27,52,52,100.0,27027
27,29,51,51,100.0,27029
27,30,36,36,100.0,27030
27,31,51,51,100.0,27031
27,32,50,50,100.0,27032
27,33,32,32,100.0,27033
27,34,64,64,100.0,27034
27,36,49,49,100.0,27036
27,39,68,68,100.0,27039
27,41,70,70,100.0,27041
27,43,36,36,100.0,27043
27,44,49,49,100.0,27044
27,45,17,17,100.0,27045
27,49,31,31,100.0,27049
27,50,63,63,100.0,27050
28,1,48,48,100.0,28001
28,2,57,57,100.0,28002
28,3,45,45,100.0,28003
28,4,16,16,100.0,28004
28,5,46,46,100.0,28005
28,6,54,54,100.0,28006
28,7,60,60,100.0,28007
28,8,16,16,100.0,28008
28,9,60,60,100.0,28009
28,10,33,33,100.0,28010
28,11,51,51,100.0,28011
28,12,49,49,100.0,28012
28,13,58,58,100.0,28013
28,14,70,70,100.0,28014
28,15,26,26,100.0,28015
28,16,55,55,100.0,28016
28,17,54,54,100.0,28017
28,18,52,52,100.0,28018
28,19,34,34,100.0,28019
28,20,56,56,100.0,28020
28,21,67,67,100.0,28021
28,22,54,54,100.0,28022
28,23,88,88,100.0,28023
28,24,56,56,100.0,28024
28,25,103,103,100.0,28025
28,26,88,88,100.0,28026
28,27,45,45,100.0,28027
28,28,48,48,100.0,28028
28,29,24,24,100.0,28029
28,30,19,19,100.0,28030
28,31,129,129,100.0,28031
28,32,53,53,100.0,28032
28,33,80,80,100.0,28033
28,34,69,69,100.0,28034
28,35,51,51,100.0,28035
28,36,42,42,100.0,28036
28,37,93,93,100.0,28037
28,38,37,37,100.0,28038
28,39,44,44,100.0,28039
28,40,102,102,100.0,28040
28,41,58,58,100.0,28041
28,42,69,69,100.0,28042
28,43,80,80,100.0,28043
28,44,73,73,100.0,28044
28,45,11,11,100.0,28045
28,46,66,66,100.0,28046
29,2,137,137,100.0,29002
29,3,93,93,100.0,29003
29,4,123,123,100.0,29004
29,5,87,87,100.0,29005
29,6,61,61,100.0,29006
29,8,38,38,100.0,29008
29,11,42,42,100.0,29011
29,13,59,59,100.0,29013
29,14,103,103,100.0,29014
29,16,133,133,100.0,29016
29,18,64,64,100.0,29018
29,19,100,100,100.0,29019
29,20,100,100,100.0,29020
29,21,58,58,100.0,29021
29,22,52,52,100.0,29022
29,25,118,118,100.0,29025
29,26,104,104,100.0,29026
29,27,67,67,100.0,29027
29,28,146,146,100.0,29028
29,33,72,72,100.0,29033
29,34,40,40,100.0,29034
29,35,51,51,100.0,29035
29,37,89,89,100.0,29037
29,40,117,117,100.0,29040
29,41,69,69,100.0,29041
29,42,81,81,100.0,29042
29,44,134,134,100.0,29044
37,1,31,31,100.0,37001
37,3,31,31,100.0,37003
37,4,56,56,100.0,37004
37,5,85,85,100.0,37005
37,6,82,82,100.0,37006
37,7,33,33,100.0,37007
37,8,44,44,100.0,37008
37,9,64,64,100.0,37009
37,11,40,40,100.0,37011
37,13,66,66,100.0,37013
37,14,50,50,100.0,37014
37,15,78,78,100.0,37015
37,17,64,64,100.0,37017
37,18,86,86,100.0,37018
37,19,50,50,100.0,37019
37,20,54,54,100.0,37020
37,21,48,48,100.0,37021
37,22,8,8,100.0,37022
37,23,86,86,100.0,37023
37,24,7,7,100.0,37024
