ward,precinct,total,Al Riley,Al Riley Percent,Dorian C. Myrickes,Dorian C. Myrickes Percent,precinct_id
5,1,52,39,75.0,13,25.0,05001
5,6,83,59,71.08,24,28.92,05006
5,10,40,24,60.0,16,40.0,05010
5,11,63,46,73.02,17,26.98,05011
5,14,123,87,70.73,36,29.27,05014
5,18,7,6,85.71,1,14.29,05018
5,23,100,64,64.0,36,36.0,05023
5,25,75,60,80.0,15,20.0,05025
5,26,67,53,79.1,14,20.9,05026
5,28,130,100,76.92,30,23.08,05028
5,29,87,56,64.37,31,35.63,05029
5,31,64,52,81.25,12,18.75,05031
5,32,106,77,72.64,29,27.36,05032
5,35,29,21,72.41,8,27.59,05035
5,36,101,65,64.36,36,35.64,05036
5,37,115,83,72.17,32,27.83,05037
5,38,78,53,67.95,25,32.05,05038
5,40,81,61,75.31,20,24.69,05040
5,41,81,60,74.07,21,25.93,05041
6,48,0,0,0.0,0,0.0,06048
7,1,18,15,83.33,3,16.67,07001
7,2,84,63,75.0,21,25.0,07002
7,3,112,85,75.89,27,24.11,07003
7,4,116,79,68.1,37,31.9,07004
7,5,78,56,71.79,22,28.21,07005
7,6,114,82,71.93,32,28.07,07006
7,7,68,44,64.71,24,35.29,07007
7,8,114,94,82.46,20,17.54,07008
7,9,178,118,66.29,60,33.71,07009
7,10,125,96,76.8,29,23.2,07010
7,11,76,59,77.63,17,22.37,07011
7,12,83,52,62.65,31,37.35,07012
7,13,103,70,67.96,33,32.04,07013
7,14,83,55,66.27,28,33.73,07014
7,15,137,106,77.37,31,22.63,07015
7,16,57,43,75.44,14,24.56,07016
7,17,87,59,67.82,28,32.18,07017
7,18,70,52,74.29,18,25.71,07018
7,19,99,75,75.76,24,24.24,07019
7,20,65,44,67.69,21,32.31,07020
7,21,65,50,76.92,15,23.08,07021
7,22,57,38,66.67,19,33.33,07022
7,23,138,107,77.54,31,22.46,07023
7,24,114,85,74.56,29,25.44,07024
7,25,73,52,71.23,21,28.77,07025
7,26,95,72,75.79,23,24.21,07026
7,27,83,54,65.06,29,34.94,07027
7,28,56,44,78.57,12,21.43,07028
7,29,77,53,68.83,24,31.17,07029
7,30,68,43,63.24,25,36.76,07030
7,31,41,31,75.61,10,24.39,07031
7,32,178,145,81.46,33,18.54,07032
7,33,176,137,77.84,39,22.16,07033
7,34,139,115,82.73,24,17.27,07034
7,35,70,52,74.29,18,25.71,07035
7,36,131,98,74.81,33,25.19,07036
7,37,109,86,78.9,23,21.1,07037
7,38,80,55,68.75,25,31.25,07038
7,39,86,67,77.91,19,22.09,07039
7,40,115,82,71.3,33,28.7,07040
7,41,76,52,68.42,24,31.58,07041
7,42,78,56,71.79,22,28.21,07042
7,43,110,75,68.18,35,31.82,07043
7,44,71,59,83.1,12,16.9,07044
7,45,68,47,69.12,21,30.88,07045
7,46,76,61,80.26,15,19.74,07046
8,4,87,72,82.76,15,17.24,08004
8,5,6,5,83.33,1,16.67,08005
8,7,158,117,74.05,41,25.95,08007
8,9,79,59,74.68,20,25.32,08009
8,17,102,78,76.47,24,23.53,08017
8,27,33,24,72.73,9,27.27,08027
8,28,112,86,76.79,26,23.21,08028
8,32,82,61,74.39,21,25.61,08032
8,36,113,81,71.68,32,28.32,08036
8,39,89,66,74.16,23,25.84,08039
8,42,131,110,83.97,21,16.03,08042
8,46,74,56,75.68,18,24.32,08046
8,49,10,5,50.0,5,50.0,08049
8,50,33,24,72.73,9,27.27,08050
8,53,62,47,75.81,15,24.19,08053
9,1,101,65,64.36,36,35.64,09001
9,2,105,83,79.05,22,20.95,09002
9,3,45,34,75.56,11,24.44,09003
9,4,66,52,78.79,14,21.21,09004
9,5,94,66,70.21,28,29.79,09005
9,6,98,70,71.43,28,28.57,09006
9,7,69,52,75.36,17,24.64,09007
9,8,55,44,80.0,11,20.0,09008
9,9,118,91,77.12,27,22.88,09009
9,10,69,50,72.46,19,27.54,09010
9,11,66,47,71.21,19,28.79,09011
9,13,115,82,71.3,33,28.7,09013
9,14,136,108,79.41,28,20.59,09014
9,15,44,30,68.18,14,31.82,09015
9,16,103,70,67.96,33,32.04,09016
9,17,74,51,68.92,23,31.08,09017
9,18,65,52,80.0,13,20.0,09018
9,19,89,63,70.79,26,29.21,09019
9,20,111,84,75.68,27,24.32,09020
9,21,75,54,72.0,21,28.0,09021
9,22,110,79,71.82,31,28.18,09022
9,26,57,34,59.65,23,40.35,09026
9,27,95,76,80.0,19,20.0,09027
9,28,25,18,72.0,7,28.0,09028
9,29,77,56,72.73,21,27.27,09029
9,30,76,58,76.32,18,23.68,09030
9,31,63,54,85.71,9,14.29,09031
9,32,87,70,80.46,17,19.54,09032
9,33,62,48,77.42,14,22.58,09033
9,34,72,52,72.22,20,27.78,09034
9,35,112,75,66.96,37,33.04,09035
9,37,91,57,62.64,34,37.36,09037
9,38,76,53,69.74,23,30.26,09038
9,39,94,74,78.72,20,21.28,09039
9,40,113,81,71.68,32,28.32,09040
9,41,72,55,76.39,17,23.61,09041
9,43,67,44,65.67,23,34.33,09043
9,44,93,81,87.1,12,12.9,09044
9,45,69,54,78.26,15,21.74,09045
9,46,87,60,68.97,27,31.03,09046
10,1,60,33,55.0,27,45.0,10001
10,2,56,43,76.79,13,23.21,10002
10,3,54,40,74.07,14,25.93,10003
10,4,44,28,63.64,16,36.36,10004
10,5,38,27,71.05,11,28.95,10005
10,6,32,21,65.63,11,34.38,10006
10,7,27,19,70.37,8,29.63,10007
10,8,29,15,51.72,14,48.28,10008
10,9,54,34,62.96,20,37.04,10009
10,10,33,22,66.67,11,33.33,10010
10,11,42,31,73.81,11,26.19,10011
10,12,19,5,26.32,14,73.68,10012
10,13,59,42,71.19,17,28.81,10013
10,14,59,44,74.58,15,25.42,10014
10,15,171,110,64.33,61,35.67,10015
10,16,28,14,50.0,14,50.0,10016
10,17,56,37,66.07,19,33.93,10017
10,18,37,24,64.86,13,35.14,10018
10,19,35,21,60.0,14,40.0,10019
10,20,57,40,70.18,17,29.82,10020
10,21,42,24,57.14,18,42.86,10021
10,22,26,21,80.77,5,19.23,10022
10,23,41,20,48.78,21,51.22,10023
10,24,32,17,53.13,15,46.88,10024
10,25,17,11,64.71,6,35.29,10025
10,26,39,28,71.79,11,28.21,10026
10,27,60,37,61.67,23,38.33,10027
10,28,47,37,78.72,10,21.28,10028
10,29,36,27,75.0,9,25.0,10029
10,30,46,30,65.22,16,34.78,10030
10,31,22,14,63.64,8,36.36,10031
10,32,29,19,65.52,10,34.48,10032
10,33,25,18,72.0,7,28.0,10033
10,34,34,19,55.88,15,44.12,10034
10,35,46,26,56.52,20,43.48,10035
10,36,31,24,77.42,7,22.58,10036
34,2,23,21,91.3,2,8.7,34002
34,4,67,51,76.12,16,23.88,34004
34,18,67,50,74.63,17,25.37,34018
34,22,91,69,75.82,22,24.18,34022
34,23,87,68,78.16,19,21.84,34023
34,24,82,63,76.83,19,23.17,34024
34,27,78,61,78.21,17,21.79,34027
34,28,53,43,81.13,10,18.87,34028
34,30,19,13,68.42,6,31.58,34030
34,36,119,99,83.19,20,16.81,34036
34,37,43,35,81.4,8,18.6,34037
34,38,50,40,80.0,10,20.0,34038
34,39,59,50,84.75,9,15.25,34039
34,41,67,43,64.18,24,35.82,34041
34,53,51,44,86.27,7,13.73,34053
