ward,precinct,total,Luis Arroyo,Luis Arroyo Percent,precinct_id
1,2,8,8,100.0,01002
1,17,0,0,0.0,01017
1,26,4,4,100.0,01026
26,24,28,28,100.0,26024
26,37,40,40,100.0,26037
26,40,0,0,0.0,26040
29,15,16,16,100.0,29015
29,23,0,0,0.0,29023
29,24,17,17,100.0,29024
29,29,52,52,100.0,29029
29,30,101,101,100.0,29030
29,31,31,31,100.0,29031
29,36,71,71,100.0,29036
29,38,55,55,100.0,29038
29,39,55,55,100.0,29039
30,2,73,73,100.0,30002
30,5,38,38,100.0,30005
30,6,51,51,100.0,30006
30,9,16,16,100.0,30009
30,10,66,66,100.0,30010
30,11,46,46,100.0,30011
30,12,40,40,100.0,30012
30,13,48,48,100.0,30013
30,14,27,27,100.0,30014
30,16,19,19,100.0,30016
30,19,31,31,100.0,30019
30,21,55,55,100.0,30021
30,29,32,32,100.0,30029
30,30,18,18,100.0,30030
31,3,42,42,100.0,31003
31,4,37,37,100.0,31004
31,14,4,4,100.0,31014
31,15,31,31,100.0,31015
31,16,18,18,100.0,31016
31,19,30,30,100.0,31019
31,21,5,5,100.0,31021
31,22,36,36,100.0,31022
31,25,37,37,100.0,31025
31,31,40,40,100.0,31031
31,39,23,23,100.0,31039
35,2,75,75,100.0,35002
35,3,6,6,100.0,35003
35,7,49,49,100.0,35007
35,8,44,44,100.0,35008
35,14,42,42,100.0,35014
35,18,54,54,100.0,35018
35,19,29,29,100.0,35019
35,21,8,8,100.0,35021
36,1,59,59,100.0,36001
36,2,39,39,100.0,36002
36,3,63,63,100.0,36003
36,4,52,52,100.0,36004
36,5,63,63,100.0,36005
36,6,42,42,100.0,36006
36,7,50,50,100.0,36007
36,8,45,45,100.0,36008
36,9,48,48,100.0,36009
36,10,68,68,100.0,36010
36,11,37,37,100.0,36011
36,12,15,15,100.0,36012
36,13,30,30,100.0,36013
36,15,36,36,100.0,36015
36,18,8,8,100.0,36018
36,19,59,59,100.0,36019
36,21,45,45,100.0,36021
36,22,31,31,100.0,36022
36,23,40,40,100.0,36023
36,24,43,43,100.0,36024
36,25,37,37,100.0,36025
36,26,47,47,100.0,36026
36,27,69,69,100.0,36027
36,28,56,56,100.0,36028
36,29,63,63,100.0,36029
36,30,47,47,100.0,36030
37,22,43,43,100.0,37022
37,26,54,54,100.0,37026
38,4,67,67,100.0,38004
38,8,50,50,100.0,38008
38,10,39,39,100.0,38010
38,16,40,40,100.0,38016
38,21,1,1,100.0,38021
38,37,46,46,100.0,38037
38,39,41,41,100.0,38039
