ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,precinct_id
2,27,18,18,100.0,02027
2,29,4,4,100.0,02029
2,32,30,30,100.0,02032
2,36,31,31,100.0,02036
2,38,6,6,100.0,02038
2,39,44,44,100.0,02039
2,40,33,33,100.0,02040
2,41,5,5,100.0,02041
2,42,29,29,100.0,02042
2,43,33,33,100.0,02043
2,45,90,90,100.0,02045
3,1,55,55,100.0,03001
3,2,162,162,100.0,03002
3,3,13,13,100.0,03003
3,6,44,44,100.0,03006
3,7,144,144,100.0,03007
3,8,71,71,100.0,03008
3,9,104,104,100.0,03009
3,11,42,42,100.0,03011
3,12,123,123,100.0,03012
3,14,72,72,100.0,03014
3,15,72,72,100.0,03015
3,16,92,92,100.0,03016
3,17,38,38,100.0,03017
3,18,60,60,100.0,03018
3,20,95,95,100.0,03020
3,21,85,85,100.0,03021
3,22,45,45,100.0,03022
3,23,106,106,100.0,03023
3,24,114,114,100.0,03024
3,25,69,69,100.0,03025
3,27,23,23,100.0,03027
3,28,101,101,100.0,03028
3,29,73,73,100.0,03029
3,31,49,49,100.0,03031
3,32,84,84,100.0,03032
3,33,51,51,100.0,03033
3,34,87,87,100.0,03034
3,35,58,58,100.0,03035
3,36,43,43,100.0,03036
3,37,79,79,100.0,03037
3,38,181,181,100.0,03038
3,39,34,34,100.0,03039
3,40,129,129,100.0,03040
3,41,58,58,100.0,03041
4,2,78,78,100.0,04002
4,6,137,137,100.0,04006
4,11,31,31,100.0,04011
4,14,127,127,100.0,04014
4,16,32,32,100.0,04016
4,21,49,49,100.0,04021
4,25,77,77,100.0,04025
4,36,59,59,100.0,04036
4,38,48,48,100.0,04038
5,2,80,80,100.0,05002
5,12,59,59,100.0,05012
5,13,2,2,100.0,05013
5,30,27,27,100.0,05030
6,7,1,1,100.0,06007
7,1,3,3,100.0,07001
7,3,0,0,0.0,07003
8,1,57,57,100.0,08001
8,2,10,10,100.0,08002
8,9,75,75,100.0,08009
8,13,81,81,100.0,08013
8,16,22,22,100.0,08016
8,20,118,118,100.0,08020
8,21,113,113,100.0,08021
8,26,42,42,100.0,08026
8,28,113,113,100.0,08028
8,43,9,9,100.0,08043
8,54,55,55,100.0,08054
8,55,83,83,100.0,08055
20,1,78,78,100.0,20001
20,3,63,63,100.0,20003
20,7,61,61,100.0,20007
20,8,55,55,100.0,20008
20,10,79,79,100.0,20010
20,11,70,70,100.0,20011
20,12,49,49,100.0,20012
20,14,63,63,100.0,20014
20,18,64,64,100.0,20018
20,19,75,75,100.0,20019
20,23,90,90,100.0,20023
20,27,0,0,0.0,20027
20,30,26,26,100.0,20030
20,31,72,72,100.0,20031
20,33,57,57,100.0,20033
20,35,47,47,100.0,20035
20,37,26,26,100.0,20037
20,39,5,5,100.0,20039
27,38,49,49,100.0,27038
42,10,29,29,100.0,42010
42,14,4,4,100.0,42014
42,15,10,10,100.0,42015
42,19,42,42,100.0,42019
42,20,20,20,100.0,42020
42,22,14,14,100.0,42022
42,23,20,20,100.0,42023
42,25,48,48,100.0,42025
42,27,46,46,100.0,42027
42,32,18,18,100.0,42032
42,33,35,35,100.0,42033
42,39,26,26,100.0,42039
42,40,7,7,100.0,42040
42,42,31,31,100.0,42042
