ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,precinct_id
17,18,4,4,100.0,17018
18,9,29,29,100.0,18009
18,19,2,2,100.0,18019
18,26,8,8,100.0,18026
18,32,86,86,100.0,18032
18,34,161,161,100.0,18034
19,1,100,100,100.0,19001
19,2,164,164,100.0,19002
19,3,63,63,100.0,19003
19,4,114,114,100.0,19004
19,5,160,160,100.0,19005
19,6,85,85,100.0,19006
19,7,126,126,100.0,19007
19,8,100,100,100.0,19008
19,9,81,81,100.0,19009
19,10,135,135,100.0,19010
19,11,98,98,100.0,19011
19,12,89,89,100.0,19012
19,13,144,144,100.0,19013
19,15,107,107,100.0,19015
19,16,110,110,100.0,19016
19,17,96,96,100.0,19017
19,18,115,115,100.0,19018
19,19,139,139,100.0,19019
19,21,79,79,100.0,19021
19,22,120,120,100.0,19022
19,23,101,101,100.0,19023
19,24,99,99,100.0,19024
19,25,118,118,100.0,19025
19,26,127,127,100.0,19026
19,27,71,71,100.0,19027
19,28,132,132,100.0,19028
19,29,60,60,100.0,19029
19,30,86,86,100.0,19030
19,32,101,101,100.0,19032
19,33,89,89,100.0,19033
19,34,110,110,100.0,19034
19,35,127,127,100.0,19035
19,36,112,112,100.0,19036
19,37,118,118,100.0,19037
19,38,98,98,100.0,19038
19,39,30,30,100.0,19039
19,41,89,89,100.0,19041
19,44,100,100,100.0,19044
19,45,133,133,100.0,19045
19,46,141,141,100.0,19046
19,50,72,72,100.0,19050
19,51,148,148,100.0,19051
19,52,96,96,100.0,19052
19,53,83,83,100.0,19053
19,54,59,59,100.0,19054
19,55,57,57,100.0,19055
19,56,133,133,100.0,19056
19,57,128,128,100.0,19057
21,1,109,109,100.0,21001
21,3,92,92,100.0,21003
21,7,114,114,100.0,21007
21,8,103,103,100.0,21008
21,9,119,119,100.0,21009
21,13,58,58,100.0,21013
21,14,122,122,100.0,21014
21,15,24,24,100.0,21015
21,16,82,82,100.0,21016
21,18,118,118,100.0,21018
21,22,24,24,100.0,21022
21,26,1,1,100.0,21026
21,29,66,66,100.0,21029
21,32,97,97,100.0,21032
21,36,37,37,100.0,21036
21,42,45,45,100.0,21042
21,48,31,31,100.0,21048
34,49,7,7,100.0,34049
