ward,precinct,total,John C. D'Amico,John C. D'Amico Percent,precinct_id
33,2,25,25,100.0,33002
33,7,31,31,100.0,33007
35,30,0,0,0.0,35030
39,1,49,49,100.0,39001
39,2,80,80,100.0,39002
39,4,53,53,100.0,39004
39,5,48,48,100.0,39005
39,6,38,38,100.0,39006
39,7,55,55,100.0,39007
39,8,62,62,100.0,39008
39,9,69,69,100.0,39009
39,10,20,20,100.0,39010
39,11,65,65,100.0,39011
39,12,24,24,100.0,39012
39,13,44,44,100.0,39013
39,14,32,32,100.0,39014
39,15,66,66,100.0,39015
39,16,29,29,100.0,39016
39,17,59,59,100.0,39017
39,18,42,42,100.0,39018
39,19,61,61,100.0,39019
39,24,0,0,0.0,39024
39,25,3,3,100.0,39025
39,26,53,53,100.0,39026
39,27,27,27,100.0,39027
39,29,42,42,100.0,39029
39,30,28,28,100.0,39030
39,31,7,7,100.0,39031
39,32,68,68,100.0,39032
39,33,42,42,100.0,39033
39,35,47,47,100.0,39035
39,36,36,36,100.0,39036
39,37,79,79,100.0,39037
39,38,30,30,100.0,39038
39,39,17,17,100.0,39039
39,40,53,53,100.0,39040
39,41,57,57,100.0,39041
39,42,85,85,100.0,39042
39,43,71,71,100.0,39043
39,44,40,40,100.0,39044
39,45,68,68,100.0,39045
40,10,0,0,0.0,40010
41,6,82,82,100.0,41006
41,9,56,56,100.0,41009
41,14,57,57,100.0,41014
41,19,67,67,100.0,41019
41,32,48,48,100.0,41032
41,39,66,66,100.0,41039
41,47,73,73,100.0,41047
45,32,28,28,100.0,45032
50,24,48,48,100.0,50024
50,25,4,4,100.0,50025
