ward,precinct,total,Michael J. Madigan,Michael J. Madigan Percent,precinct_id
11,1,70,70,100.0,11001
11,4,54,54,100.0,11004
11,5,51,51,100.0,11005
11,8,45,45,100.0,11008
11,9,63,63,100.0,11009
11,10,63,63,100.0,11010
11,11,49,49,100.0,11011
11,12,113,113,100.0,11012
11,13,96,96,100.0,11013
11,15,39,39,100.0,11015
11,16,38,38,100.0,11016
11,17,57,57,100.0,11017
11,18,77,77,100.0,11018
11,19,63,63,100.0,11019
11,20,70,70,100.0,11020
11,21,161,161,100.0,11021
11,22,82,82,100.0,11022
11,23,71,71,100.0,11023
11,24,172,172,100.0,11024
11,25,57,57,100.0,11025
11,26,109,109,100.0,11026
11,27,25,25,100.0,11027
11,28,37,37,100.0,11028
11,29,115,115,100.0,11029
11,31,83,83,100.0,11031
11,32,41,41,100.0,11032
11,37,0,0,0.0,11037
12,1,68,68,100.0,12001
12,3,50,50,100.0,12003
12,4,42,42,100.0,12004
12,5,14,14,100.0,12005
12,8,2,2,100.0,12008
12,9,42,42,100.0,12009
12,19,53,53,100.0,12019
12,23,50,50,100.0,12023
13,1,127,127,100.0,13001
13,2,111,111,100.0,13002
13,3,48,48,100.0,13003
13,4,103,103,100.0,13004
13,5,90,90,100.0,13005
13,6,115,115,100.0,13006
13,7,89,89,100.0,13007
13,8,65,65,100.0,13008
13,9,75,75,100.0,13009
13,10,87,87,100.0,13010
13,11,136,136,100.0,13011
13,12,61,61,100.0,13012
13,13,130,130,100.0,13013
13,14,81,81,100.0,13014
13,15,124,124,100.0,13015
13,16,85,85,100.0,13016
13,17,96,96,100.0,13017
13,18,64,64,100.0,13018
13,20,66,66,100.0,13020
13,21,141,141,100.0,13021
13,22,91,91,100.0,13022
13,23,86,86,100.0,13023
13,24,91,91,100.0,13024
13,25,96,96,100.0,13025
13,26,94,94,100.0,13026
13,27,114,114,100.0,13027
13,28,51,51,100.0,13028
13,29,69,69,100.0,13029
13,30,66,66,100.0,13030
13,31,85,85,100.0,13031
13,32,86,86,100.0,13032
13,33,64,64,100.0,13033
13,34,138,138,100.0,13034
13,35,116,116,100.0,13035
13,36,46,46,100.0,13036
13,37,142,142,100.0,13037
13,38,102,102,100.0,13038
13,39,112,112,100.0,13039
13,40,98,98,100.0,13040
13,41,104,104,100.0,13041
13,42,66,66,100.0,13042
13,43,137,137,100.0,13043
13,44,176,176,100.0,13044
13,45,135,135,100.0,13045
13,46,88,88,100.0,13046
13,47,82,82,100.0,13047
13,48,100,100,100.0,13048
14,1,88,88,100.0,14001
14,4,62,62,100.0,14004
14,5,56,56,100.0,14005
14,7,52,52,100.0,14007
14,8,45,45,100.0,14008
14,9,61,61,100.0,14009
14,12,63,63,100.0,14012
14,18,29,29,100.0,14018
14,21,73,73,100.0,14021
14,22,69,69,100.0,14022
14,23,96,96,100.0,14023
14,24,105,105,100.0,14024
14,26,41,41,100.0,14026
14,29,81,81,100.0,14029
15,1,2,2,100.0,15001
15,5,9,9,100.0,15005
15,8,14,14,100.0,15008
15,13,24,24,100.0,15013
15,14,11,11,100.0,15014
15,15,15,15,100.0,15015
15,16,44,44,100.0,15016
15,19,74,74,100.0,15019
16,1,28,28,100.0,16001
16,7,0,0,0.0,16007
16,23,26,26,100.0,16023
16,32,24,24,100.0,16032
16,35,11,11,100.0,16035
18,15,44,44,100.0,18015
18,24,50,50,100.0,18024
18,25,43,43,100.0,18025
18,30,36,36,100.0,18030
18,40,68,68,100.0,18040
18,43,76,76,100.0,18043
18,46,55,55,100.0,18046
19,1,81,81,100.0,19001
19,2,6,6,100.0,19002
19,3,42,42,100.0,19003
19,4,89,89,100.0,19004
19,5,43,43,100.0,19005
19,6,58,58,100.0,19006
19,7,96,96,100.0,19007
19,8,80,80,100.0,19008
19,9,71,71,100.0,19009
19,10,93,93,100.0,19010
19,11,72,72,100.0,19011
19,12,63,63,100.0,19012
19,15,84,84,100.0,19015
19,16,79,79,100.0,19016
19,17,66,66,100.0,19017
19,18,86,86,100.0,19018
19,19,98,98,100.0,19019
19,21,60,60,100.0,19021
19,22,90,90,100.0,19022
19,23,77,77,100.0,19023
19,24,84,84,100.0,19024
19,25,68,68,100.0,19025
19,26,92,92,100.0,19026
19,29,42,42,100.0,19029
19,30,69,69,100.0,19030
19,32,73,73,100.0,19032
19,33,70,70,100.0,19033
19,34,78,78,100.0,19034
19,35,95,95,100.0,19035
19,41,69,69,100.0,19041
19,44,74,74,100.0,19044
19,45,90,90,100.0,19045
19,46,102,102,100.0,19046
19,50,51,51,100.0,19050
19,51,117,117,100.0,19051
19,52,75,75,100.0,19052
19,53,65,65,100.0,19053
19,54,45,45,100.0,19054
