ward,precinct,total,Nyshana K. Sumner,Nyshana K. Sumner Percent,Steven G. Watkins,Steven G. Watkins Percent,precinct_id
6,48,0,0,0.0,0,0.0,06048
9,1,98,48,48.98,50,51.02,09001
9,2,115,91,79.13,24,20.87,09002
9,3,47,29,61.7,18,38.3,09003
9,4,65,26,40.0,39,60.0,09004
9,5,94,37,39.36,57,60.64,09005
9,6,103,39,37.86,64,62.14,09006
9,7,73,37,50.68,36,49.32,09007
9,8,63,28,44.44,35,55.56,09008
9,9,124,66,53.23,58,46.77,09009
9,10,66,32,48.48,34,51.52,09010
9,11,75,35,46.67,40,53.33,09011
9,13,6,4,66.67,2,33.33,09013
9,14,25,11,44.0,14,56.0,09014
9,15,49,29,59.18,20,40.82,09015
9,16,116,45,38.79,71,61.21,09016
9,17,74,39,52.7,35,47.3,09017
9,18,67,35,52.24,32,47.76,09018
9,19,95,37,38.95,58,61.05,09019
9,20,119,63,52.94,56,47.06,09020
9,21,73,31,42.47,42,57.53,09021
9,22,116,45,38.79,71,61.21,09022
9,26,51,25,49.02,26,50.98,09026
9,27,101,52,51.49,49,48.51,09027
9,28,29,14,48.28,15,51.72,09028
9,29,79,27,34.18,52,65.82,09029
9,30,76,37,48.68,39,51.32,09030
9,31,64,36,56.25,28,43.75,09031
9,32,91,42,46.15,49,53.85,09032
9,33,69,33,47.83,36,52.17,09033
9,34,79,46,58.23,33,41.77,09034
9,35,51,33,64.71,18,35.29,09035
9,37,105,66,62.86,39,37.14,09037
9,38,72,42,58.33,30,41.67,09038
9,39,98,41,41.84,57,58.16,09039
9,40,113,42,37.17,71,62.83,09040
9,41,80,39,48.75,41,51.25,09041
9,43,69,45,65.22,24,34.78,09043
9,44,94,49,52.13,45,47.87,09044
9,45,83,33,39.76,50,60.24,09045
9,46,88,39,44.32,49,55.68,09046
19,28,18,12,66.67,6,33.33,19028
19,43,113,48,42.48,65,57.52,19043
21,1,134,51,38.06,83,61.94,21001
21,2,16,9,56.25,7,43.75,21002
21,3,101,49,48.51,52,51.49,21003
21,5,145,75,51.72,70,48.28,21005
21,6,81,38,46.91,43,53.09,21006
21,7,122,66,54.1,56,45.9,21007
21,8,109,59,54.13,50,45.87,21008
21,9,124,50,40.32,74,59.68,21009
21,10,72,28,38.89,44,61.11,21010
21,11,113,46,40.71,67,59.29,21011
21,12,113,48,42.48,65,57.52,21012
21,13,36,18,50.0,18,50.0,21013
21,14,133,59,44.36,74,55.64,21014
21,16,89,38,42.7,51,57.3,21016
21,17,39,20,51.28,19,48.72,21017
21,18,134,62,46.27,72,53.73,21018
21,19,106,40,37.74,66,62.26,21019
