ward,precinct,total,Deborah Sims,Deborah Sims Percent,Timothy ''Tim'' Parker,Timothy ''Tim'' Parker Percent,precinct_id
6,48,0,0,0.0,0,0.0,06048
9,1,98,81,82.65,17,17.35,09001
9,2,17,14,82.35,3,17.65,09002
9,3,52,48,92.31,4,7.69,09003
9,4,76,61,80.26,15,19.74,09004
9,5,109,99,90.83,10,9.17,09005
9,6,114,105,92.11,9,7.89,09006
9,7,82,69,84.15,13,15.85,09007
9,9,139,117,84.17,22,15.83,09009
9,11,79,71,89.87,8,10.13,09011
9,13,135,113,83.7,22,16.3,09013
9,14,160,130,81.25,30,18.75,09014
9,15,62,53,85.48,9,14.52,09015
9,16,127,113,88.98,14,11.02,09016
9,17,29,23,79.31,6,20.69,09017
9,18,72,63,87.5,9,12.5,09018
9,19,100,81,81.0,19,19.0,09019
9,22,126,107,84.92,19,15.08,09022
9,26,61,53,86.89,8,13.11,09026
9,28,29,20,68.97,9,31.03,09028
9,29,89,67,75.28,22,24.72,09029
9,31,80,72,90.0,8,10.0,09031
9,32,102,90,88.24,12,11.76,09032
9,33,77,68,88.31,9,11.69,09033
9,34,82,70,85.37,12,14.63,09034
9,35,129,108,83.72,21,16.28,09035
9,37,3,3,100.0,0,0.0,09037
9,38,84,78,92.86,6,7.14,09038
9,39,107,92,85.98,15,14.02,09039
9,40,129,112,86.82,17,13.18,09040
9,41,94,80,85.11,14,14.89,09041
9,43,71,57,80.28,14,19.72,09043
9,44,99,83,83.84,16,16.16,09044
9,45,88,77,87.5,11,12.5,09045
9,46,86,81,94.19,5,5.81,09046
34,1,151,140,92.72,11,7.28,34001
34,2,159,142,89.31,17,10.69,34002
34,3,111,96,86.49,15,13.51,34003
34,4,80,69,86.25,11,13.75,34004
34,5,103,93,90.29,10,9.71,34005
34,6,161,146,90.68,15,9.32,34006
34,7,142,130,91.55,12,8.45,34007
34,8,85,70,82.35,15,17.65,34008
34,9,68,61,89.71,7,10.29,34009
34,10,154,134,87.01,20,12.99,34010
34,11,69,60,86.96,9,13.04,34011
34,12,126,117,92.86,9,7.14,34012
34,13,138,116,84.06,22,15.94,34013
34,14,83,68,81.93,15,18.07,34014
34,15,58,49,84.48,9,15.52,34015
34,16,82,76,92.68,6,7.32,34016
34,17,114,98,85.96,16,14.04,34017
34,18,78,65,83.33,13,16.67,34018
34,19,92,80,86.96,12,13.04,34019
34,20,175,154,88.0,21,12.0,34020
34,21,179,156,87.15,23,12.85,34021
34,22,129,117,90.7,12,9.3,34022
34,23,100,91,91.0,9,9.0,34023
34,24,97,78,80.41,19,19.59,34024
34,25,146,123,84.25,23,15.75,34025
34,26,112,95,84.82,17,15.18,34026
34,27,94,79,84.04,15,15.96,34027
34,28,66,63,95.45,3,4.55,34028
34,29,70,55,78.57,15,21.43,34029
34,30,145,129,88.97,16,11.03,34030
34,31,112,96,85.71,16,14.29,34031
34,32,113,94,83.19,19,16.81,34032
34,33,86,74,86.05,12,13.95,34033
34,34,134,114,85.07,20,14.93,34034
34,35,88,79,89.77,9,10.23,34035
34,36,139,133,95.68,6,4.32,34036
34,37,47,41,87.23,6,12.77,34037
34,38,66,52,78.79,14,21.21,34038
34,39,68,61,89.71,7,10.29,34039
34,40,125,115,92.0,10,8.0,34040
34,41,83,72,86.75,11,13.25,34041
34,42,134,116,86.57,18,13.43,34042
34,43,139,121,87.05,18,12.95,34043
34,44,125,112,89.6,13,10.4,34044
34,45,138,121,87.68,17,12.32,34045
34,46,94,84,89.36,10,10.64,34046
34,47,72,59,81.94,13,18.06,34047
34,48,141,129,91.49,12,8.51,34048
34,49,123,105,85.37,18,14.63,34049
34,50,86,75,87.21,11,12.79,34050
34,51,131,119,90.84,12,9.16,34051
34,52,131,106,80.92,25,19.08,34052
34,53,58,53,91.38,5,8.62,34053
