ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
2,28,37,37,100.0,02028
2,30,39,39,100.0,02030
2,31,71,71,100.0,02031
2,33,102,102,100.0,02033
2,35,29,29,100.0,02035
2,37,54,54,100.0,02037
2,38,31,31,100.0,02038
2,44,30,30,100.0,02044
27,12,25,25,100.0,27012
27,46,22,22,100.0,27046
43,4,31,31,100.0,43004
43,8,36,36,100.0,43008
43,12,26,26,100.0,43012
43,13,73,73,100.0,43013
43,14,39,39,100.0,43014
43,15,49,49,100.0,43015
43,19,45,45,100.0,43019
43,25,64,64,100.0,43025
43,26,49,49,100.0,43026
43,27,39,39,100.0,43027
43,28,49,49,100.0,43028
43,32,61,61,100.0,43032
43,33,67,67,100.0,43033
43,34,59,59,100.0,43034
43,36,19,19,100.0,43036
43,38,44,44,100.0,43038
43,42,36,36,100.0,43042
43,43,63,63,100.0,43043
44,1,94,94,100.0,44001
44,3,76,76,100.0,44003
44,4,90,90,100.0,44004
44,5,43,43,100.0,44005
44,6,37,37,100.0,44006
44,7,54,54,100.0,44007
44,8,61,61,100.0,44008
44,10,20,20,100.0,44010
44,11,14,14,100.0,44011
44,12,54,54,100.0,44012
44,13,15,15,100.0,44013
44,14,24,24,100.0,44014
44,15,55,55,100.0,44015
44,17,67,67,100.0,44017
44,18,39,39,100.0,44018
44,19,55,55,100.0,44019
44,20,15,15,100.0,44020
44,21,32,32,100.0,44021
44,22,71,71,100.0,44022
44,23,28,28,100.0,44023
44,24,76,76,100.0,44024
44,25,2,2,100.0,44025
44,26,39,39,100.0,44026
44,27,46,46,100.0,44027
44,28,48,48,100.0,44028
44,29,30,30,100.0,44029
44,31,32,32,100.0,44031
44,32,38,38,100.0,44032
44,33,37,37,100.0,44033
44,34,82,82,100.0,44034
44,35,95,95,100.0,44035
44,36,25,25,100.0,44036
44,37,58,58,100.0,44037
44,38,24,24,100.0,44038
44,39,24,24,100.0,44039
44,40,32,32,100.0,44040
44,41,62,62,100.0,44041
46,3,78,78,100.0,46003
46,5,26,26,100.0,46005
46,7,127,127,100.0,46007
46,9,40,40,100.0,46009
46,10,28,28,100.0,46010
46,11,55,55,100.0,46011
46,13,45,45,100.0,46013
46,15,47,47,100.0,46015
46,17,82,82,100.0,46017
46,18,62,62,100.0,46018
46,19,71,71,100.0,46019
46,24,64,64,100.0,46024
46,26,25,25,100.0,46026
46,27,51,51,100.0,46027
46,28,108,108,100.0,46028
46,29,62,62,100.0,46029
46,30,71,71,100.0,46030
46,31,50,50,100.0,46031
46,33,72,72,100.0,46033
46,34,55,55,100.0,46034
46,35,68,68,100.0,46035
46,36,79,79,100.0,46036
46,38,56,56,100.0,46038
46,39,41,41,100.0,46039
