ward,precinct,total,Larry Suffredin,Larry Suffredin Percent,precinct_id
49,1,63,63,100.0,49001
49,3,92,92,100.0,49003
49,5,125,125,100.0,49005
49,6,72,72,100.0,49006
49,7,63,63,100.0,49007
49,8,63,63,100.0,49008
49,9,85,85,100.0,49009
49,10,64,64,100.0,49010
49,11,100,100,100.0,49011
49,12,114,114,100.0,49012
49,13,92,92,100.0,49013
49,14,82,82,100.0,49014
49,15,50,50,100.0,49015
49,16,105,105,100.0,49016
49,17,128,128,100.0,49017
49,19,66,66,100.0,49019
49,20,87,87,100.0,49020
49,21,65,65,100.0,49021
49,22,114,114,100.0,49022
49,23,73,73,100.0,49023
49,24,54,54,100.0,49024
49,25,93,93,100.0,49025
49,26,89,89,100.0,49026
49,27,72,72,100.0,49027
49,29,105,105,100.0,49029
49,30,98,98,100.0,49030
49,31,88,88,100.0,49031
49,32,80,80,100.0,49032
49,33,69,69,100.0,49033
50,1,56,56,100.0,50001
50,2,37,37,100.0,50002
50,3,55,55,100.0,50003
50,4,75,75,100.0,50004
50,5,41,41,100.0,50005
50,6,89,89,100.0,50006
50,7,80,80,100.0,50007
50,8,48,48,100.0,50008
50,9,60,60,100.0,50009
50,10,41,41,100.0,50010
50,11,31,31,100.0,50011
50,12,46,46,100.0,50012
50,13,44,44,100.0,50013
50,14,31,31,100.0,50014
50,15,97,97,100.0,50015
50,16,41,41,100.0,50016
50,18,26,26,100.0,50018
50,19,40,40,100.0,50019
50,20,58,58,100.0,50020
50,21,52,52,100.0,50021
50,22,27,27,100.0,50022
50,27,18,18,100.0,50027
50,28,91,91,100.0,50028
50,31,11,11,100.0,50031
50,32,5,5,100.0,50032
50,33,40,40,100.0,50033
50,34,85,85,100.0,50034
50,35,74,74,100.0,50035
50,36,65,65,100.0,50036
50,37,82,82,100.0,50037
50,38,56,56,100.0,50038
50,40,48,48,100.0,50040
