ward,precinct,total,Esther Golar,Esther Golar Percent,precinct_id
3,1,44,44,100.0,03001
3,3,71,71,100.0,03003
3,5,55,55,100.0,03005
3,10,46,46,100.0,03010
3,13,62,62,100.0,03013
3,18,45,45,100.0,03018
3,26,85,85,100.0,03026
3,29,11,11,100.0,03029
3,36,6,6,100.0,03036
3,41,41,41,100.0,03041
4,13,27,27,100.0,04013
4,16,13,13,100.0,04016
4,17,51,51,100.0,04017
4,20,90,90,100.0,04020
4,21,10,10,100.0,04021
4,37,74,74,100.0,04037
6,15,30,30,100.0,06015
6,18,13,13,100.0,06018
6,28,18,18,100.0,06028
11,12,127,127,100.0,11012
11,13,112,112,100.0,11013
11,20,0,0,0.0,11020
11,21,161,161,100.0,11021
11,24,197,197,100.0,11024
11,28,38,38,100.0,11028
11,29,121,121,100.0,11029
11,31,85,85,100.0,11031
11,32,43,43,100.0,11032
11,34,52,52,100.0,11034
11,35,61,61,100.0,11035
15,1,39,39,100.0,15001
15,2,35,35,100.0,15002
15,3,49,49,100.0,15003
15,5,10,10,100.0,15005
15,7,10,10,100.0,15007
15,13,7,7,100.0,15013
15,14,0,0,0.0,15014
15,17,40,40,100.0,15017
15,18,47,47,100.0,15018
15,20,54,54,100.0,15020
15,21,49,49,100.0,15021
15,22,13,13,100.0,15022
15,23,48,48,100.0,15023
15,24,50,50,100.0,15024
16,2,31,31,100.0,16002
16,3,58,58,100.0,16003
16,4,48,48,100.0,16004
16,5,39,39,100.0,16005
16,6,20,20,100.0,16006
16,8,26,26,100.0,16008
16,9,79,79,100.0,16009
16,10,63,63,100.0,16010
16,12,33,33,100.0,16012
16,14,43,43,100.0,16014
16,15,56,56,100.0,16015
16,17,20,20,100.0,16017
16,18,61,61,100.0,16018
16,19,39,39,100.0,16019
16,20,47,47,100.0,16020
16,21,33,33,100.0,16021
16,22,28,28,100.0,16022
16,25,57,57,100.0,16025
16,26,60,60,100.0,16026
16,27,48,48,100.0,16027
16,28,57,57,100.0,16028
16,30,12,12,100.0,16030
16,31,67,67,100.0,16031
16,33,4,4,100.0,16033
16,34,53,53,100.0,16034
16,36,48,48,100.0,16036
17,6,36,36,100.0,17006
17,8,35,35,100.0,17008
17,16,3,3,100.0,17016
17,17,29,29,100.0,17017
17,25,44,44,100.0,17025
18,50,44,44,100.0,18050
20,2,22,22,100.0,20002
20,4,22,22,100.0,20004
20,6,20,20,100.0,20006
20,13,104,104,100.0,20013
20,15,20,20,100.0,20015
20,17,39,39,100.0,20017
20,20,38,38,100.0,20020
20,21,46,46,100.0,20021
20,25,62,62,100.0,20025
20,27,50,50,100.0,20027
20,29,107,107,100.0,20029
20,32,85,85,100.0,20032
20,36,22,22,100.0,20036
20,38,23,23,100.0,20038
20,39,9,9,100.0,20039
21,12,0,0,0.0,21012
25,14,0,0,0.0,25014
25,21,59,59,100.0,25021
25,27,5,5,100.0,25027
42,5,20,20,100.0,42005
42,9,46,46,100.0,42009
42,10,4,4,100.0,42010
42,12,28,28,100.0,42012
42,14,19,19,100.0,42014
42,15,2,2,100.0,42015
42,17,26,26,100.0,42017
42,18,37,37,100.0,42018
42,21,12,12,100.0,42021
42,33,0,0,0.0,42033
42,36,24,24,100.0,42036
42,37,15,15,100.0,42037
42,38,20,20,100.0,42038
42,41,23,23,100.0,42041
