ward,precinct,total,Gina A. Crumble,Gina A. Crumble Percent,Joanne F. Rosado,Joanne F. Rosado Percent,Scott Michael Kozicki,Scott Michael Kozicki Percent,Pamela McLean Meyerson,Pamela McLean Meyerson Percent,precinct_id
38,11,52,6,11.54,10,19.23,17,32.69,19,36.54,38011
38,12,67,8,11.94,25,37.31,24,35.82,10,14.93,38012
38,13,71,5,7.04,21,29.58,17,23.94,28,39.44,38013
38,14,81,11,13.58,14,17.28,26,32.1,30,37.04,38014
38,15,28,3,10.71,12,42.86,7,25.0,6,21.43,38015
38,16,47,7,14.89,6,12.77,15,31.91,19,40.43,38016
38,17,73,9,12.33,17,23.29,27,36.99,20,27.4,38017
38,18,57,8,14.04,11,19.3,22,38.6,16,28.07,38018
38,19,69,9,13.04,26,37.68,11,15.94,23,33.33,38019
38,20,61,8,13.11,16,26.23,19,31.15,18,29.51,38020
38,21,41,3,7.32,9,21.95,14,34.15,15,36.59,38021
38,22,58,10,17.24,15,25.86,13,22.41,20,34.48,38022
38,23,133,18,13.53,27,20.3,29,21.8,59,44.36,38023
38,24,58,9,15.52,17,29.31,19,32.76,13,22.41,38024
38,25,43,4,9.3,8,18.6,21,48.84,10,23.26,38025
38,26,66,10,15.15,17,25.76,23,34.85,16,24.24,38026
38,27,44,7,15.91,10,22.73,15,34.09,12,27.27,38027
38,28,64,6,9.38,27,42.19,16,25.0,15,23.44,38028
38,29,52,6,11.54,9,17.31,21,40.38,16,30.77,38029
38,30,45,5,11.11,7,15.56,23,51.11,10,22.22,38030
38,33,63,10,15.87,10,15.87,22,34.92,21,33.33,38033
38,34,96,19,19.79,25,26.04,31,32.29,21,21.88,38034
38,35,92,11,11.96,25,27.17,25,27.17,31,33.7,38035
38,36,44,8,18.18,13,29.55,11,25.0,12,27.27,38036
38,37,53,7,13.21,13,24.53,22,41.51,11,20.75,38037
38,38,54,5,9.26,13,24.07,21,38.89,15,27.78,38038
38,39,81,8,9.88,22,27.16,22,27.16,29,35.8,38039
38,40,55,8,14.55,10,18.18,16,29.09,21,38.18,38040
41,25,42,6,14.29,6,14.29,24,57.14,6,14.29,41025
41,27,55,10,18.18,12,21.82,27,49.09,6,10.91,41027
41,28,48,12,25.0,14,29.17,7,14.58,15,31.25,41028
41,29,36,5,13.89,11,30.56,18,50.0,2,5.56,41029
45,4,2,1,50.0,0,0.0,1,50.0,0,0.0,45004
45,5,93,9,9.68,25,26.88,17,18.28,42,45.16,45005
45,6,104,14,13.46,26,25.0,15,14.42,49,47.12,45006
45,7,2,1,50.0,0,0.0,0,0.0,1,50.0,45007
45,8,2,0,0.0,1,50.0,0,0.0,1,50.0,45008
45,9,7,0,0.0,4,57.14,1,14.29,2,28.57,45009
45,10,49,6,12.24,7,14.29,12,24.49,24,48.98,45010
