ward,precinct,total,Mo Khan,Mo Khan Percent,Jerry J. Acciari,Jerry J. Acciari Percent,precinct_id
38,2,62,34,54.84,28,45.16,38002
38,7,29,15,51.72,14,48.28,38007
38,12,83,42,50.6,41,49.4,38012
38,17,17,6,35.29,11,64.71,38017
38,20,62,29,46.77,33,53.23,38020
38,24,1,1,100.0,0,0.0,38024
38,28,68,34,50.0,34,50.0,38028
41,1,61,23,37.7,38,62.3,41001
41,2,94,49,52.13,45,47.87,41002
41,3,17,5,29.41,12,70.59,41003
41,4,93,42,45.16,51,54.84,41004
41,5,88,55,62.5,33,37.5,41005
41,7,75,35,46.67,40,53.33,41007
41,8,59,20,33.9,39,66.1,41008
41,10,82,42,51.22,40,48.78,41010
41,11,73,37,50.68,36,49.32,41011
41,13,52,23,44.23,29,55.77,41013
41,15,86,41,47.67,45,52.33,41015
41,16,85,37,43.53,48,56.47,41016
41,17,92,45,48.91,47,51.09,41017
41,18,47,21,44.68,26,55.32,41018
41,20,80,31,38.75,49,61.25,41020
41,21,78,28,35.9,50,64.1,41021
41,22,82,35,42.68,47,57.32,41022
41,23,73,38,52.05,35,47.95,41023
41,25,34,12,35.29,22,64.71,41025
41,26,77,31,40.26,46,59.74,41026
41,27,52,18,34.62,34,65.38,41027
41,31,114,62,54.39,52,45.61,41031
41,33,57,23,40.35,34,59.65,41033
41,34,61,33,54.1,28,45.9,41034
41,35,87,35,40.23,52,59.77,41035
41,36,61,29,47.54,32,52.46,41036
41,37,60,24,40.0,36,60.0,41037
41,40,79,33,41.77,46,58.23,41040
41,41,56,24,42.86,32,57.14,41041
41,42,62,35,56.45,27,43.55,41042
41,43,72,27,37.5,45,62.5,41043
41,44,74,37,50.0,37,50.0,41044
41,45,56,22,39.29,34,60.71,41045
41,46,99,43,43.43,56,56.57,41046
