ward,precinct,total,Jerry ''Iceman'' Butler,Jerry ''Iceman'' Butler Percent,Rosemary Reeves,Rosemary Reeves Percent,precinct_id
2,2,54,33,61.11,21,38.89,02002
2,9,24,10,41.67,14,58.33,02009
2,10,66,38,57.58,28,42.42,02010
2,11,57,37,64.91,20,35.09,02011
2,12,63,42,66.67,21,33.33,02012
2,13,89,61,68.54,28,31.46,02013
2,18,66,37,56.06,29,43.94,02018
2,19,67,36,53.73,31,46.27,02019
2,23,50,32,64.0,18,36.0,02023
2,27,24,10,41.67,14,58.33,02027
2,28,32,11,34.38,21,65.63,02028
2,29,44,19,43.18,25,56.82,02029
2,30,42,19,45.24,23,54.76,02030
2,31,74,37,50.0,37,50.0,02031
2,33,88,49,55.68,39,44.32,02033
2,34,59,30,50.85,29,49.15,02034
2,35,30,20,66.67,10,33.33,02035
2,36,29,14,48.28,15,51.72,02036
2,37,45,24,53.33,21,46.67,02037
2,38,34,17,50.0,17,50.0,02038
2,42,27,14,51.85,13,48.15,02042
2,44,29,22,75.86,7,24.14,02044
2,46,23,16,69.57,7,30.43,02046
3,1,54,49,90.74,5,9.26,03001
3,2,243,219,90.12,24,9.88,03002
3,4,155,133,85.81,22,14.19,03004
3,7,151,137,90.73,14,9.27,03007
3,9,109,99,90.83,10,9.17,03009
3,11,101,87,86.14,14,13.86,03011
3,12,189,166,87.83,23,12.17,03012
3,15,81,74,91.36,7,8.64,03015
3,18,63,60,95.24,3,4.76,03018
3,19,69,53,76.81,16,23.19,03019
3,20,106,92,86.79,14,13.21,03020
3,21,28,19,67.86,9,32.14,03021
3,23,113,91,80.53,22,19.47,03023
3,24,74,64,86.49,10,13.51,03024
3,27,7,4,57.14,3,42.86,03027
3,29,14,7,50.0,7,50.0,03029
3,30,128,107,83.59,21,16.41,03030
3,31,152,130,85.53,22,14.47,03031
3,35,60,52,86.67,8,13.33,03035
3,37,14,9,64.29,5,35.71,03037
3,38,190,174,91.58,16,8.42,03038
3,41,110,86,78.18,24,21.82,03041
4,1,126,102,80.95,24,19.05,04001
4,2,79,61,77.22,18,22.78,04002
4,3,125,109,87.2,16,12.8,04003
4,4,163,146,89.57,17,10.43,04004
4,5,101,89,88.12,12,11.88,04005
4,6,200,172,86.0,28,14.0,04006
4,7,197,170,86.29,27,13.71,04007
4,8,208,183,87.98,25,12.02,04008
4,9,258,234,90.7,24,9.3,04009
4,10,124,109,87.9,15,12.1,04010
4,11,131,110,83.97,21,16.03,04011
4,12,163,137,84.05,26,15.95,04012
4,13,7,4,57.14,3,42.86,04013
4,14,144,129,89.58,15,10.42,04014
4,15,169,138,81.66,31,18.34,04015
4,16,48,29,60.42,19,39.58,04016
4,17,51,23,45.1,28,54.9,04017
4,18,161,137,85.09,24,14.91,04018
4,19,152,126,82.89,26,17.11,04019
4,20,106,75,70.75,31,29.25,04020
4,21,59,38,64.41,21,35.59,04021
4,22,118,96,81.36,22,18.64,04022
4,23,115,97,84.35,18,15.65,04023
4,24,133,115,86.47,18,13.53,04024
4,25,82,54,65.85,28,34.15,04025
4,26,162,139,85.8,23,14.2,04026
4,27,95,78,82.11,17,17.89,04027
4,28,182,158,86.81,24,13.19,04028
4,29,107,92,85.98,15,14.02,04029
4,30,135,119,88.15,16,11.85,04030
4,31,245,207,84.49,38,15.51,04031
4,32,138,120,86.96,18,13.04,04032
4,33,169,145,85.8,24,14.2,04033
4,34,120,93,77.5,27,22.5,04034
4,35,241,224,92.95,17,7.05,04035
4,36,172,152,88.37,20,11.63,04036
4,37,81,51,62.96,30,37.04,04037
4,38,216,190,87.96,26,12.04,04038
5,1,67,53,79.1,14,20.9,05001
5,2,90,78,86.67,12,13.33,05002
