ward,precinct,total,Nancy Schiavone,Nancy Schiavone Percent,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",Aaron Goldstein,Aaron Goldstein Percent,Wendy Jo Harmston,Wendy Jo Harmston Percent,Mark Pasieka,Mark Pasieka Percent,precinct_id
1,41,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,01041
1,42,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,01042
30,3,69,16,23.19,31,44.93,6,8.7,4,5.8,12,17.39,30003
30,7,5,1,20.0,0,0.0,3,60.0,0,0.0,1,20.0,30007
30,8,89,14,15.73,54,60.67,11,12.36,3,3.37,7,7.87,30008
30,15,98,26,26.53,46,46.94,9,9.18,10,10.2,7,7.14,30015
30,18,34,16,47.06,14,41.18,0,0.0,3,8.82,1,2.94,30018
30,22,100,16,16.0,55,55.0,8,8.0,3,3.0,18,18.0,30022
30,23,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,30023
30,24,68,8,11.76,23,33.82,3,4.41,2,2.94,32,47.06,30024
30,25,40,3,7.5,13,32.5,3,7.5,2,5.0,19,47.5,30025
30,28,99,23,23.23,63,63.64,6,6.06,5,5.05,2,2.02,30028
30,32,58,14,24.14,24,41.38,7,12.07,4,6.9,9,15.52,30032
32,1,15,5,33.33,8,53.33,1,6.67,1,6.67,0,0.0,32001
32,3,77,58,75.32,13,16.88,3,3.9,0,0.0,3,3.9,32003
32,17,133,51,38.35,61,45.86,13,9.77,7,5.26,1,0.75,32017
32,26,52,30,57.69,13,25.0,5,9.62,3,5.77,1,1.92,32026
32,28,58,36,62.07,16,27.59,6,10.34,0,0.0,0,0.0,32028
32,43,89,51,57.3,19,21.35,10,11.24,6,6.74,3,3.37,32043
33,1,114,16,14.04,85,74.56,6,5.26,4,3.51,3,2.63,33001
33,2,39,10,25.64,28,71.79,1,2.56,0,0.0,0,0.0,33002
33,3,79,21,26.58,41,51.9,12,15.19,2,2.53,3,3.8,33003
33,4,101,34,33.66,58,57.43,8,7.92,0,0.0,1,0.99,33004
33,5,58,11,18.97,34,58.62,9,15.52,1,1.72,3,5.17,33005
33,6,143,13,9.09,105,73.43,15,10.49,5,3.5,5,3.5,33006
33,7,62,18,29.03,33,53.23,8,12.9,2,3.23,1,1.61,33007
33,9,120,19,15.83,81,67.5,12,10.0,3,2.5,5,4.17,33009
33,11,113,16,14.16,65,57.52,18,15.93,11,9.73,3,2.65,33011
33,12,155,22,14.19,120,77.42,6,3.87,3,1.94,4,2.58,33012
33,13,90,27,30.0,57,63.33,4,4.44,1,1.11,1,1.11,33013
33,14,45,18,40.0,18,40.0,4,8.89,5,11.11,0,0.0,33014
33,15,124,27,21.77,73,58.87,17,13.71,4,3.23,3,2.42,33015
33,16,176,45,25.57,103,58.52,22,12.5,3,1.7,3,1.7,33016
33,17,125,29,23.2,78,62.4,10,8.0,3,2.4,5,4.0,33017
33,18,63,24,38.1,34,53.97,3,4.76,1,1.59,1,1.59,33018
33,19,95,25,26.32,51,53.68,12,12.63,6,6.32,1,1.05,33019
33,20,117,30,25.64,45,38.46,32,27.35,5,4.27,5,4.27,33020
33,21,107,22,20.56,69,64.49,7,6.54,9,8.41,0,0.0,33021
33,22,190,30,15.79,145,76.32,8,4.21,3,1.58,4,2.11,33022
33,25,126,34,26.98,73,57.94,6,4.76,10,7.94,3,2.38,33025
33,26,70,27,38.57,38,54.29,0,0.0,5,7.14,0,0.0,33026
33,27,58,18,31.03,26,44.83,11,18.97,1,1.72,2,3.45,33027
33,28,87,31,35.63,32,36.78,17,19.54,3,3.45,4,4.6,33028
35,1,80,22,27.5,42,52.5,6,7.5,8,10.0,2,2.5,35001
35,4,98,48,48.98,34,34.69,10,10.2,4,4.08,2,2.04,35004
35,5,64,21,32.81,28,43.75,7,10.94,7,10.94,1,1.56,35005
35,6,53,18,33.96,18,33.96,4,7.55,2,3.77,11,20.75,35006
35,9,71,28,39.44,24,33.8,12,16.9,3,4.23,4,5.63,35009
35,20,68,15,22.06,43,63.24,5,7.35,2,2.94,3,4.41,35020
35,22,68,18,26.47,29,42.65,12,17.65,2,2.94,7,10.29,35022
35,23,105,22,20.95,54,51.43,10,9.52,10,9.52,9,8.57,35023
35,24,82,28,34.15,27,32.93,5,6.1,0,0.0,22,26.83,35024
35,26,58,22,37.93,28,48.28,4,6.9,3,5.17,1,1.72,35026
35,27,69,15,21.74,37,53.62,10,14.49,3,4.35,4,5.8,35027
35,29,40,11,27.5,13,32.5,14,35.0,2,5.0,0,0.0,35029
35,30,71,23,32.39,32,45.07,11,15.49,2,2.82,3,4.23,35030
35,31,83,24,28.92,43,51.81,10,12.05,3,3.61,3,3.61,35031
39,3,71,18,25.35,24,33.8,12,16.9,14,19.72,3,4.23,39003
39,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39006
39,12,41,12,29.27,15,36.59,9,21.95,2,4.88,3,7.32,39012
39,25,49,17,34.69,17,34.69,7,14.29,6,12.24,2,4.08,39025
39,28,125,25,20.0,66,52.8,18,14.4,10,8.0,6,4.8,39028
39,31,59,21,35.59,26,44.07,4,6.78,3,5.08,5,8.47,39031
39,34,88,13,14.77,37,42.05,23,26.14,7,7.95,8,9.09,39034
45,1,75,32,42.67,22,29.33,12,16.0,6,8.0,3,4.0,45001
45,2,93,35,37.63,39,41.94,6,6.45,6,6.45,7,7.53,45002
45,3,97,26,26.8,53,54.64,8,8.25,7,7.22,3,3.09,45003
45,4,132,35,26.52,68,51.52,10,7.58,13,9.85,6,4.55,45004
45,5,126,34,26.98,45,35.71,14,11.11,30,23.81,3,2.38,45005
45,6,139,30,21.58,31,22.3,17,12.23,60,43.17,1,0.72,45006
45,7,141,34,24.11,72,51.06,14,9.93,18,12.77,3,2.13,45007
45,8,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,45008
