ward,precinct,total,Jeffrey R. Tobolski,Jeffrey R. Tobolski Percent,precinct_id
14,2,125,125,100.0,14002
14,7,54,54,100.0,14007
14,8,45,45,100.0,14008
14,12,63,63,100.0,14012
14,13,62,62,100.0,14013
14,18,28,28,100.0,14018
14,22,67,67,100.0,14022
14,27,66,66,100.0,14027
14,28,47,47,100.0,14028
