ward,precinct,total,Antonio ''Tony'' Munoz,Antonio ''Tony'' Munoz Percent,Ricardo Mu̱oz,Ricardo Mu̱oz Percent,Sam J. Morabito,Sam J. Morabito Percent,precinct_id
1,1,55,27,49.09,16,29.09,12,21.82,01001
1,2,67,39,58.21,21,31.34,7,10.45,01002
1,7,77,45,58.44,16,20.78,16,20.78,01007
1,9,122,83,68.03,28,22.95,11,9.02,01009
1,13,47,30,63.83,11,23.4,6,12.77,01013
1,15,38,18,47.37,16,42.11,4,10.53,01015
1,16,82,47,57.32,27,32.93,8,9.76,01016
1,17,56,35,62.5,13,23.21,8,14.29,01017
1,18,58,33,56.9,19,32.76,6,10.34,01018
1,19,153,82,53.59,46,30.07,25,16.34,01019
1,20,47,27,57.45,13,27.66,7,14.89,01020
1,22,36,22,61.11,10,27.78,4,11.11,01022
1,23,118,72,61.02,31,26.27,15,12.71,01023
1,24,48,24,50.0,15,31.25,9,18.75,01024
1,25,34,14,41.18,13,38.24,7,20.59,01025
1,26,62,34,54.84,25,40.32,3,4.84,01026
1,27,30,19,63.33,10,33.33,1,3.33,01027
1,29,35,18,51.43,9,25.71,8,22.86,01029
1,30,81,41,50.62,26,32.1,14,17.28,01030
1,31,76,51,67.11,17,22.37,8,10.53,01031
1,34,80,43,53.75,26,32.5,11,13.75,01034
1,38,52,30,57.69,14,26.92,8,15.38,01038
1,41,79,41,51.9,23,29.11,15,18.99,01041
1,42,34,16,47.06,10,29.41,8,23.53,01042
1,43,86,63,73.26,13,15.12,10,11.63,01043
1,44,15,10,66.67,2,13.33,3,20.0,01044
11,3,37,20,54.05,9,24.32,8,21.62,11003
11,37,0,0,0.0,0,0.0,0,0.0,11037
11,38,23,8,34.78,8,34.78,7,30.43,11038
12,2,40,27,67.5,9,22.5,4,10.0,12002
12,3,8,5,62.5,2,25.0,1,12.5,12003
12,5,33,18,54.55,8,24.24,7,21.21,12005
12,6,54,37,68.52,10,18.52,7,12.96,12006
12,7,48,19,39.58,25,52.08,4,8.33,12007
12,8,72,56,77.78,9,12.5,7,9.72,12008
12,10,38,20,52.63,15,39.47,3,7.89,12010
12,11,56,38,67.86,16,28.57,2,3.57,12011
12,12,42,27,64.29,9,21.43,6,14.29,12012
12,13,90,64,71.11,18,20.0,8,8.89,12013
12,14,32,17,53.13,14,43.75,1,3.13,12014
