ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,Nicholas ''Nick'' Smith,Nicholas ''Nick'' Smith Percent,Robert R. McKay,Robert R. McKay Percent,precinct_id
6,1,146,104,71.23,29,19.86,13,8.9,06001
6,2,116,83,71.55,25,21.55,8,6.9,06002
6,3,134,98,73.13,18,13.43,18,13.43,06003
6,8,141,96,68.09,31,21.99,14,9.93,06008
6,13,94,73,77.66,15,15.96,6,6.38,06013
6,14,94,67,71.28,14,14.89,13,13.83,06014
6,16,61,34,55.74,23,37.7,4,6.56,06016
6,19,13,9,69.23,1,7.69,3,23.08,06019
6,29,148,100,67.57,34,22.97,14,9.46,06029
6,31,132,92,69.7,28,21.21,12,9.09,06031
6,34,105,65,61.9,26,24.76,14,13.33,06034
6,35,89,61,68.54,17,19.1,11,12.36,06035
6,36,131,96,73.28,21,16.03,14,10.69,06036
6,37,154,115,74.68,27,17.53,12,7.79,06037
6,38,143,107,74.83,27,18.88,9,6.29,06038
6,41,124,83,66.94,28,22.58,13,10.48,06041
6,42,102,64,62.75,30,29.41,8,7.84,06042
6,43,7,7,100.0,0,0.0,0,0.0,06043
6,44,97,63,64.95,22,22.68,12,12.37,06044
6,45,119,79,66.39,23,19.33,17,14.29,06045
6,46,91,61,67.03,19,20.88,11,12.09,06046
7,1,97,59,60.82,27,27.84,11,11.34,07001
7,2,85,55,64.71,20,23.53,10,11.76,07002
7,3,125,80,64.0,29,23.2,16,12.8,07003
7,4,125,68,54.4,39,31.2,18,14.4,07004
7,5,82,41,50.0,24,29.27,17,20.73,07005
7,6,115,78,67.83,16,13.91,21,18.26,07006
7,7,77,46,59.74,23,29.87,8,10.39,07007
7,8,114,83,72.81,16,14.04,15,13.16,07008
7,9,184,129,70.11,33,17.93,22,11.96,07009
7,10,131,89,67.94,20,15.27,22,16.79,07010
7,11,78,53,67.95,11,14.1,14,17.95,07011
7,12,82,52,63.41,21,25.61,9,10.98,07012
7,13,108,59,54.63,25,23.15,24,22.22,07013
7,14,78,56,71.79,11,14.1,11,14.1,07014
7,15,144,101,70.14,26,18.06,17,11.81,07015
7,16,56,41,73.21,11,19.64,4,7.14,07016
7,17,84,44,52.38,24,28.57,16,19.05,07017
7,18,69,41,59.42,15,21.74,13,18.84,07018
7,19,105,67,63.81,20,19.05,18,17.14,07019
7,20,74,56,75.68,8,10.81,10,13.51,07020
7,21,64,40,62.5,13,20.31,11,17.19,07021
7,22,53,30,56.6,16,30.19,7,13.21,07022
7,23,149,105,70.47,22,14.77,22,14.77,07023
7,24,127,86,67.72,23,18.11,18,14.17,07024
7,25,72,47,65.28,15,20.83,10,13.89,07025
7,26,99,68,68.69,19,19.19,12,12.12,07026
7,27,86,59,68.6,17,19.77,10,11.63,07027
7,28,65,31,47.69,24,36.92,10,15.38,07028
7,29,83,52,62.65,19,22.89,12,14.46,07029
7,30,70,30,42.86,20,28.57,20,28.57,07030
7,31,46,26,56.52,9,19.57,11,23.91,07031
7,32,192,137,71.35,39,20.31,16,8.33,07032
7,33,187,139,74.33,28,14.97,20,10.7,07033
