ward,precinct,total,Robert Martwick,Robert Martwick Percent,precinct_id
29,29,7,7,100.0,29029
29,31,4,4,100.0,29031
29,32,39,39,100.0,29032
38,1,35,35,100.0,38001
38,3,23,23,100.0,38003
38,5,63,63,100.0,38005
38,6,55,55,100.0,38006
38,7,30,30,100.0,38007
38,9,60,60,100.0,38009
38,11,49,49,100.0,38011
38,13,56,56,100.0,38013
38,14,69,69,100.0,38014
38,15,31,31,100.0,38015
38,17,49,49,100.0,38017
38,18,46,46,100.0,38018
38,19,58,58,100.0,38019
38,21,27,27,100.0,38021
38,22,51,51,100.0,38022
38,24,51,51,100.0,38024
38,25,40,40,100.0,38025
38,26,59,59,100.0,38026
38,27,37,37,100.0,38027
38,29,47,47,100.0,38029
38,30,34,34,100.0,38030
38,31,61,61,100.0,38031
38,32,58,58,100.0,38032
38,33,59,59,100.0,38033
38,36,39,39,100.0,38036
38,38,48,48,100.0,38038
38,40,48,48,100.0,38040
38,41,64,64,100.0,38041
39,20,64,64,100.0,39020
39,21,38,38,100.0,39021
39,23,52,52,100.0,39023
39,24,61,61,100.0,39024
39,41,0,0,0.0,39041
41,3,33,33,100.0,41003
41,12,74,74,100.0,41012
41,24,46,46,100.0,41024
41,30,52,52,100.0,41030
41,38,52,52,100.0,41038
45,12,60,60,100.0,45012
45,13,50,50,100.0,45013
45,14,82,82,100.0,45014
45,15,102,102,100.0,45015
45,16,63,63,100.0,45016
45,17,65,65,100.0,45017
45,18,66,66,100.0,45018
45,19,29,29,100.0,45019
45,20,40,40,100.0,45020
45,21,55,55,100.0,45021
45,22,54,54,100.0,45022
45,23,62,62,100.0,45023
45,24,52,52,100.0,45024
45,25,39,39,100.0,45025
45,26,34,34,100.0,45026
45,27,57,57,100.0,45027
45,28,37,37,100.0,45028
45,29,37,37,100.0,45029
45,30,48,48,100.0,45030
45,31,55,55,100.0,45031
45,32,10,10,100.0,45032
45,33,32,32,100.0,45033
45,34,58,58,100.0,45034
45,35,52,52,100.0,45035
45,36,71,71,100.0,45036
45,37,52,52,100.0,45037
45,38,37,37,100.0,45038
45,39,43,43,100.0,45039
45,40,53,53,100.0,45040
45,41,35,35,100.0,45041
45,42,74,74,100.0,45042
45,43,60,60,100.0,45043
45,44,63,63,100.0,45044
45,45,21,21,100.0,45045
45,46,36,36,100.0,45046
45,47,41,41,100.0,45047
45,48,19,19,100.0,45048
46,24,0,0,0.0,46024
