ward,precinct,total,Michael Francis Otto,Michael Francis Otto Percent,Abbey Fishman Romanek,Abbey Fishman Romanek Percent,Michael Alan Strom,Michael Alan Strom Percent,Brian Alexander,Brian Alexander Percent,Thomas M. Cushing,Thomas M. Cushing Percent,precinct_id
39,13,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,39013
39,18,11,0,0.0,5,45.45,6,54.55,0,0.0,0,0.0,39018
39,32,33,4,12.12,6,18.18,10,30.3,8,24.24,5,15.15,39032
39,36,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,39036
40,9,70,15,21.43,17,24.29,14,20.0,16,22.86,8,11.43,40009
40,10,9,0,0.0,2,22.22,1,11.11,4,44.44,2,22.22,40010
40,18,28,6,21.43,5,17.86,9,32.14,2,7.14,6,21.43,40018
40,27,87,21,24.14,17,19.54,30,34.48,10,11.49,9,10.34,40027
40,28,61,10,16.39,14,22.95,21,34.43,2,3.28,14,22.95,40028
40,35,47,7,14.89,13,27.66,8,17.02,5,10.64,14,29.79,40035
40,37,65,7,10.77,20,30.77,19,29.23,9,13.85,10,15.38,40037
41,6,35,1,2.86,3,8.57,2,5.71,0,0.0,29,82.86,41006
41,9,69,9,13.04,14,20.29,12,17.39,8,11.59,26,37.68,41009
41,14,21,0,0.0,3,14.29,4,19.05,0,0.0,14,66.67,41014
41,19,78,4,5.13,14,17.95,20,25.64,3,3.85,37,47.44,41019
41,47,66,6,9.09,6,9.09,15,22.73,6,9.09,33,50.0,41047
48,13,90,9,10.0,25,27.78,32,35.56,6,6.67,18,20.0,48013
48,15,50,6,12.0,12,24.0,17,34.0,9,18.0,6,12.0,48015
48,22,106,13,12.26,29,27.36,29,27.36,16,15.09,19,17.92,48022
48,27,30,5,16.67,8,26.67,4,13.33,5,16.67,8,26.67,48027
48,31,8,1,12.5,3,37.5,0,0.0,1,12.5,3,37.5,48031
48,32,31,6,19.35,12,38.71,1,3.23,8,25.81,4,12.9,48032
48,33,80,10,12.5,24,30.0,26,32.5,16,20.0,4,5.0,48033
48,46,71,10,14.08,25,35.21,17,23.94,6,8.45,13,18.31,48046
49,1,66,9,13.64,32,48.48,10,15.15,7,10.61,8,12.12,49001
49,3,96,13,13.54,38,39.58,24,25.0,7,7.29,14,14.58,49003
49,4,88,13,14.77,29,32.95,26,29.55,5,5.68,15,17.05,49004
49,5,136,16,11.76,70,51.47,33,24.26,11,8.09,6,4.41,49005
49,6,73,11,15.07,28,38.36,19,26.03,5,6.85,10,13.7,49006
49,7,63,2,3.17,33,52.38,10,15.87,3,4.76,15,23.81,49007
49,8,64,4,6.25,25,39.06,15,23.44,7,10.94,13,20.31,49008
49,9,91,3,3.3,43,47.25,25,27.47,7,7.69,13,14.29,49009
49,10,73,8,10.96,25,34.25,22,30.14,10,13.7,8,10.96,49010
49,11,113,10,8.85,37,32.74,44,38.94,9,7.96,13,11.5,49011
49,12,117,8,6.84,60,51.28,28,23.93,5,4.27,16,13.68,49012
49,13,100,10,10.0,47,47.0,20,20.0,7,7.0,16,16.0,49013
49,14,81,17,20.99,20,24.69,17,20.99,13,16.05,14,17.28,49014
49,15,52,9,17.31,18,34.62,12,23.08,4,7.69,9,17.31,49015
49,16,96,8,8.33,48,50.0,11,11.46,12,12.5,17,17.71,49016
49,18,107,9,8.41,44,41.12,30,28.04,3,2.8,21,19.63,49018
49,19,73,8,10.96,40,54.79,10,13.7,9,12.33,6,8.22,49019
49,20,86,3,3.49,53,61.63,18,20.93,6,6.98,6,6.98,49020
49,21,64,9,14.06,23,35.94,11,17.19,7,10.94,14,21.88,49021
49,22,127,17,13.39,46,36.22,40,31.5,9,7.09,15,11.81,49022
49,23,74,10,13.51,28,37.84,19,25.68,7,9.46,10,13.51,49023
49,24,56,6,10.71,21,37.5,11,19.64,9,16.07,9,16.07,49024
49,25,97,8,8.25,49,50.52,24,24.74,6,6.19,10,10.31,49025
49,26,95,8,8.42,42,44.21,22,23.16,10,10.53,13,13.68,49026
49,27,66,6,9.09,31,46.97,15,22.73,4,6.06,10,15.15,49027
49,28,76,13,17.11,28,36.84,13,17.11,10,13.16,12,15.79,49028
49,29,105,12,11.43,52,49.52,21,20.0,10,9.52,10,9.52,49029
49,30,98,9,9.18,47,47.96,21,21.43,16,16.33,5,5.1,49030
49,31,80,7,8.75,21,26.25,19,23.75,11,13.75,22,27.5,49031
49,32,86,13,15.12,38,44.19,14,16.28,9,10.47,12,13.95,49032
49,33,72,8,11.11,30,41.67,20,27.78,10,13.89,4,5.56,49033
50,1,60,7,11.67,18,30.0,19,31.67,7,11.67,9,15.0,50001
50,2,38,2,5.26,12,31.58,15,39.47,2,5.26,7,18.42,50002
50,3,63,2,3.17,9,14.29,25,39.68,16,25.4,11,17.46,50003
50,4,75,8,10.67,28,37.33,15,20.0,11,14.67,13,17.33,50004
50,5,40,0,0.0,7,17.5,16,40.0,11,27.5,6,15.0,50005
50,6,81,9,11.11,24,29.63,23,28.4,13,16.05,12,14.81,50006
50,7,99,12,12.12,14,14.14,39,39.39,11,11.11,23,23.23,50007
50,8,43,2,4.65,23,53.49,9,20.93,4,9.3,5,11.63,50008
50,9,69,2,2.9,10,14.49,24,34.78,17,24.64,16,23.19,50009
50,10,45,6,13.33,5,11.11,18,40.0,8,17.78,8,17.78,50010
50,11,32,1,3.13,8,25.0,12,37.5,8,25.0,3,9.38,50011
50,12,52,2,3.85,29,55.77,12,23.08,4,7.69,5,9.62,50012
50,13,53,4,7.55,14,26.42,16,30.19,14,26.42,5,9.43,50013
50,14,37,6,16.22,8,21.62,4,10.81,13,35.14,6,16.22,50014
50,15,92,4,4.35,37,40.22,32,34.78,2,2.17,17,18.48,50015
50,16,41,4,9.76,13,31.71,15,36.59,7,17.07,2,4.88,50016
50,17,38,8,21.05,4,10.53,5,13.16,16,42.11,5,13.16,50017
50,18,29,1,3.45,13,44.83,9,31.03,5,17.24,1,3.45,50018
50,19,50,11,22.0,11,22.0,13,26.0,9,18.0,6,12.0,50019
50,20,64,5,7.81,18,28.13,21,32.81,12,18.75,8,12.5,50020
50,21,51,1,1.96,7,13.73,23,45.1,13,25.49,7,13.73,50021
50,22,35,3,8.57,5,14.29,14,40.0,9,25.71,4,11.43,50022
50,24,55,3,5.45,7,12.73,10,18.18,31,56.36,4,7.27,50024
50,25,49,4,8.16,12,24.49,5,10.2,26,53.06,2,4.08,50025
50,26,57,12,21.05,11,19.3,12,21.05,11,19.3,11,19.3,50026
50,27,22,5,22.73,8,36.36,3,13.64,5,22.73,1,4.55,50027
50,28,96,18,18.75,27,28.13,17,17.71,15,15.63,19,19.79,50028
50,29,33,5,15.15,5,15.15,9,27.27,11,33.33,3,9.09,50029
50,30,29,8,27.59,9,31.03,4,13.79,5,17.24,3,10.34,50030
50,31,32,7,21.88,7,21.88,8,25.0,7,21.88,3,9.38,50031
50,32,36,5,13.89,4,11.11,13,36.11,5,13.89,9,25.0,50032
50,33,44,4,9.09,8,18.18,19,43.18,6,13.64,7,15.91,50033
50,34,100,7,7.0,22,22.0,45,45.0,9,9.0,17,17.0,50034
50,35,81,11,13.58,20,24.69,19,23.46,12,14.81,19,23.46,50035
50,36,77,7,9.09,11,14.29,28,36.36,11,14.29,20,25.97,50036
50,37,81,10,12.35,33,40.74,21,25.93,6,7.41,11,13.58,50037
50,38,52,6,11.54,13,25.0,23,44.23,7,13.46,3,5.77,50038
50,39,37,5,13.51,8,21.62,11,29.73,5,13.51,8,21.62,50039
50,40,47,2,4.26,5,10.64,18,38.3,13,27.66,9,19.15,50040
