ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,precinct_id
21,20,95,95,100.0,21020
21,21,98,98,100.0,21021
21,22,101,101,100.0,21022
21,23,135,135,100.0,21023
21,24,121,121,100.0,21024
21,25,145,145,100.0,21025
21,26,92,92,100.0,21026
21,27,109,109,100.0,21027
21,28,130,130,100.0,21028
21,29,86,86,100.0,21029
21,30,73,73,100.0,21030
21,31,103,103,100.0,21031
21,32,114,114,100.0,21032
21,33,117,117,100.0,21033
21,34,101,101,100.0,21034
21,35,142,142,100.0,21035
21,36,116,116,100.0,21036
21,37,109,109,100.0,21037
21,38,112,112,100.0,21038
21,39,81,81,100.0,21039
21,40,96,96,100.0,21040
21,41,122,122,100.0,21041
21,42,135,135,100.0,21042
21,43,109,109,100.0,21043
21,44,111,111,100.0,21044
21,45,111,111,100.0,21045
21,46,122,122,100.0,21046
21,47,89,89,100.0,21047
21,48,106,106,100.0,21048
21,49,137,137,100.0,21049
21,50,91,91,100.0,21050
21,51,133,133,100.0,21051
21,52,114,114,100.0,21052
21,53,82,82,100.0,21053
21,54,96,96,100.0,21054
34,1,157,157,100.0,34001
34,2,139,139,100.0,34002
34,3,115,115,100.0,34003
34,5,102,102,100.0,34005
34,6,163,163,100.0,34006
34,7,147,147,100.0,34007
34,8,86,86,100.0,34008
34,9,65,65,100.0,34009
34,10,162,162,100.0,34010
34,11,74,74,100.0,34011
34,12,126,126,100.0,34012
34,13,135,135,100.0,34013
34,14,89,89,100.0,34014
34,15,62,62,100.0,34015
34,16,82,82,100.0,34016
34,17,123,123,100.0,34017
34,19,93,93,100.0,34019
34,20,176,176,100.0,34020
34,21,185,185,100.0,34021
34,22,18,18,100.0,34022
34,25,155,155,100.0,34025
34,26,114,114,100.0,34026
34,29,74,74,100.0,34029
34,30,121,121,100.0,34030
34,31,117,117,100.0,34031
34,32,117,117,100.0,34032
34,33,93,93,100.0,34033
34,34,138,138,100.0,34034
34,35,93,93,100.0,34035
34,40,132,132,100.0,34040
34,41,13,13,100.0,34041
34,42,139,139,100.0,34042
34,43,139,139,100.0,34043
34,44,132,132,100.0,34044
34,45,139,139,100.0,34045
34,46,103,103,100.0,34046
34,47,75,75,100.0,34047
34,48,146,146,100.0,34048
34,49,124,124,100.0,34049
34,50,83,83,100.0,34050
34,51,136,136,100.0,34051
34,52,129,129,100.0,34052
