ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,1,140,140,100.0,06001
6,2,111,111,100.0,06002
6,3,125,125,100.0,06003
6,8,124,124,100.0,06008
6,13,83,83,100.0,06013
6,14,82,82,100.0,06014
6,16,125,125,100.0,06016
6,19,15,15,100.0,06019
6,29,148,148,100.0,06029
6,31,119,119,100.0,06031
6,34,104,104,100.0,06034
6,35,79,79,100.0,06035
6,36,120,120,100.0,06036
6,37,140,140,100.0,06037
6,38,123,123,100.0,06038
6,39,70,70,100.0,06039
6,41,122,122,100.0,06041
6,42,96,96,100.0,06042
6,43,79,79,100.0,06043
6,44,87,87,100.0,06044
6,45,112,112,100.0,06045
6,46,82,82,100.0,06046
6,48,0,0,0.0,06048
8,15,20,20,100.0,08015
8,22,98,98,100.0,08022
8,26,40,40,100.0,08026
8,31,98,98,100.0,08031
8,32,81,81,100.0,08032
8,34,96,96,100.0,08034
8,39,93,93,100.0,08039
8,43,38,38,100.0,08043
8,45,25,25,100.0,08045
8,47,86,86,100.0,08047
8,54,1,1,100.0,08054
9,1,12,12,100.0,09001
9,7,0,0,0.0,09007
9,8,52,52,100.0,09008
9,9,102,102,100.0,09009
9,12,111,111,100.0,09012
9,13,90,90,100.0,09013
9,23,113,113,100.0,09023
9,24,111,111,100.0,09024
9,25,88,88,100.0,09025
9,28,4,4,100.0,09028
9,31,2,2,100.0,09031
9,36,72,72,100.0,09036
9,37,103,103,100.0,09037
9,38,9,9,100.0,09038
9,42,134,134,100.0,09042
9,43,12,12,100.0,09043
9,46,85,85,100.0,09046
9,47,141,141,100.0,09047
9,48,107,107,100.0,09048
9,49,105,105,100.0,09049
9,50,152,152,100.0,09050
9,51,114,114,100.0,09051
10,13,1,1,100.0,10013
10,16,0,0,0.0,10016
17,21,100,100,100.0,17021
20,33,0,0,0.0,20033
21,31,89,89,100.0,21031
21,53,33,33,100.0,21053
