ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
7,26,100,100,100.0,07026
7,27,80,80,100.0,07027
7,28,6,6,100.0,07028
7,29,78,78,100.0,07029
7,30,11,11,100.0,07030
7,32,77,77,100.0,07032
7,36,135,135,100.0,07036
7,37,9,9,100.0,07037
7,38,82,82,100.0,07038
7,39,90,90,100.0,07039
7,40,112,112,100.0,07040
7,41,78,78,100.0,07041
7,42,83,83,100.0,07042
7,43,111,111,100.0,07043
7,44,74,74,100.0,07044
7,45,75,75,100.0,07045
8,3,176,176,100.0,08003
8,4,154,154,100.0,08004
8,5,167,167,100.0,08005
8,6,116,116,100.0,08006
8,7,162,162,100.0,08007
8,8,155,155,100.0,08008
8,10,173,173,100.0,08010
8,11,118,118,100.0,08011
8,12,99,99,100.0,08012
8,14,49,49,100.0,08014
8,15,46,46,100.0,08015
8,17,117,117,100.0,08017
8,18,78,78,100.0,08018
8,19,159,159,100.0,08019
8,23,77,77,100.0,08023
8,24,74,74,100.0,08024
8,25,96,96,100.0,08025
8,27,134,134,100.0,08027
8,29,122,122,100.0,08029
8,30,94,94,100.0,08030
8,33,101,101,100.0,08033
8,35,124,124,100.0,08035
8,36,117,117,100.0,08036
8,37,104,104,100.0,08037
8,38,59,59,100.0,08038
8,40,68,68,100.0,08040
8,41,84,84,100.0,08041
8,44,59,59,100.0,08044
8,45,43,43,100.0,08045
8,46,82,82,100.0,08046
8,48,83,83,100.0,08048
8,49,107,107,100.0,08049
8,50,105,105,100.0,08050
8,51,138,138,100.0,08051
8,52,143,143,100.0,08052
8,53,56,56,100.0,08053
8,54,12,12,100.0,08054
8,56,120,120,100.0,08056
10,2,53,53,100.0,10002
10,3,49,49,100.0,10003
10,5,31,31,100.0,10005
10,9,48,48,100.0,10009
10,13,52,52,100.0,10013
10,14,0,0,0.0,10014
10,15,169,169,100.0,10015
10,16,24,24,100.0,10016
10,17,55,55,100.0,10017
10,21,1,1,100.0,10021
10,23,0,0,0.0,10023
10,24,28,28,100.0,10024
10,27,2,2,100.0,10027
10,33,0,0,0.0,10033
