ward,precinct,total,Helen A. Ozmina-Barc,Helen A. Ozmina-Barc Percent,precinct_id
11,1,61,61,100.0,11001
11,4,58,58,100.0,11004
11,5,54,54,100.0,11005
11,8,42,42,100.0,11008
11,9,62,62,100.0,11009
11,10,59,59,100.0,11010
11,11,47,47,100.0,11011
11,12,96,96,100.0,11012
11,13,75,75,100.0,11013
11,15,26,26,100.0,11015
11,16,40,40,100.0,11016
11,17,60,60,100.0,11017
11,18,67,67,100.0,11018
11,19,57,57,100.0,11019
11,20,60,60,100.0,11020
11,21,132,132,100.0,11021
11,22,67,67,100.0,11022
11,23,64,64,100.0,11023
11,24,141,141,100.0,11024
11,25,48,48,100.0,11025
11,26,96,96,100.0,11026
11,27,23,23,100.0,11027
11,28,33,33,100.0,11028
11,29,81,81,100.0,11029
11,31,61,61,100.0,11031
11,32,30,30,100.0,11032
11,37,0,0,0.0,11037
12,1,54,54,100.0,12001
12,3,53,53,100.0,12003
12,4,41,41,100.0,12004
12,5,12,12,100.0,12005
12,8,2,2,100.0,12008
12,9,40,40,100.0,12009
12,19,52,52,100.0,12019
12,23,49,49,100.0,12023
13,1,107,107,100.0,13001
13,2,106,106,100.0,13002
13,3,46,46,100.0,13003
13,4,95,95,100.0,13004
13,5,72,72,100.0,13005
13,6,95,95,100.0,13006
13,7,73,73,100.0,13007
13,8,62,62,100.0,13008
13,9,70,70,100.0,13009
13,10,71,71,100.0,13010
13,11,119,119,100.0,13011
13,12,49,49,100.0,13012
13,13,115,115,100.0,13013
13,14,65,65,100.0,13014
13,15,117,117,100.0,13015
13,16,72,72,100.0,13016
13,17,77,77,100.0,13017
13,18,66,66,100.0,13018
13,20,56,56,100.0,13020
13,21,113,113,100.0,13021
13,22,76,76,100.0,13022
13,23,71,71,100.0,13023
13,24,81,81,100.0,13024
13,25,82,82,100.0,13025
13,26,84,84,100.0,13026
13,27,103,103,100.0,13027
13,28,43,43,100.0,13028
13,29,65,65,100.0,13029
13,30,58,58,100.0,13030
13,31,84,84,100.0,13031
13,32,78,78,100.0,13032
13,33,57,57,100.0,13033
13,34,112,112,100.0,13034
13,35,106,106,100.0,13035
13,36,41,41,100.0,13036
13,37,124,124,100.0,13037
13,38,82,82,100.0,13038
13,39,90,90,100.0,13039
13,40,85,85,100.0,13040
13,41,87,87,100.0,13041
13,42,59,59,100.0,13042
13,43,113,113,100.0,13043
13,44,148,148,100.0,13044
13,45,112,112,100.0,13045
13,46,77,77,100.0,13046
13,47,70,70,100.0,13047
13,48,88,88,100.0,13048
14,1,82,82,100.0,14001
14,4,53,53,100.0,14004
14,5,41,41,100.0,14005
14,7,49,49,100.0,14007
14,8,38,38,100.0,14008
14,9,57,57,100.0,14009
14,12,61,61,100.0,14012
14,18,25,25,100.0,14018
14,21,59,59,100.0,14021
14,22,67,67,100.0,14022
14,23,79,79,100.0,14023
14,24,95,95,100.0,14024
14,26,38,38,100.0,14026
14,29,55,55,100.0,14029
15,1,2,2,100.0,15001
15,5,9,9,100.0,15005
15,8,13,13,100.0,15008
15,13,23,23,100.0,15013
15,14,10,10,100.0,15014
15,15,12,12,100.0,15015
15,16,33,33,100.0,15016
15,19,65,65,100.0,15019
16,1,26,26,100.0,16001
16,7,0,0,0.0,16007
16,23,26,26,100.0,16023
16,32,25,25,100.0,16032
16,35,10,10,100.0,16035
18,15,39,39,100.0,18015
18,24,47,47,100.0,18024
18,25,43,43,100.0,18025
18,30,34,34,100.0,18030
18,40,64,64,100.0,18040
18,43,71,71,100.0,18043
18,46,54,54,100.0,18046
19,1,83,83,100.0,19001
19,2,5,5,100.0,19002
