ward,precinct,total,Tio Hardiman & Brunell Donald,Tio Hardiman & Brunell Donald Percent,Pat Quinn & Paul Vallas,Pat Quinn & Paul Vallas Percent,precinct_id
1,1,60,19,31.67,41,68.33,01001
1,2,68,10,14.71,58,85.29,01002
1,3,38,11,28.95,27,71.05,01003
1,4,30,6,20.0,24,80.0,01004
1,5,16,1,6.25,15,93.75,01005
1,6,49,13,26.53,36,73.47,01006
1,7,91,16,17.58,75,82.42,01007
1,8,80,20,25.0,60,75.0,01008
1,9,124,29,23.39,95,76.61,01009
1,10,27,4,14.81,23,85.19,01010
1,11,53,10,18.87,43,81.13,01011
1,12,48,11,22.92,37,77.08,01012
1,13,53,16,30.19,37,69.81,01013
1,14,45,7,15.56,38,84.44,01014
1,15,53,12,22.64,41,77.36,01015
1,16,96,20,20.83,76,79.17,01016
1,17,64,17,26.56,47,73.44,01017
1,18,62,9,14.52,53,85.48,01018
1,19,179,39,21.79,140,78.21,01019
1,20,56,13,23.21,43,76.79,01020
1,21,23,2,8.7,21,91.3,01021
1,22,37,8,21.62,29,78.38,01022
1,23,161,39,24.22,122,75.78,01023
1,24,55,12,21.82,43,78.18,01024
1,25,38,13,34.21,25,65.79,01025
1,26,63,16,25.4,47,74.6,01026
1,27,35,5,14.29,30,85.71,01027
1,28,55,9,16.36,46,83.64,01028
1,29,38,7,18.42,31,81.58,01029
1,30,93,18,19.35,75,80.65,01030
1,31,79,20,25.32,59,74.68,01031
1,32,43,3,6.98,40,93.02,01032
1,33,29,3,10.34,26,89.66,01033
1,34,95,22,23.16,73,76.84,01034
1,35,34,4,11.76,30,88.24,01035
1,36,39,7,17.95,32,82.05,01036
1,37,35,7,20.0,28,80.0,01037
1,38,60,18,30.0,42,70.0,01038
1,39,19,4,21.05,15,78.95,01039
1,40,69,16,23.19,53,76.81,01040
1,41,90,19,21.11,71,78.89,01041
1,42,35,14,40.0,21,60.0,01042
1,43,95,14,14.74,81,85.26,01043
1,44,18,9,50.0,9,50.0,01044
2,1,39,8,20.51,31,79.49,02001
2,2,61,1,1.64,60,98.36,02002
2,3,39,6,15.38,33,84.62,02003
2,4,33,12,36.36,21,63.64,02004
2,5,30,6,20.0,24,80.0,02005
2,6,34,10,29.41,24,70.59,02006
2,7,25,6,24.0,19,76.0,02007
2,8,29,10,34.48,19,65.52,02008
2,9,28,6,21.43,22,78.57,02009
2,10,75,8,10.67,67,89.33,02010
2,11,73,8,10.96,65,89.04,02011
2,12,65,15,23.08,50,76.92,02012
2,13,104,14,13.46,90,86.54,02013
2,14,64,10,15.63,54,84.38,02014
2,15,73,14,19.18,59,80.82,02015
2,16,29,5,17.24,24,82.76,02016
2,17,64,14,21.88,50,78.13,02017
2,18,79,9,11.39,70,88.61,02018
2,19,82,11,13.41,71,86.59,02019
2,20,20,1,5.0,19,95.0,02020
2,21,45,6,13.33,39,86.67,02021
2,22,45,6,13.33,39,86.67,02022
2,23,57,5,8.77,52,91.23,02023
2,24,49,6,12.24,43,87.76,02024
2,25,46,6,13.04,40,86.96,02025
2,26,44,15,34.09,29,65.91,02026
2,27,59,11,18.64,48,81.36,02027
2,28,42,5,11.9,37,88.1,02028
2,29,54,6,11.11,48,88.89,02029
2,30,46,8,17.39,38,82.61,02030
2,31,82,8,9.76,74,90.24,02031
2,32,34,3,8.82,31,91.18,02032
2,33,113,7,6.19,106,93.81,02033
2,34,68,9,13.24,59,86.76,02034
2,35,33,6,18.18,27,81.82,02035
2,36,37,6,16.22,31,83.78,02036
2,37,57,6,10.53,51,89.47,02037
2,38,40,5,12.5,35,87.5,02038
2,39,54,11,20.37,43,79.63,02039
2,40,39,3,7.69,36,92.31,02040
2,41,20,0,0.0,20,100.0,02041
2,42,59,8,13.56,51,86.44,02042
2,43,42,2,4.76,40,95.24,02043
2,44,37,5,13.51,32,86.49,02044
2,45,102,20,19.61,82,80.39,02045
2,46,26,3,11.54,23,88.46,02046
3,1,117,27,23.08,90,76.92,03001
3,2,235,48,20.43,187,79.57,03002
3,3,110,18,16.36,92,83.64,03003
3,4,154,35,22.73,119,77.27,03004
3,5,71,17,23.94,54,76.06,03005
3,6,55,12,21.82,43,78.18,03006
3,7,156,38,24.36,118,75.64,03007
3,8,80,23,28.75,57,71.25,03008
3,9,108,34,31.48,74,68.52,03009
3,10,54,6,11.11,48,88.89,03010
3,11,99,22,22.22,77,77.78,03011
3,12,186,45,24.19,141,75.81,03012
3,13,77,12,15.58,65,84.42,03013
3,14,77,20,25.97,57,74.03,03014
3,15,79,21,26.58,58,73.42,03015
3,16,89,32,35.96,57,64.04,03016
3,17,46,10,21.74,36,78.26,03017
3,18,137,27,19.71,110,80.29,03018
3,19,74,13,17.57,61,82.43,03019
3,20,106,30,28.3,76,71.7,03020
3,21,123,19,15.45,104,84.55,03021
3,22,52,8,15.38,44,84.62,03022
3,23,114,28,24.56,86,75.44,03023
3,24,126,43,34.13,83,65.87,03024
3,25,77,9,11.69,68,88.31,03025
3,26,111,23,20.72,88,79.28,03026
3,27,37,7,18.92,30,81.08,03027
3,28,104,31,29.81,73,70.19,03028
3,29,95,23,24.21,72,75.79,03029
3,30,131,30,22.9,101,77.1,03030
3,31,151,25,16.56,126,83.44,03031
3,32,98,19,19.39,79,80.61,03032
3,33,56,11,19.64,45,80.36,03033
3,34,98,18,18.37,80,81.63,03034
3,35,61,12,19.67,49,80.33,03035
3,36,50,15,30.0,35,70.0,03036
3,37,90,23,25.56,67,74.44,03037
3,38,189,36,19.05,153,80.95,03038
3,39,34,4,11.76,30,88.24,03039
3,40,136,32,23.53,104,76.47,03040
3,41,120,31,25.83,89,74.17,03041
4,1,130,17,13.08,113,86.92,04001
4,2,93,11,11.83,82,88.17,04002
4,3,133,36,27.07,97,72.93,04003
4,4,165,34,20.61,131,79.39,04004
4,5,111,32,28.83,79,71.17,04005
4,6,197,40,20.3,157,79.7,04006
4,7,208,42,20.19,166,79.81,04007
4,8,202,49,24.26,153,75.74,04008
4,9,264,44,16.67,220,83.33,04009
4,10,128,23,17.97,105,82.03,04010
4,11,131,16,12.21,115,87.79,04011
4,12,166,40,24.1,126,75.9,04012
4,13,32,3,9.38,29,90.63,04013
4,14,145,29,20.0,116,80.0,04014
4,15,175,39,22.29,136,77.71,04015
4,16,53,2,3.77,51,96.23,04016
4,17,66,4,6.06,62,93.94,04017
4,18,155,28,18.06,127,81.94,04018
4,19,164,32,19.51,132,80.49,04019
4,20,122,16,13.11,106,86.89,04020
4,21,65,9,13.85,56,86.15,04021
4,22,123,24,19.51,99,80.49,04022
4,23,128,24,18.75,104,81.25,04023
4,24,142,30,21.13,112,78.87,04024
4,25,88,11,12.5,77,87.5,04025
4,26,164,42,25.61,122,74.39,04026
4,27,104,25,24.04,79,75.96,04027
4,28,181,47,25.97,134,74.03,04028
4,29,112,29,25.89,83,74.11,04029
4,30,138,27,19.57,111,80.43,04030
4,31,254,30,11.81,224,88.19,04031
4,32,140,39,27.86,101,72.14,04032
4,33,172,32,18.6,140,81.4,04033
4,34,136,31,22.79,105,77.21,04034
4,35,238,47,19.75,191,80.25,04035
4,36,164,29,17.68,135,82.32,04036
4,37,90,13,14.44,77,85.56,04037
4,38,213,43,20.19,170,79.81,04038
5,1,72,20,27.78,52,72.22,05001
5,2,92,28,30.43,64,69.57,05002
5,3,88,10,11.36,78,88.64,05003
5,4,125,24,19.2,101,80.8,05004
5,5,152,31,20.39,121,79.61,05005
5,6,106,21,19.81,85,80.19,05006
5,7,123,21,17.07,102,82.93,05007
5,8,94,4,4.26,90,95.74,05008
5,9,121,27,22.31,94,77.69,05009
5,10,88,22,25.0,66,75.0,05010
5,11,135,23,17.04,112,82.96,05011
5,12,69,18,26.09,51,73.91,05012
5,13,116,34,29.31,82,70.69,05013
5,14,158,34,21.52,124,78.48,05014
5,15,141,29,20.57,112,79.43,05015
5,16,122,23,18.85,99,81.15,05016
5,17,119,32,26.89,87,73.11,05017
5,18,104,18,17.31,86,82.69,05018
5,19,103,16,15.53,87,84.47,05019
5,20,129,15,11.63,114,88.37,05020
5,21,112,25,22.32,87,77.68,05021
5,22,110,10,9.09,100,90.91,05022
5,23,147,12,8.16,135,91.84,05023
5,24,103,24,23.3,79,76.7,05024
5,25,132,31,23.48,101,76.52,05025
5,26,81,20,24.69,61,75.31,05026
5,27,59,4,6.78,55,93.22,05027
5,28,157,34,21.66,123,78.34,05028
5,29,119,24,20.17,95,79.83,05029
5,30,85,38,44.71,47,55.29,05030
5,31,68,19,27.94,49,72.06,05031
5,32,143,23,16.08,120,83.92,05032
5,33,142,29,20.42,113,79.58,05033
5,34,87,7,8.05,80,91.95,05034
5,35,108,15,13.89,93,86.11,05035
5,36,118,32,27.12,86,72.88,05036
5,37,174,15,8.62,159,91.38,05037
5,38,89,30,33.71,59,66.29,05038
5,39,90,16,17.78,74,82.22,05039
5,40,109,26,23.85,83,76.15,05040
5,41,114,12,10.53,102,89.47,05041
6,1,165,36,21.82,129,78.18,06001
6,2,126,19,15.08,107,84.92,06002
6,3,152,36,23.68,116,76.32,06003
6,4,83,13,15.66,70,84.34,06004
6,5,88,23,26.14,65,73.86,06005
6,6,147,32,21.77,115,78.23,06006
6,7,102,21,20.59,81,79.41,06007
6,8,152,39,25.66,113,74.34,06008
6,9,98,32,32.65,66,67.35,06009
6,10,71,16,22.54,55,77.46,06010
6,11,102,33,32.35,69,67.65,06011
6,12,70,24,34.29,46,65.71,06012
6,13,107,32,29.91,75,70.09,06013
6,14,99,33,33.33,66,66.67,06014
6,15,81,32,39.51,49,60.49,06015
6,16,163,39,23.93,124,76.07,06016
6,17,87,30,34.48,57,65.52,06017
6,18,113,29,25.66,84,74.34,06018
6,19,111,35,31.53,76,68.47,06019
6,20,79,25,31.65,54,68.35,06020
6,21,60,11,18.33,49,81.67,06021
6,22,65,14,21.54,51,78.46,06022
6,23,63,18,28.57,45,71.43,06023
6,24,50,7,14.0,43,86.0,06024
6,25,66,21,31.82,45,68.18,06025
6,26,66,25,37.88,41,62.12,06026
6,27,59,17,28.81,42,71.19,06027
6,28,57,10,17.54,47,82.46,06028
6,29,164,32,19.51,132,80.49,06029
6,30,87,21,24.14,66,75.86,06030
6,31,140,28,20.0,112,80.0,06031
6,32,100,15,15.0,85,85.0,06032
6,33,118,30,25.42,88,74.58,06033
6,34,121,35,28.93,86,71.07,06034
6,35,101,33,32.67,68,67.33,06035
6,36,146,21,14.38,125,85.62,06036
6,37,165,31,18.79,134,81.21,06037
6,38,154,32,20.78,122,79.22,06038
6,39,98,28,28.57,70,71.43,06039
6,40,109,32,29.36,77,70.64,06040
6,41,137,26,18.98,111,81.02,06041
6,42,112,27,24.11,85,75.89,06042
6,43,110,28,25.45,82,74.55,06043
6,44,106,23,21.7,83,78.3,06044
6,45,135,26,19.26,109,80.74,06045
6,46,96,20,20.83,76,79.17,06046
6,47,98,22,22.45,76,77.55,06047
6,48,110,25,22.73,85,77.27,06048
7,1,103,24,23.3,79,76.7,07001
7,2,100,37,37.0,63,63.0,07002
7,3,136,29,21.32,107,78.68,07003
7,4,139,40,28.78,99,71.22,07004
7,5,88,15,17.05,73,82.95,07005
7,6,134,28,20.9,106,79.1,07006
7,7,87,20,22.99,67,77.01,07007
7,8,140,18,12.86,122,87.14,07008
7,9,216,43,19.91,173,80.09,07009
7,10,148,27,18.24,121,81.76,07010
7,11,92,15,16.3,77,83.7,07011
7,12,96,30,31.25,66,68.75,07012
7,13,132,24,18.18,108,81.82,07013
7,14,95,28,29.47,67,70.53,07014
7,15,164,38,23.17,126,76.83,07015
7,16,65,15,23.08,50,76.92,07016
7,17,95,27,28.42,68,71.58,07017
7,18,89,25,28.09,64,71.91,07018
7,19,124,27,21.77,97,78.23,07019
7,20,82,22,26.83,60,73.17,07020
