ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,2,86,86,100.0,09002
9,10,75,75,100.0,09010
9,17,48,48,100.0,09017
9,20,118,118,100.0,09020
9,21,76,76,100.0,09021
9,27,96,96,100.0,09027
9,30,76,76,100.0,09030
19,7,12,12,100.0,19007
19,14,58,58,100.0,19014
19,20,124,124,100.0,19020
19,31,55,55,100.0,19031
19,40,85,85,100.0,19040
19,42,70,70,100.0,19042
19,43,141,141,100.0,19043
19,47,151,151,100.0,19047
19,48,95,95,100.0,19048
19,49,136,136,100.0,19049
21,2,20,20,100.0,21002
21,5,132,132,100.0,21005
21,6,78,78,100.0,21006
21,10,66,66,100.0,21010
21,11,111,111,100.0,21011
21,12,104,104,100.0,21012
21,17,63,63,100.0,21017
21,19,99,99,100.0,21019
21,20,77,77,100.0,21020
21,21,84,84,100.0,21021
21,22,62,62,100.0,21022
21,23,116,116,100.0,21023
21,24,107,107,100.0,21024
21,25,119,119,100.0,21025
21,27,96,96,100.0,21027
21,33,98,98,100.0,21033
21,34,60,60,100.0,21034
21,35,119,119,100.0,21035
21,36,60,60,100.0,21036
21,37,88,88,100.0,21037
21,38,101,101,100.0,21038
21,39,71,71,100.0,21039
21,40,84,84,100.0,21040
21,41,102,102,100.0,21041
21,42,59,59,100.0,21042
21,43,2,2,100.0,21043
21,44,71,71,100.0,21044
21,45,97,97,100.0,21045
21,46,105,105,100.0,21046
21,48,67,67,100.0,21048
21,49,117,117,100.0,21049
21,50,77,77,100.0,21050
21,52,20,20,100.0,21052
34,1,132,132,100.0,34001
34,2,45,45,100.0,34002
34,5,97,97,100.0,34005
34,7,129,129,100.0,34007
34,8,82,82,100.0,34008
34,10,139,139,100.0,34010
34,12,113,113,100.0,34012
34,13,122,122,100.0,34013
34,15,40,40,100.0,34015
34,17,112,112,100.0,34017
34,19,82,82,100.0,34019
34,20,61,61,100.0,34020
34,21,156,156,100.0,34021
34,25,130,130,100.0,34025
34,29,64,64,100.0,34029
34,31,7,7,100.0,34031
34,32,94,94,100.0,34032
34,34,123,123,100.0,34034
34,35,80,80,100.0,34035
34,40,110,110,100.0,34040
34,43,113,113,100.0,34043
34,44,118,118,100.0,34044
34,45,126,126,100.0,34045
34,46,89,89,100.0,34046
34,47,69,69,100.0,34047
34,48,130,130,100.0,34048
34,49,107,107,100.0,34049
34,51,57,57,100.0,34051
34,52,119,119,100.0,34052
