ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,2,36,36,100.0,12002
12,6,46,46,100.0,12006
12,7,37,37,100.0,12007
12,10,32,32,100.0,12010
12,11,49,49,100.0,12011
12,12,37,37,100.0,12012
12,13,16,16,100.0,12013
12,14,28,28,100.0,12014
12,15,71,71,100.0,12015
12,16,32,32,100.0,12016
12,17,35,35,100.0,12017
12,18,32,32,100.0,12018
12,20,62,62,100.0,12020
12,22,32,32,100.0,12022
14,1,4,4,100.0,14001
15,6,51,51,100.0,15006
15,9,2,2,100.0,15009
15,10,35,35,100.0,15010
15,11,27,27,100.0,15011
15,12,12,12,100.0,15012
22,4,19,19,100.0,22004
22,5,0,0,0.0,22005
22,7,6,6,100.0,22007
22,10,48,48,100.0,22010
22,13,27,27,100.0,22013
22,14,28,28,100.0,22014
22,15,22,22,100.0,22015
22,16,39,39,100.0,22016
22,17,5,5,100.0,22017
22,18,8,8,100.0,22018
22,19,28,28,100.0,22019
22,22,29,29,100.0,22022
23,1,35,35,100.0,23001
23,9,0,0,0.0,23009
23,12,58,58,100.0,23012
23,16,72,72,100.0,23016
23,21,64,64,100.0,23021
23,27,77,77,100.0,23027
23,36,92,92,100.0,23036
23,37,32,32,100.0,23037
24,16,34,34,100.0,24016
