ward,precinct,total,Shelly A. Harris,Shelly A. Harris Percent,Susan Kennedy Sullivan,Susan Kennedy Sullivan Percent,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,precinct_id
1,1,49,19,38.78,14,28.57,16,32.65,01001
1,2,57,25,43.86,22,38.6,10,17.54,01002
1,3,38,18,47.37,7,18.42,13,34.21,01003
1,4,25,4,16.0,13,52.0,8,32.0,01004
1,5,18,11,61.11,3,16.67,4,22.22,01005
1,6,43,21,48.84,15,34.88,7,16.28,01006
1,7,85,45,52.94,23,27.06,17,20.0,01007
1,8,62,31,50.0,16,25.81,15,24.19,01008
1,9,107,53,49.53,44,41.12,10,9.35,01009
1,10,26,11,42.31,5,19.23,10,38.46,01010
1,11,44,17,38.64,10,22.73,17,38.64,01011
1,12,42,16,38.1,21,50.0,5,11.9,01012
1,13,47,26,55.32,12,25.53,9,19.15,01013
1,14,39,17,43.59,12,30.77,10,25.64,01014
1,15,43,20,46.51,15,34.88,8,18.6,01015
1,16,81,31,38.27,35,43.21,15,18.52,01016
1,17,60,22,36.67,31,51.67,7,11.67,01017
1,18,56,30,53.57,14,25.0,12,21.43,01018
1,19,135,57,42.22,54,40.0,24,17.78,01019
1,20,48,16,33.33,13,27.08,19,39.58,01020
1,21,20,7,35.0,5,25.0,8,40.0,01021
1,22,28,11,39.29,14,50.0,3,10.71,01022
1,23,132,53,40.15,51,38.64,28,21.21,01023
1,24,42,17,40.48,11,26.19,14,33.33,01024
1,25,32,10,31.25,11,34.38,11,34.38,01025
1,26,55,25,45.45,19,34.55,11,20.0,01026
1,27,35,17,48.57,13,37.14,5,14.29,01027
1,28,42,20,47.62,17,40.48,5,11.9,01028
1,29,37,21,56.76,7,18.92,9,24.32,01029
1,30,79,38,48.1,25,31.65,16,20.25,01030
1,31,69,32,46.38,24,34.78,13,18.84,01031
1,32,35,14,40.0,12,34.29,9,25.71,01032
1,33,26,10,38.46,10,38.46,6,23.08,01033
1,34,74,38,51.35,26,35.14,10,13.51,01034
1,35,28,11,39.29,11,39.29,6,21.43,01035
1,36,37,17,45.95,9,24.32,11,29.73,01036
1,37,28,20,71.43,5,17.86,3,10.71,01037
1,38,63,26,41.27,30,47.62,7,11.11,01038
1,39,20,9,45.0,7,35.0,4,20.0,01039
1,40,54,14,25.93,29,53.7,11,20.37,01040
1,41,77,35,45.45,27,35.06,15,19.48,01041
1,42,35,12,34.29,15,42.86,8,22.86,01042
1,43,80,46,57.5,21,26.25,13,16.25,01043
1,44,14,4,28.57,6,42.86,4,28.57,01044
2,1,35,13,37.14,15,42.86,7,20.0,02001
2,2,55,14,25.45,15,27.27,26,47.27,02002
2,3,36,16,44.44,13,36.11,7,19.44,02003
2,4,28,13,46.43,8,28.57,7,25.0,02004
2,5,27,8,29.63,12,44.44,7,25.93,02005
2,6,32,13,40.63,13,40.63,6,18.75,02006
2,7,24,9,37.5,10,41.67,5,20.83,02007
2,8,28,12,42.86,7,25.0,9,32.14,02008
2,9,24,11,45.83,7,29.17,6,25.0,02009
2,10,70,23,32.86,16,22.86,31,44.29,02010
2,11,64,23,35.94,15,23.44,26,40.63,02011
2,12,63,22,34.92,12,19.05,29,46.03,02012
2,13,94,35,37.23,11,11.7,48,51.06,02013
2,14,58,25,43.1,17,29.31,16,27.59,02014
2,15,66,35,53.03,17,25.76,14,21.21,02015
2,16,26,14,53.85,6,23.08,6,23.08,02016
2,17,52,22,42.31,22,42.31,8,15.38,02017
2,18,74,28,37.84,19,25.68,27,36.49,02018
2,19,76,26,34.21,18,23.68,32,42.11,02019
2,20,16,8,50.0,3,18.75,5,31.25,02020
2,21,39,11,28.21,12,30.77,16,41.03,02021
2,22,40,16,40.0,12,30.0,12,30.0,02022
2,23,50,16,32.0,8,16.0,26,52.0,02023
2,24,48,22,45.83,15,31.25,11,22.92,02024
