ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
11,1,83,83,100.0,11001
11,4,67,67,100.0,11004
11,5,58,58,100.0,11005
11,8,52,52,100.0,11008
11,9,69,69,100.0,11009
11,10,69,69,100.0,11010
11,11,51,51,100.0,11011
11,12,124,124,100.0,11012
11,13,109,109,100.0,11013
11,15,36,36,100.0,11015
11,16,46,46,100.0,11016
11,17,65,65,100.0,11017
11,18,82,82,100.0,11018
11,19,70,70,100.0,11019
11,20,74,74,100.0,11020
11,21,163,163,100.0,11021
11,22,82,82,100.0,11022
11,23,80,80,100.0,11023
11,24,180,180,100.0,11024
11,25,60,60,100.0,11025
11,26,123,123,100.0,11026
11,27,24,24,100.0,11027
11,28,37,37,100.0,11028
11,29,128,128,100.0,11029
11,31,73,73,100.0,11031
11,32,38,38,100.0,11032
11,37,0,0,0.0,11037
12,1,67,67,100.0,12001
12,3,49,49,100.0,12003
12,4,46,46,100.0,12004
12,5,16,16,100.0,12005
12,8,2,2,100.0,12008
12,9,46,46,100.0,12009
12,19,59,59,100.0,12019
12,23,57,57,100.0,12023
13,1,128,128,100.0,13001
13,2,113,113,100.0,13002
13,3,50,50,100.0,13003
13,4,115,115,100.0,13004
13,5,89,89,100.0,13005
13,6,118,118,100.0,13006
13,7,95,95,100.0,13007
13,8,72,72,100.0,13008
13,9,84,84,100.0,13009
13,10,97,97,100.0,13010
13,11,154,154,100.0,13011
13,12,64,64,100.0,13012
13,13,134,134,100.0,13013
13,14,80,80,100.0,13014
13,15,132,132,100.0,13015
13,16,87,87,100.0,13016
13,17,103,103,100.0,13017
13,18,73,73,100.0,13018
13,20,68,68,100.0,13020
13,21,156,156,100.0,13021
13,22,99,99,100.0,13022
13,23,87,87,100.0,13023
13,24,92,92,100.0,13024
13,25,107,107,100.0,13025
13,26,98,98,100.0,13026
13,27,122,122,100.0,13027
13,28,57,57,100.0,13028
13,29,75,75,100.0,13029
13,30,66,66,100.0,13030
13,31,91,91,100.0,13031
13,32,92,92,100.0,13032
13,33,76,76,100.0,13033
13,34,128,128,100.0,13034
13,35,120,120,100.0,13035
13,36,47,47,100.0,13036
13,37,143,143,100.0,13037
13,38,112,112,100.0,13038
13,39,111,111,100.0,13039
13,40,98,98,100.0,13040
13,41,97,97,100.0,13041
13,42,82,82,100.0,13042
13,43,136,136,100.0,13043
13,44,170,170,100.0,13044
13,45,142,142,100.0,13045
13,46,87,87,100.0,13046
13,47,85,85,100.0,13047
13,48,111,111,100.0,13048
14,1,103,103,100.0,14001
14,4,72,72,100.0,14004
