ward,precinct,total,Carrie M. Austin,Carrie M. Austin Percent,precinct_id
5,1,53,53,100.0,05001
5,6,91,91,100.0,05006
5,10,45,45,100.0,05010
5,11,71,71,100.0,05011
5,14,139,139,100.0,05014
5,18,9,9,100.0,05018
5,23,112,112,100.0,05023
5,25,89,89,100.0,05025
5,26,73,73,100.0,05026
5,28,141,141,100.0,05028
5,29,92,92,100.0,05029
5,31,64,64,100.0,05031
5,32,119,119,100.0,05032
5,35,31,31,100.0,05035
5,36,98,98,100.0,05036
5,37,126,126,100.0,05037
5,38,77,77,100.0,05038
5,40,90,90,100.0,05040
5,41,99,99,100.0,05041
6,48,0,0,0.0,06048
7,1,17,17,100.0,07001
7,2,76,76,100.0,07002
7,3,126,126,100.0,07003
7,4,127,127,100.0,07004
7,5,80,80,100.0,07005
7,6,106,106,100.0,07006
7,7,67,67,100.0,07007
7,8,99,99,100.0,07008
7,9,192,192,100.0,07009
7,10,128,128,100.0,07010
7,11,76,76,100.0,07011
7,12,74,74,100.0,07012
7,13,107,107,100.0,07013
7,14,84,84,100.0,07014
7,15,139,139,100.0,07015
7,16,60,60,100.0,07016
7,17,89,89,100.0,07017
7,18,73,73,100.0,07018
7,19,104,104,100.0,07019
7,20,62,62,100.0,07020
7,21,64,64,100.0,07021
7,22,48,48,100.0,07022
7,23,143,143,100.0,07023
7,24,118,118,100.0,07024
7,25,65,65,100.0,07025
7,26,95,95,100.0,07026
7,27,85,85,100.0,07027
7,28,63,63,100.0,07028
7,29,76,76,100.0,07029
7,30,63,63,100.0,07030
7,31,42,42,100.0,07031
7,32,184,184,100.0,07032
7,33,190,190,100.0,07033
7,34,147,147,100.0,07034
7,35,73,73,100.0,07035
7,36,128,128,100.0,07036
7,37,116,116,100.0,07037
7,38,77,77,100.0,07038
7,39,91,91,100.0,07039
7,40,110,110,100.0,07040
7,41,77,77,100.0,07041
7,42,80,80,100.0,07042
7,43,107,107,100.0,07043
7,44,75,75,100.0,07044
7,45,68,68,100.0,07045
7,46,63,63,100.0,07046
8,4,98,98,100.0,08004
8,5,6,6,100.0,08005
8,7,156,156,100.0,08007
8,9,83,83,100.0,08009
8,17,120,120,100.0,08017
8,27,33,33,100.0,08027
8,28,112,112,100.0,08028
8,32,94,94,100.0,08032
8,36,124,124,100.0,08036
8,39,99,99,100.0,08039
8,42,132,132,100.0,08042
8,46,81,81,100.0,08046
8,49,10,10,100.0,08049
8,50,35,35,100.0,08050
8,53,64,64,100.0,08053
9,1,102,102,100.0,09001
9,2,106,106,100.0,09002
9,3,45,45,100.0,09003
9,4,70,70,100.0,09004
9,5,103,103,100.0,09005
9,6,107,107,100.0,09006
9,7,78,78,100.0,09007
9,8,60,60,100.0,09008
9,9,132,132,100.0,09009
9,10,74,74,100.0,09010
9,11,77,77,100.0,09011
9,13,131,131,100.0,09013
9,14,150,150,100.0,09014
9,15,48,48,100.0,09015
9,16,122,122,100.0,09016
9,17,81,81,100.0,09017
9,18,69,69,100.0,09018
9,19,95,95,100.0,09019
9,20,122,122,100.0,09020
9,21,76,76,100.0,09021
9,22,120,120,100.0,09022
9,26,54,54,100.0,09026
9,27,103,103,100.0,09027
9,28,25,25,100.0,09028
9,29,83,83,100.0,09029
9,30,82,82,100.0,09030
9,31,65,65,100.0,09031
9,32,99,99,100.0,09032
9,33,69,69,100.0,09033
9,34,73,73,100.0,09034
9,35,124,124,100.0,09035
9,37,99,99,100.0,09037
9,38,80,80,100.0,09038
9,39,104,104,100.0,09039
9,40,127,127,100.0,09040
9,41,88,88,100.0,09041
9,43,72,72,100.0,09043
9,44,95,95,100.0,09044
9,45,77,77,100.0,09045
9,46,92,92,100.0,09046
10,1,66,66,100.0,10001
10,2,53,53,100.0,10002
10,3,52,52,100.0,10003
10,4,39,39,100.0,10004
10,5,30,30,100.0,10005
10,6,34,34,100.0,10006
10,7,27,27,100.0,10007
10,8,29,29,100.0,10008
10,9,52,52,100.0,10009
10,10,33,33,100.0,10010
10,11,38,38,100.0,10011
10,12,20,20,100.0,10012
10,13,60,60,100.0,10013
10,14,56,56,100.0,10014
10,15,174,174,100.0,10015
10,16,24,24,100.0,10016
10,17,54,54,100.0,10017
10,18,32,32,100.0,10018
10,19,35,35,100.0,10019
10,20,49,49,100.0,10020
10,21,44,44,100.0,10021
10,22,23,23,100.0,10022
10,23,37,37,100.0,10023
10,24,28,28,100.0,10024
10,25,15,15,100.0,10025
10,26,36,36,100.0,10026
10,27,61,61,100.0,10027
10,28,42,42,100.0,10028
10,29,33,33,100.0,10029
10,30,44,44,100.0,10030
10,31,23,23,100.0,10031
10,32,28,28,100.0,10032
10,33,22,22,100.0,10033
10,34,34,34,100.0,10034
10,35,37,37,100.0,10035
10,36,32,32,100.0,10036
34,2,25,25,100.0,34002
34,4,69,69,100.0,34004
34,18,73,73,100.0,34018
34,22,104,104,100.0,34022
34,23,98,98,100.0,34023
34,24,88,88,100.0,34024
34,27,83,83,100.0,34027
34,28,62,62,100.0,34028
34,30,22,22,100.0,34030
34,36,132,132,100.0,34036
34,37,45,45,100.0,34037
34,38,59,59,100.0,34038
34,39,62,62,100.0,34039
34,41,71,71,100.0,34041
34,53,46,46,100.0,34053
