ward,precinct,total,Ann M. Williams,Ann M. Williams Percent,precinct_id
1,28,37,37,100.0,01028
1,42,1,1,100.0,01042
2,20,1,1,100.0,02020
2,22,39,39,100.0,02022
2,24,48,48,100.0,02024
2,26,33,33,100.0,02026
32,1,36,36,100.0,32001
32,4,0,0,0.0,32004
32,5,4,4,100.0,32005
32,7,41,41,100.0,32007
32,8,21,21,100.0,32008
32,9,34,34,100.0,32009
32,10,44,44,100.0,32010
32,13,20,20,100.0,32013
32,15,30,30,100.0,32015
32,16,52,52,100.0,32016
32,18,29,29,100.0,32018
32,19,30,30,100.0,32019
32,21,50,50,100.0,32021
32,23,27,27,100.0,32023
32,24,13,13,100.0,32024
32,25,37,37,100.0,32025
32,27,19,19,100.0,32027
32,29,5,5,100.0,32029
32,30,23,23,100.0,32030
32,33,27,27,100.0,32033
32,34,1,1,100.0,32034
32,36,30,30,100.0,32036
32,37,13,13,100.0,32037
32,38,25,25,100.0,32038
32,39,32,32,100.0,32039
32,40,30,30,100.0,32040
32,41,38,38,100.0,32041
32,42,27,27,100.0,32042
33,3,6,6,100.0,33003
33,5,3,3,100.0,33005
33,8,80,80,100.0,33008
33,9,0,0,0.0,33009
33,10,70,70,100.0,33010
33,20,5,5,100.0,33020
33,23,64,64,100.0,33023
33,24,107,107,100.0,33024
43,2,24,24,100.0,43002
43,6,19,19,100.0,43006
43,9,65,65,100.0,43009
43,16,35,35,100.0,43016
43,17,30,30,100.0,43017
43,18,40,40,100.0,43018
43,20,56,56,100.0,43020
43,21,41,41,100.0,43021
43,22,34,34,100.0,43022
43,24,44,44,100.0,43024
43,29,41,41,100.0,43029
43,30,41,41,100.0,43030
43,31,75,75,100.0,43031
43,37,33,33,100.0,43037
43,39,36,36,100.0,43039
43,40,23,23,100.0,43040
43,41,65,65,100.0,43041
43,44,60,60,100.0,43044
43,46,18,18,100.0,43046
44,2,38,38,100.0,44002
44,9,18,18,100.0,44009
44,11,23,23,100.0,44011
44,16,41,41,100.0,44016
44,25,25,25,100.0,44025
44,30,39,39,100.0,44030
47,1,24,24,100.0,47001
47,2,62,62,100.0,47002
47,3,95,95,100.0,47003
47,4,56,56,100.0,47004
47,5,9,9,100.0,47005
47,6,36,36,100.0,47006
47,7,34,34,100.0,47007
47,8,41,41,100.0,47008
47,9,23,23,100.0,47009
47,11,34,34,100.0,47011
47,12,43,43,100.0,47012
47,13,44,44,100.0,47013
47,14,38,38,100.0,47014
47,16,63,63,100.0,47016
47,17,59,59,100.0,47017
47,18,28,28,100.0,47018
47,21,54,54,100.0,47021
47,24,46,46,100.0,47024
47,25,31,31,100.0,47025
47,27,43,43,100.0,47027
47,28,0,0,0.0,47028
47,29,56,56,100.0,47029
47,33,38,38,100.0,47033
47,35,52,52,100.0,47035
47,39,55,55,100.0,47039
47,40,64,64,100.0,47040
47,41,13,13,100.0,47041
47,43,43,43,100.0,47043
47,44,66,66,100.0,47044
47,46,49,49,100.0,47046
47,47,53,53,100.0,47047
47,48,30,30,100.0,47048
