ward,precinct,total,Daniel J. Burke,Daniel J. Burke Percent,precinct_id
12,20,0,0,0.0,12020
14,1,88,88,100.0,14001
14,2,121,121,100.0,14002
14,4,66,66,100.0,14004
14,5,92,92,100.0,14005
14,6,31,31,100.0,14006
14,7,58,58,100.0,14007
14,8,42,42,100.0,14008
14,9,63,63,100.0,14009
14,10,46,46,100.0,14010
14,12,67,67,100.0,14012
14,13,65,65,100.0,14013
14,14,65,65,100.0,14014
14,16,58,58,100.0,14016
14,17,50,50,100.0,14017
14,18,2,2,100.0,14018
14,19,39,39,100.0,14019
14,20,48,48,100.0,14020
14,21,73,73,100.0,14021
14,22,13,13,100.0,14022
14,23,77,77,100.0,14023
14,24,116,116,100.0,14024
14,25,54,54,100.0,14025
14,26,44,44,100.0,14026
14,27,75,75,100.0,14027
14,28,46,46,100.0,14028
14,29,88,88,100.0,14029
14,30,30,30,100.0,14030
14,31,31,31,100.0,14031
15,3,5,5,100.0,15003
15,4,29,29,100.0,15004
15,8,25,25,100.0,15008
15,9,6,6,100.0,15009
15,10,38,38,100.0,15010
15,11,24,24,100.0,15011
15,12,62,62,100.0,15012
15,16,45,45,100.0,15016
15,19,70,70,100.0,15019
16,1,39,39,100.0,16001
16,2,6,6,100.0,16002
16,7,43,43,100.0,16007
16,11,33,33,100.0,16011
16,13,26,26,100.0,16013
16,17,20,20,100.0,16017
16,23,24,24,100.0,16023
16,32,24,24,100.0,16032
16,35,38,38,100.0,16035
17,1,39,39,100.0,17001
17,7,27,27,100.0,17007
17,12,36,36,100.0,17012
17,14,51,51,100.0,17014
17,16,39,39,100.0,17016
17,30,7,7,100.0,17030
22,1,73,73,100.0,22001
22,2,61,61,100.0,22002
22,8,59,59,100.0,22008
22,12,67,67,100.0,22012
22,23,109,109,100.0,22023
23,3,70,70,100.0,23003
23,6,20,20,100.0,23006
23,12,9,9,100.0,23012
23,14,72,72,100.0,23014
23,17,7,7,100.0,23017
23,19,28,28,100.0,23019
23,20,0,0,0.0,23020
23,22,13,13,100.0,23022
23,24,26,26,100.0,23024
23,25,40,40,100.0,23025
23,26,15,15,100.0,23026
23,29,0,0,0.0,23029
23,31,18,18,100.0,23031
23,37,22,22,100.0,23037
