ward,precinct,total,Robert B. Steele,Robert B. Steele Percent,precinct_id
1,3,30,30,100.0,01003
1,4,20,20,100.0,01004
1,5,10,10,100.0,01005
1,6,37,37,100.0,01006
1,10,21,21,100.0,01010
1,12,22,22,100.0,01012
1,14,10,10,100.0,01014
1,15,8,8,100.0,01015
1,33,18,18,100.0,01033
1,35,30,30,100.0,01035
1,36,29,29,100.0,01036
1,37,25,25,100.0,01037
1,39,15,15,100.0,01039
1,40,50,50,100.0,01040
2,1,3,3,100.0,02001
2,3,30,30,100.0,02003
2,4,20,20,100.0,02004
2,5,23,23,100.0,02005
2,14,52,52,100.0,02014
2,16,1,1,100.0,02016
2,17,47,47,100.0,02017
2,21,34,34,100.0,02021
3,1,48,48,100.0,03001
3,3,93,93,100.0,03003
3,5,64,64,100.0,03005
3,6,47,47,100.0,03006
3,8,73,73,100.0,03008
3,10,52,52,100.0,03010
3,13,66,66,100.0,03013
3,14,66,66,100.0,03014
3,16,84,84,100.0,03016
3,17,40,40,100.0,03017
3,18,62,62,100.0,03018
3,21,82,82,100.0,03021
3,22,45,45,100.0,03022
3,24,43,43,100.0,03024
3,25,63,63,100.0,03025
3,26,90,90,100.0,03026
3,27,24,24,100.0,03027
3,28,94,94,100.0,03028
3,29,59,59,100.0,03029
3,32,83,83,100.0,03032
3,33,50,50,100.0,03033
3,34,85,85,100.0,03034
3,36,46,46,100.0,03036
3,37,68,68,100.0,03037
3,39,32,32,100.0,03039
3,40,126,126,100.0,03040
4,13,14,14,100.0,04013
4,20,0,0,0.0,04020
6,4,65,65,100.0,06004
6,5,84,84,100.0,06005
6,7,77,77,100.0,06007
6,9,73,73,100.0,06009
6,10,13,13,100.0,06010
6,11,90,90,100.0,06011
6,12,52,52,100.0,06012
6,15,71,71,100.0,06015
6,18,76,76,100.0,06018
6,21,48,48,100.0,06021
6,22,61,61,100.0,06022
6,23,59,59,100.0,06023
6,24,45,45,100.0,06024
6,25,59,59,100.0,06025
6,26,58,58,100.0,06026
6,27,55,55,100.0,06027
6,28,49,49,100.0,06028
6,48,49,49,100.0,06048
11,2,8,8,100.0,11002
11,6,26,26,100.0,11006
11,7,35,35,100.0,11007
15,2,39,39,100.0,15002
15,3,51,51,100.0,15003
15,7,44,44,100.0,15007
15,17,45,45,100.0,15017
15,18,43,43,100.0,15018
15,20,58,58,100.0,15020
15,21,52,52,100.0,15021
15,22,52,52,100.0,15022
15,23,49,49,100.0,15023
15,24,52,52,100.0,15024
16,3,61,61,100.0,16003
16,4,55,55,100.0,16004
16,5,38,38,100.0,16005
16,6,47,47,100.0,16006
16,9,80,80,100.0,16009
16,10,27,27,100.0,16010
16,14,48,48,100.0,16014
16,15,58,58,100.0,16015
16,16,62,62,100.0,16016
16,20,48,48,100.0,16020
16,21,22,22,100.0,16021
16,22,30,30,100.0,16022
16,24,33,33,100.0,16024
16,25,59,59,100.0,16025
16,26,57,57,100.0,16026
16,27,49,49,100.0,16027
16,28,63,63,100.0,16028
16,29,41,41,100.0,16029
16,30,54,54,100.0,16030
16,31,66,66,100.0,16031
16,33,52,52,100.0,16033
16,34,53,53,100.0,16034
16,36,46,46,100.0,16036
17,3,50,50,100.0,17003
17,5,71,71,100.0,17005
17,6,41,41,100.0,17006
17,8,74,74,100.0,17008
17,11,74,74,100.0,17011
17,13,56,56,100.0,17013
17,16,2,2,100.0,17016
17,17,53,53,100.0,17017
17,19,43,43,100.0,17019
17,23,66,66,100.0,17023
17,25,51,51,100.0,17025
17,28,50,50,100.0,17028
17,31,51,51,100.0,17031
17,32,55,55,100.0,17032
17,33,49,49,100.0,17033
17,34,54,54,100.0,17034
17,35,54,54,100.0,17035
17,36,93,93,100.0,17036
17,37,72,72,100.0,17037
18,5,56,56,100.0,18005
18,27,47,47,100.0,18027
18,33,48,48,100.0,18033
18,39,43,43,100.0,18039
18,47,47,47,100.0,18047
18,48,53,53,100.0,18048
18,49,50,50,100.0,18049
18,50,63,63,100.0,18050
20,2,21,21,100.0,20002
20,4,3,3,100.0,20004
20,6,20,20,100.0,20006
20,7,61,61,100.0,20007
20,11,69,69,100.0,20011
20,12,44,44,100.0,20012
20,13,98,98,100.0,20013
20,21,9,9,100.0,20021
20,23,83,83,100.0,20023
20,25,60,60,100.0,20025
20,27,44,44,100.0,20027
20,28,45,45,100.0,20028
20,29,107,107,100.0,20029
20,30,23,23,100.0,20030
20,31,75,75,100.0,20031
20,32,92,92,100.0,20032
20,35,38,38,100.0,20035
20,36,25,25,100.0,20036
20,37,25,25,100.0,20037
20,38,24,24,100.0,20038
20,39,13,13,100.0,20039
21,12,0,0,0.0,21012
22,19,39,39,100.0,22019
22,21,101,101,100.0,22021
24,1,75,75,100.0,24001
24,2,53,53,100.0,24002
24,3,81,81,100.0,24003
24,4,46,46,100.0,24004
24,5,39,39,100.0,24005
24,6,76,76,100.0,24006
24,8,51,51,100.0,24008
24,9,61,61,100.0,24009
24,10,39,39,100.0,24010
24,11,63,63,100.0,24011
24,12,39,39,100.0,24012
24,13,47,47,100.0,24013
24,14,61,61,100.0,24014
24,15,43,43,100.0,24015
24,17,62,62,100.0,24017
24,18,104,104,100.0,24018
24,19,94,94,100.0,24019
24,20,59,59,100.0,24020
24,21,39,39,100.0,24021
24,22,82,82,100.0,24022
24,23,69,69,100.0,24023
24,24,69,69,100.0,24024
24,25,60,60,100.0,24025
24,26,133,133,100.0,24026
24,27,90,90,100.0,24027
24,28,66,66,100.0,24028
24,29,52,52,100.0,24029
24,30,45,45,100.0,24030
24,31,81,81,100.0,24031
24,32,59,59,100.0,24032
24,33,33,33,100.0,24033
24,34,59,59,100.0,24034
24,35,80,80,100.0,24035
24,36,113,113,100.0,24036
24,37,20,20,100.0,24037
24,38,59,59,100.0,24038
24,39,110,110,100.0,24039
24,40,63,63,100.0,24040
24,41,54,54,100.0,24041
25,3,29,29,100.0,25003
25,4,37,37,100.0,25004
25,6,20,20,100.0,25006
