ward,precinct,total,Anthony C. ''Tony'' Kyriakopoulos,Anthony C. ''Tony'' Kyriakopoulos Percent,Katherine A. O'Dell,Katherine A. O'Dell Percent,precinct_id
30,3,35,17,48.57,18,51.43,30003
30,15,76,43,56.58,33,43.42,30015
30,20,10,1,10.0,9,90.0,30020
30,32,42,17,40.48,25,59.52,30032
32,4,0,0,0.0,0,0.0,32004
32,19,25,11,44.0,14,56.0,32019
32,21,2,2,100.0,0,0.0,32021
32,25,34,21,61.76,13,38.24,32025
33,2,54,31,57.41,23,42.59,33002
33,7,81,44,54.32,37,45.68,33007
33,9,0,0,0.0,0,0.0,33009
33,18,67,28,41.79,39,58.21,33018
35,9,49,28,57.14,21,42.86,35009
35,22,62,35,56.45,27,43.55,35022
35,23,30,10,33.33,20,66.67,35023
35,29,37,20,54.05,17,45.95,35029
35,30,57,22,38.6,35,61.4,35030
35,31,68,32,47.06,36,52.94,35031
38,1,42,26,61.9,16,38.1,38001
38,31,64,44,68.75,20,31.25,38031
38,32,58,20,34.48,38,65.52,38032
38,41,67,41,61.19,26,38.81,38041
39,1,67,37,55.22,30,44.78,39001
39,2,85,43,50.59,42,49.41,39002
39,3,58,31,53.45,27,46.55,39003
39,4,71,39,54.93,32,45.07,39004
39,5,44,28,63.64,16,36.36,39005
39,6,44,24,54.55,20,45.45,39006
39,7,51,35,68.63,16,31.37,39007
39,8,68,38,55.88,30,44.12,39008
39,9,69,22,31.88,47,68.12,39009
39,10,20,10,50.0,10,50.0,39010
39,11,69,32,46.38,37,53.62,39011
39,12,67,41,61.19,26,38.81,39012
39,13,45,24,53.33,21,46.67,39013
39,14,40,18,45.0,22,55.0,39014
39,15,73,49,67.12,24,32.88,39015
39,16,32,16,50.0,16,50.0,39016
39,17,61,32,52.46,29,47.54,39017
39,18,31,17,54.84,14,45.16,39018
39,19,61,25,40.98,36,59.02,39019
39,20,76,41,53.95,35,46.05,39020
39,21,51,24,47.06,27,52.94,39021
39,22,29,21,72.41,8,27.59,39022
39,23,57,37,64.91,20,35.09,39023
39,24,83,56,67.47,27,32.53,39024
39,25,40,19,47.5,21,52.5,39025
39,26,53,31,58.49,22,41.51,39026
39,27,34,25,73.53,9,26.47,39027
39,28,95,36,37.89,59,62.11,39028
39,29,40,19,47.5,21,52.5,39029
39,30,50,23,46.0,27,54.0,39030
39,31,57,20,35.09,37,64.91,39031
39,32,26,16,61.54,10,38.46,39032
39,33,46,22,47.83,24,52.17,39033
39,34,59,26,44.07,33,55.93,39034
39,35,51,30,58.82,21,41.18,39035
39,36,32,21,65.63,11,34.38,39036
39,37,92,46,50.0,46,50.0,39037
39,38,40,13,32.5,27,67.5,39038
39,39,18,11,61.11,7,38.89,39039
39,40,61,38,62.3,23,37.7,39040
39,41,62,29,46.77,33,53.23,39041
39,42,100,59,59.0,41,41.0,39042
39,43,71,44,61.97,27,38.03,39043
39,44,45,24,53.33,21,46.67,39044
39,45,81,47,58.02,34,41.98,39045
40,1,50,34,68.0,16,32.0,40001
40,2,55,40,72.73,15,27.27,40002
40,3,53,39,73.58,14,26.42,40003
40,4,44,38,86.36,6,13.64,40004
40,5,86,61,70.93,25,29.07,40005
40,6,54,41,75.93,13,24.07,40006
40,7,81,61,75.31,20,24.69,40007
40,10,47,27,57.45,20,42.55,40010
40,11,88,63,71.59,25,28.41,40011
40,12,25,15,60.0,10,40.0,40012
40,13,13,7,53.85,6,46.15,40013
40,14,58,38,65.52,20,34.48,40014
40,15,57,41,71.93,16,28.07,40015
40,16,54,35,64.81,19,35.19,40016
40,17,63,44,69.84,19,30.16,40017
40,18,6,2,33.33,4,66.67,40018
40,19,104,74,71.15,30,28.85,40019
40,20,62,34,54.84,28,45.16,40020
40,21,34,14,41.18,20,58.82,40021
40,24,62,51,82.26,11,17.74,40024
40,25,54,35,64.81,19,35.19,40025
40,29,104,78,75.0,26,25.0,40029
40,30,111,94,84.68,17,15.32,40030
40,34,67,60,89.55,7,10.45,40034
40,38,34,27,79.41,7,20.59,40038
40,39,11,5,45.45,6,54.55,40039
41,1,54,29,53.7,25,46.3,41001
41,2,86,48,55.81,38,44.19,41002
41,3,59,26,44.07,33,55.93,41003
41,4,85,51,60.0,34,40.0,41004
41,5,80,45,56.25,35,43.75,41005
41,6,59,46,77.97,13,22.03,41006
41,7,52,29,55.77,23,44.23,41007
41,8,56,27,48.21,29,51.79,41008
41,10,78,44,56.41,34,43.59,41010
41,11,69,30,43.48,39,56.52,41011
41,12,81,51,62.96,30,37.04,41012
41,13,46,17,36.96,29,63.04,41013
41,14,58,44,75.86,14,24.14,41014
41,15,81,39,48.15,42,51.85,41015
41,16,81,47,58.02,34,41.98,41016
41,17,89,46,51.69,43,48.31,41017
41,18,50,33,66.0,17,34.0,41018
41,20,79,26,32.91,53,67.09,41020
41,21,74,38,51.35,36,48.65,41021
41,22,75,40,53.33,35,46.67,41022
41,23,64,34,53.13,30,46.88,41023
41,24,57,27,47.37,30,52.63,41024
41,26,75,38,50.67,37,49.33,41026
41,30,64,33,51.56,31,48.44,41030
41,31,113,56,49.56,57,50.44,41031
41,32,56,34,60.71,22,39.29,41032
41,33,54,32,59.26,22,40.74,41033
41,34,54,27,50.0,27,50.0,41034
41,35,85,50,58.82,35,41.18,41035
41,36,61,35,57.38,26,42.62,41036
41,37,57,28,49.12,29,50.88,41037
41,38,63,22,34.92,41,65.08,41038
41,39,79,46,58.23,33,41.77,41039
41,40,72,38,52.78,34,47.22,41040
41,41,60,25,41.67,35,58.33,41041
41,42,61,30,49.18,31,50.82,41042
41,43,66,28,42.42,38,57.58,41043
41,44,65,31,47.69,34,52.31,41044
41,45,51,24,47.06,27,52.94,41045
41,46,95,54,56.84,41,43.16,41046
41,47,9,6,66.67,3,33.33,41047
45,1,61,36,59.02,25,40.98,45001
45,2,75,36,48.0,39,52.0,45002
45,3,73,40,54.79,33,45.21,45003
45,4,102,50,49.02,52,50.98,45004
45,5,7,5,71.43,2,28.57,45005
45,7,107,53,49.53,54,50.47,45007
45,8,94,35,37.23,59,62.77,45008
45,9,105,50,47.62,55,52.38,45009
45,10,57,31,54.39,26,45.61,45010
45,11,90,56,62.22,34,37.78,45011
45,12,67,24,35.82,43,64.18,45012
45,13,52,30,57.69,22,42.31,45013
45,14,79,39,49.37,40,50.63,45014
45,15,95,53,55.79,42,44.21,45015
45,16,66,33,50.0,33,50.0,45016
45,17,70,39,55.71,31,44.29,45017
45,18,68,27,39.71,41,60.29,45018
45,19,26,18,69.23,8,30.77,45019
45,20,39,17,43.59,22,56.41,45020
45,21,60,32,53.33,28,46.67,45021
45,22,62,27,43.55,35,56.45,45022
45,23,65,33,50.77,32,49.23,45023
45,24,57,35,61.4,22,38.6,45024
45,25,50,25,50.0,25,50.0,45025
45,26,37,17,45.95,20,54.05,45026
45,27,58,23,39.66,35,60.34,45027
45,28,43,24,55.81,19,44.19,45028
45,29,36,16,44.44,20,55.56,45029
45,30,50,24,48.0,26,52.0,45030
45,31,62,27,43.55,35,56.45,45031
45,32,46,28,60.87,18,39.13,45032
45,33,34,21,61.76,13,38.24,45033
45,34,58,25,43.1,33,56.9,45034
45,35,68,31,45.59,37,54.41,45035
45,36,71,44,61.97,27,38.03,45036
