ward,precinct,total,Stephen J. Feldman,Stephen J. Feldman Percent,Diana Rosario,Diana Rosario Percent,precinct_id
1,1,50,11,22.0,39,78.0,01001
1,2,61,7,11.48,54,88.52,01002
1,3,35,8,22.86,27,77.14,01003
1,4,21,2,9.52,19,90.48,01004
1,5,15,3,20.0,12,80.0,01005
1,6,36,4,11.11,32,88.89,01006
1,7,75,21,28.0,54,72.0,01007
1,8,52,9,17.31,43,82.69,01008
1,9,97,19,19.59,78,80.41,01009
1,10,19,5,26.32,14,73.68,01010
1,11,41,8,19.51,33,80.49,01011
1,12,35,9,25.71,26,74.29,01012
1,13,45,10,22.22,35,77.78,01013
1,14,32,4,12.5,28,87.5,01014
1,15,41,9,21.95,32,78.05,01015
1,16,76,6,7.89,70,92.11,01016
1,17,53,12,22.64,41,77.36,01017
1,18,53,9,16.98,44,83.02,01018
1,19,127,28,22.05,99,77.95,01019
1,20,42,6,14.29,36,85.71,01020
1,21,24,8,33.33,16,66.67,01021
1,22,28,5,17.86,23,82.14,01022
1,23,111,28,25.23,83,74.77,01023
1,24,43,12,27.91,31,72.09,01024
1,25,31,4,12.9,27,87.1,01025
1,26,55,9,16.36,46,83.64,01026
1,27,30,4,13.33,26,86.67,01027
1,28,35,6,17.14,29,82.86,01028
1,29,36,9,25.0,27,75.0,01029
1,30,78,8,10.26,70,89.74,01030
1,31,71,22,30.99,49,69.01,01031
1,32,31,8,25.81,23,74.19,01032
1,33,24,4,16.67,20,83.33,01033
1,34,77,21,27.27,56,72.73,01034
1,35,30,9,30.0,21,70.0,01035
1,36,31,4,12.9,27,87.1,01036
1,37,25,5,20.0,20,80.0,01037
1,38,48,9,18.75,39,81.25,01038
1,39,16,1,6.25,15,93.75,01039
1,40,53,12,22.64,41,77.36,01040
1,41,77,12,15.58,65,84.42,01041
1,42,34,7,20.59,27,79.41,01042
1,43,72,9,12.5,63,87.5,01043
1,44,14,2,14.29,12,85.71,01044
2,1,29,8,27.59,21,72.41,02001
2,2,47,12,25.53,35,74.47,02002
2,3,31,11,35.48,20,64.52,02003
2,4,27,6,22.22,21,77.78,02004
2,5,26,7,26.92,19,73.08,02005
2,6,28,13,46.43,15,53.57,02006
2,7,24,8,33.33,16,66.67,02007
2,8,20,3,15.0,17,85.0,02008
2,9,21,6,28.57,15,71.43,02009
2,10,61,22,36.07,39,63.93,02010
2,11,43,16,37.21,27,62.79,02011
2,12,57,12,21.05,45,78.95,02012
2,13,80,20,25.0,60,75.0,02013
2,14,53,11,20.75,42,79.25,02014
2,15,62,15,24.19,47,75.81,02015
2,16,24,4,16.67,20,83.33,02016
2,17,48,10,20.83,38,79.17,02017
2,18,66,21,31.82,45,68.18,02018
2,19,65,13,20.0,52,80.0,02019
2,20,13,3,23.08,10,76.92,02020
2,21,35,5,14.29,30,85.71,02021
2,22,38,10,26.32,28,73.68,02022
2,23,45,11,24.44,34,75.56,02023
2,24,46,17,36.96,29,63.04,02024
2,25,39,7,17.95,32,82.05,02025
2,26,32,10,31.25,22,68.75,02026
2,27,49,17,34.69,32,65.31,02027
2,28,36,10,27.78,26,72.22,02028
2,29,42,10,23.81,32,76.19,02029
2,30,39,15,38.46,24,61.54,02030
2,31,67,29,43.28,38,56.72,02031
2,32,29,7,24.14,22,75.86,02032
2,33,89,26,29.21,63,70.79,02033
2,34,53,15,28.3,38,71.7,02034
2,35,31,7,22.58,24,77.42,02035
2,36,33,11,33.33,22,66.67,02036
2,37,49,15,30.61,34,69.39,02037
2,38,38,13,34.21,25,65.79,02038
2,39,39,16,41.03,23,58.97,02039
2,40,28,5,17.86,23,82.14,02040
2,41,20,7,35.0,13,65.0,02041
2,42,44,16,36.36,28,63.64,02042
2,43,34,11,32.35,23,67.65,02043
2,44,26,11,42.31,15,57.69,02044
2,45,75,27,36.0,48,64.0,02045
2,46,21,8,38.1,13,61.9,02046
3,1,90,45,50.0,45,50.0,03001
3,2,191,72,37.7,119,62.3,03002
3,3,90,33,36.67,57,63.33,03003
3,4,135,42,31.11,93,68.89,03004
3,5,62,25,40.32,37,59.68,03005
3,6,45,11,24.44,34,75.56,03006
3,7,85,36,42.35,49,57.65,03007
3,8,71,20,28.17,51,71.83,03008
3,9,90,39,43.33,51,56.67,03009
3,10,47,19,40.43,28,59.57,03010
3,11,86,34,39.53,52,60.47,03011
3,12,167,52,31.14,115,68.86,03012
3,13,64,16,25.0,48,75.0,03013
3,14,52,22,42.31,30,57.69,03014
3,15,72,30,41.67,42,58.33,03015
3,16,82,28,34.15,54,65.85,03016
3,17,36,17,47.22,19,52.78,03017
3,18,117,39,33.33,78,66.67,03018
3,19,66,15,22.73,51,77.27,03019
3,20,87,39,44.83,48,55.17,03020
3,21,104,33,31.73,71,68.27,03021
3,22,44,14,31.82,30,68.18,03022
3,23,92,35,38.04,57,61.96,03023
3,24,107,45,42.06,62,57.94,03024
3,25,63,10,15.87,53,84.13,03025
3,26,100,23,23.0,77,77.0,03026
3,27,31,5,16.13,26,83.87,03027
3,28,95,49,51.58,46,48.42,03028
3,29,76,37,48.68,39,51.32,03029
3,30,109,36,33.03,73,66.97,03030
3,31,126,32,25.4,94,74.6,03031
3,32,75,17,22.67,58,77.33,03032
3,33,48,12,25.0,36,75.0,03033
3,34,82,25,30.49,57,69.51,03034
3,35,46,17,36.96,29,63.04,03035
3,36,40,17,42.5,23,57.5,03036
3,37,75,22,29.33,53,70.67,03037
3,38,170,82,48.24,88,51.76,03038
3,39,28,5,17.86,23,82.14,03039
3,40,118,40,33.9,78,66.1,03040
3,41,79,33,41.77,46,58.23,03041
4,1,115,25,21.74,90,78.26,04001
4,2,71,15,21.13,56,78.87,04002
4,3,93,37,39.78,56,60.22,04003
4,4,130,49,37.69,81,62.31,04004
4,5,71,20,28.17,51,71.83,04005
4,6,164,54,32.93,110,67.07,04006
4,7,165,46,27.88,119,72.12,04007
4,8,179,54,30.17,125,69.83,04008
4,9,223,64,28.7,159,71.3,04009
4,10,96,23,23.96,73,76.04,04010
4,11,115,38,33.04,77,66.96,04011
4,12,139,52,37.41,87,62.59,04012
4,13,25,6,24.0,19,76.0,04013
4,14,125,28,22.4,97,77.6,04014
4,15,143,42,29.37,101,70.63,04015
4,16,47,6,12.77,41,87.23,04016
4,17,51,13,25.49,38,74.51,04017
4,18,124,53,42.74,71,57.26,04018
4,19,139,61,43.88,78,56.12,04019
4,20,94,18,19.15,76,80.85,04020
4,21,53,10,18.87,43,81.13,04021
4,22,96,28,29.17,68,70.83,04022
4,23,114,17,14.91,97,85.09,04023
4,24,121,28,23.14,93,76.86,04024
4,25,74,18,24.32,56,75.68,04025
4,26,123,44,35.77,79,64.23,04026
4,27,88,20,22.73,68,77.27,04027
4,28,161,51,31.68,110,68.32,04028
4,29,90,32,35.56,58,64.44,04029
4,30,111,39,35.14,72,64.86,04030
4,31,208,60,28.85,148,71.15,04031
4,32,120,27,22.5,93,77.5,04032
4,33,142,42,29.58,100,70.42,04033
4,34,96,35,36.46,61,63.54,04034
4,35,198,55,27.78,143,72.22,04035
4,36,146,49,33.56,97,66.44,04036
4,37,77,21,27.27,56,72.73,04037
4,38,173,46,26.59,127,73.41,04038
5,1,51,22,43.14,29,56.86,05001
5,2,84,38,45.24,46,54.76,05002
5,3,73,20,27.4,53,72.6,05003
5,4,102,26,25.49,76,74.51,05004
5,5,130,52,40.0,78,60.0,05005
5,6,86,34,39.53,52,60.47,05006
5,7,106,30,28.3,76,71.7,05007
5,8,80,15,18.75,65,81.25,05008
5,9,90,23,25.56,67,74.44,05009
5,10,73,20,27.4,53,72.6,05010
5,11,111,29,26.13,82,73.87,05011
5,12,58,20,34.48,38,65.52,05012
5,13,99,46,46.46,53,53.54,05013
5,14,123,48,39.02,75,60.98,05014
5,15,122,27,22.13,95,77.87,05015
5,16,92,41,44.57,51,55.43,05016
5,17,102,45,44.12,57,55.88,05017
5,18,75,25,33.33,50,66.67,05018
5,19,86,22,25.58,64,74.42,05019
5,20,110,21,19.09,89,80.91,05020
5,21,77,20,25.97,57,74.03,05021
5,22,87,23,26.44,64,73.56,05022
5,23,113,32,28.32,81,71.68,05023
5,24,82,17,20.73,65,79.27,05024
5,25,106,43,40.57,63,59.43,05025
5,26,71,25,35.21,46,64.79,05026
5,27,43,5,11.63,38,88.37,05027
5,28,132,48,36.36,84,63.64,05028
5,29,99,33,33.33,66,66.67,05029
5,30,67,29,43.28,38,56.72,05030
5,31,61,21,34.43,40,65.57,05031
5,32,120,30,25.0,90,75.0,05032
5,33,111,47,42.34,64,57.66,05033
5,34,61,9,14.75,52,85.25,05034
5,35,92,14,15.22,78,84.78,05035
5,36,101,45,44.55,56,55.45,05036
5,37,121,25,20.66,96,79.34,05037
5,38,75,38,50.67,37,49.33,05038
5,39,72,14,19.44,58,80.56,05039
5,40,83,29,34.94,54,65.06,05040
5,41,88,23,26.14,65,73.86,05041
6,1,145,53,36.55,92,63.45,06001
6,2,112,41,36.61,71,63.39,06002
6,3,126,45,35.71,81,64.29,06003
6,4,71,34,47.89,37,52.11,06004
6,5,72,32,44.44,40,55.56,06005
6,6,116,31,26.72,85,73.28,06006
6,7,89,40,44.94,49,55.06,06007
6,8,136,56,41.18,80,58.82,06008
6,9,68,24,35.29,44,64.71,06009
6,10,59,23,38.98,36,61.02,06010
6,11,88,39,44.32,49,55.68,06011
