ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,precinct_id
9,1,79,79,100.0,09001
9,2,19,19,100.0,09002
9,4,51,51,100.0,09004
9,5,95,95,100.0,09005
9,6,94,94,100.0,09006
9,9,16,16,100.0,09009
9,13,27,27,100.0,09013
9,14,139,139,100.0,09014
9,17,26,26,100.0,09017
9,19,81,81,100.0,09019
9,22,109,109,100.0,09022
9,29,81,81,100.0,09029
9,31,68,68,100.0,09031
9,32,85,85,100.0,09032
9,34,72,72,100.0,09034
9,35,119,119,100.0,09035
9,38,62,62,100.0,09038
9,39,95,95,100.0,09039
9,40,124,124,100.0,09040
9,43,54,54,100.0,09043
9,44,11,11,100.0,09044
34,2,81,81,100.0,34002
34,3,85,85,100.0,34003
34,4,70,70,100.0,34004
34,6,137,137,100.0,34006
34,9,51,51,100.0,34009
34,11,59,59,100.0,34011
34,14,78,78,100.0,34014
34,15,7,7,100.0,34015
34,16,74,74,100.0,34016
34,18,70,70,100.0,34018
34,20,87,87,100.0,34020
34,22,113,113,100.0,34022
34,23,86,86,100.0,34023
34,24,84,84,100.0,34024
34,26,99,99,100.0,34026
34,27,80,80,100.0,34027
34,28,57,57,100.0,34028
34,30,121,121,100.0,34030
34,31,87,87,100.0,34031
34,33,72,72,100.0,34033
34,36,123,123,100.0,34036
34,37,42,42,100.0,34037
34,38,55,55,100.0,34038
34,39,55,55,100.0,34039
34,41,79,79,100.0,34041
34,42,117,117,100.0,34042
34,50,73,73,100.0,34050
34,51,53,53,100.0,34051
34,53,51,51,100.0,34053
