ward,precinct,total,Jerry A. Esrig,Jerry A. Esrig Percent,Megan Elizabeth Goldish,Megan Elizabeth Goldish Percent,Nathan Benjamin Myers,Nathan Benjamin Myers Percent,precinct_id
39,13,1,0,0.0,0,0.0,1,100.0,39013
39,18,10,4,40.0,3,30.0,3,30.0,39018
39,32,38,11,28.95,21,55.26,6,15.79,39032
39,36,3,1,33.33,2,66.67,0,0.0,39036
40,9,69,11,15.94,45,65.22,13,18.84,40009
40,10,10,0,0.0,8,80.0,2,20.0,40010
40,18,29,5,17.24,16,55.17,8,27.59,40018
40,27,83,19,22.89,50,60.24,14,16.87,40027
40,28,62,16,25.81,41,66.13,5,8.06,40028
40,35,51,10,19.61,35,68.63,6,11.76,40035
40,37,65,12,18.46,45,69.23,8,12.31,40037
41,6,31,10,32.26,19,61.29,2,6.45,41006
41,9,70,21,30.0,40,57.14,9,12.86,41009
41,14,20,5,25.0,15,75.0,0,0.0,41014
41,19,86,24,27.91,54,62.79,8,9.3,41019
41,47,71,18,25.35,46,64.79,7,9.86,41047
48,13,88,26,29.55,55,62.5,7,7.95,48013
48,15,49,16,32.65,26,53.06,7,14.29,48015
48,22,110,27,24.55,61,55.45,22,20.0,48022
48,27,31,5,16.13,17,54.84,9,29.03,48027
48,31,8,0,0.0,6,75.0,2,25.0,48031
48,32,30,8,26.67,18,60.0,4,13.33,48032
48,33,79,20,25.32,45,56.96,14,17.72,48033
48,46,71,19,26.76,44,61.97,8,11.27,48046
49,1,62,9,14.52,40,64.52,13,20.97,49001
49,3,96,22,22.92,69,71.88,5,5.21,49003
49,4,87,27,31.03,52,59.77,8,9.2,49004
49,5,123,21,17.07,78,63.41,24,19.51,49005
49,6,70,16,22.86,46,65.71,8,11.43,49006
49,7,61,17,27.87,36,59.02,8,13.11,49007
49,8,63,22,34.92,34,53.97,7,11.11,49008
49,9,84,25,29.76,51,60.71,8,9.52,49009
49,10,67,21,31.34,42,62.69,4,5.97,49010
49,11,97,21,21.65,67,69.07,9,9.28,49011
49,12,115,35,30.43,74,64.35,6,5.22,49012
49,13,106,22,20.75,77,72.64,7,6.6,49013
49,14,83,16,19.28,47,56.63,20,24.1,49014
49,15,48,9,18.75,37,77.08,2,4.17,49015
49,16,97,19,19.59,63,64.95,15,15.46,49016
49,18,104,28,26.92,70,67.31,6,5.77,49018
49,19,70,14,20.0,45,64.29,11,15.71,49019
49,20,85,21,24.71,57,67.06,7,8.24,49020
49,21,60,18,30.0,29,48.33,13,21.67,49021
49,22,111,38,34.23,61,54.95,12,10.81,49022
49,23,79,17,21.52,47,59.49,15,18.99,49023
49,24,56,18,32.14,34,60.71,4,7.14,49024
49,25,96,19,19.79,63,65.63,14,14.58,49025
49,26,89,16,17.98,60,67.42,13,14.61,49026
49,27,65,8,12.31,43,66.15,14,21.54,49027
49,28,78,15,19.23,56,71.79,7,8.97,49028
49,29,95,23,24.21,62,65.26,10,10.53,49029
49,30,99,20,20.2,67,67.68,12,12.12,49030
49,31,82,23,28.05,53,64.63,6,7.32,49031
49,32,87,20,22.99,54,62.07,13,14.94,49032
49,33,74,24,32.43,42,56.76,8,10.81,49033
50,1,59,18,30.51,36,61.02,5,8.47,50001
50,2,39,14,35.9,21,53.85,4,10.26,50002
50,3,66,35,53.03,28,42.42,3,4.55,50003
50,4,75,25,33.33,44,58.67,6,8.0,50004
50,5,40,15,37.5,25,62.5,0,0.0,50005
50,6,83,23,27.71,42,50.6,18,21.69,50006
50,7,98,33,33.67,58,59.18,7,7.14,50007
50,8,45,7,15.56,32,71.11,6,13.33,50008
50,9,70,31,44.29,32,45.71,7,10.0,50009
50,10,51,13,25.49,31,60.78,7,13.73,50010
50,11,35,13,37.14,17,48.57,5,14.29,50011
50,12,54,16,29.63,30,55.56,8,14.81,50012
50,13,50,4,8.0,37,74.0,9,18.0,50013
50,14,40,10,25.0,25,62.5,5,12.5,50014
50,15,95,30,31.58,60,63.16,5,5.26,50015
50,16,38,14,36.84,17,44.74,7,18.42,50016
50,17,41,14,34.15,24,58.54,3,7.32,50017
50,18,31,12,38.71,12,38.71,7,22.58,50018
50,19,60,14,23.33,41,68.33,5,8.33,50019
50,20,64,22,34.38,35,54.69,7,10.94,50020
50,21,50,13,26.0,31,62.0,6,12.0,50021
50,22,40,14,35.0,20,50.0,6,15.0,50022
50,24,55,24,43.64,29,52.73,2,3.64,50024
50,25,50,19,38.0,18,36.0,13,26.0,50025
50,26,57,13,22.81,33,57.89,11,19.3,50026
50,27,21,4,19.05,14,66.67,3,14.29,50027
50,28,95,23,24.21,51,53.68,21,22.11,50028
50,29,34,8,23.53,18,52.94,8,23.53,50029
50,30,34,5,14.71,26,76.47,3,8.82,50030
50,31,34,6,17.65,24,70.59,4,11.76,50031
50,32,36,3,8.33,25,69.44,8,22.22,50032
50,33,44,14,31.82,26,59.09,4,9.09,50033
50,34,102,26,25.49,69,67.65,7,6.86,50034
50,35,79,22,27.85,45,56.96,12,15.19,50035
50,36,77,31,40.26,39,50.65,7,9.09,50036
50,37,81,17,20.99,55,67.9,9,11.11,50037
50,38,60,16,26.67,37,61.67,7,11.67,50038
50,39,41,5,12.2,29,70.73,7,17.07,50039
50,40,45,13,28.89,30,66.67,2,4.44,50040
