ward,precinct,total,Anjana Hansen,Anjana Hansen Percent,Thomas Peter Kougias,Thomas Peter Kougias Percent,Monica A. Forte,Monica A. Forte Percent,precinct_id
39,13,0,0,0.0,0,0.0,0,0.0,39013
39,18,10,6,60.0,2,20.0,2,20.0,39018
39,32,34,13,38.24,8,23.53,13,38.24,39032
39,36,3,2,66.67,0,0.0,1,33.33,39036
40,9,67,23,34.33,12,17.91,32,47.76,40009
40,10,9,2,22.22,3,33.33,4,44.44,40010
40,18,28,12,42.86,8,28.57,8,28.57,40018
40,27,81,34,41.98,13,16.05,34,41.98,40027
40,28,58,30,51.72,14,24.14,14,24.14,40028
40,35,49,24,48.98,10,20.41,15,30.61,40035
40,37,62,28,45.16,11,17.74,23,37.1,40037
41,6,32,9,28.13,14,43.75,9,28.13,41006
41,9,64,21,32.81,23,35.94,20,31.25,41009
41,14,17,7,41.18,6,35.29,4,23.53,41014
41,19,75,28,37.33,26,34.67,21,28.0,41019
41,47,62,32,51.61,18,29.03,12,19.35,41047
48,13,82,36,43.9,16,19.51,30,36.59,48013
48,15,48,18,37.5,8,16.67,22,45.83,48015
48,22,102,40,39.22,20,19.61,42,41.18,48022
48,27,29,13,44.83,5,17.24,11,37.93,48027
48,31,8,6,75.0,2,25.0,0,0.0,48031
48,32,30,13,43.33,8,26.67,9,30.0,48032
48,33,79,39,49.37,13,16.46,27,34.18,48033
48,46,69,32,46.38,14,20.29,23,33.33,48046
49,1,64,32,50.0,10,15.63,22,34.38,49001
49,3,95,67,70.53,9,9.47,19,20.0,49003
49,4,83,56,67.47,11,13.25,16,19.28,49004
49,5,123,54,43.9,22,17.89,47,38.21,49005
49,6,71,52,73.24,3,4.23,16,22.54,49006
49,7,59,41,69.49,7,11.86,11,18.64,49007
49,8,59,36,61.02,9,15.25,14,23.73,49008
49,9,85,55,64.71,13,15.29,17,20.0,49009
49,10,64,39,60.94,10,15.63,15,23.44,49010
49,11,98,63,64.29,13,13.27,22,22.45,49011
49,12,111,81,72.97,12,10.81,18,16.22,49012
49,13,95,46,48.42,15,15.79,34,35.79,49013
49,14,77,26,33.77,9,11.69,42,54.55,49014
49,15,45,25,55.56,4,8.89,16,35.56,49015
49,16,90,44,48.89,20,22.22,26,28.89,49016
49,18,97,52,53.61,12,12.37,33,34.02,49018
49,19,71,44,61.97,9,12.68,18,25.35,49019
49,20,84,57,67.86,10,11.9,17,20.24,49020
49,21,62,39,62.9,8,12.9,15,24.19,49021
49,22,111,64,57.66,19,17.12,28,25.23,49022
49,23,72,46,63.89,7,9.72,19,26.39,49023
49,24,54,19,35.19,10,18.52,25,46.3,49024
49,25,92,59,64.13,13,14.13,20,21.74,49025
49,26,88,51,57.95,11,12.5,26,29.55,49026
49,27,65,35,53.85,9,13.85,21,32.31,49027
49,28,73,38,52.05,9,12.33,26,35.62,49028
49,29,99,68,68.69,5,5.05,26,26.26,49029
49,30,91,51,56.04,15,16.48,25,27.47,49030
49,31,74,41,55.41,14,18.92,19,25.68,49031
49,32,84,43,51.19,9,10.71,32,38.1,49032
49,33,74,37,50.0,8,10.81,29,39.19,49033
50,1,55,31,56.36,6,10.91,18,32.73,50001
50,2,35,21,60.0,4,11.43,10,28.57,50002
50,3,55,38,69.09,6,10.91,11,20.0,50003
50,4,73,45,61.64,7,9.59,21,28.77,50004
50,5,37,21,56.76,4,10.81,12,32.43,50005
50,6,77,32,41.56,19,24.68,26,33.77,50006
50,7,92,58,63.04,11,11.96,23,25.0,50007
50,8,43,27,62.79,6,13.95,10,23.26,50008
50,9,71,41,57.75,13,18.31,17,23.94,50009
50,10,46,23,50.0,11,23.91,12,26.09,50010
50,11,26,15,57.69,4,15.38,7,26.92,50011
50,12,43,19,44.19,11,25.58,13,30.23,50012
50,13,47,14,29.79,12,25.53,21,44.68,50013
50,14,39,23,58.97,6,15.38,10,25.64,50014
50,15,95,66,69.47,7,7.37,22,23.16,50015
50,16,32,17,53.13,5,15.63,10,31.25,50016
50,17,39,22,56.41,7,17.95,10,25.64,50017
50,18,25,12,48.0,4,16.0,9,36.0,50018
50,19,50,28,56.0,11,22.0,11,22.0,50019
50,20,62,46,74.19,3,4.84,13,20.97,50020
50,21,53,32,60.38,9,16.98,12,22.64,50021
50,22,34,19,55.88,4,11.76,11,32.35,50022
50,24,46,27,58.7,10,21.74,9,19.57,50024
50,25,46,30,65.22,7,15.22,9,19.57,50025
50,26,52,25,48.08,13,25.0,14,26.92,50026
50,27,19,11,57.89,4,21.05,4,21.05,50027
50,28,98,31,31.63,33,33.67,34,34.69,50028
50,29,36,18,50.0,7,19.44,11,30.56,50029
50,30,33,15,45.45,7,21.21,11,33.33,50030
50,31,31,12,38.71,8,25.81,11,35.48,50031
50,32,36,19,52.78,9,25.0,8,22.22,50032
50,33,41,19,46.34,7,17.07,15,36.59,50033
50,34,95,59,62.11,13,13.68,23,24.21,50034
50,35,76,37,48.68,17,22.37,22,28.95,50035
50,36,71,42,59.15,18,25.35,11,15.49,50036
50,37,76,40,52.63,10,13.16,26,34.21,50037
50,38,53,31,58.49,10,18.87,12,22.64,50038
50,39,38,18,47.37,9,23.68,11,28.95,50039
50,40,40,24,60.0,8,20.0,8,20.0,50040
