ward,precinct,total,Cynthia M. Santos,Cynthia M. Santos Percent,precinct_id
1,3,34,34,100.0,01003
1,4,24,24,100.0,01004
1,5,19,19,100.0,01005
1,6,42,42,100.0,01006
1,8,58,58,100.0,01008
1,10,21,21,100.0,01010
1,11,45,45,100.0,01011
1,14,27,27,100.0,01014
1,21,22,22,100.0,01021
1,28,49,49,100.0,01028
1,32,31,31,100.0,01032
1,33,24,24,100.0,01033
1,35,33,33,100.0,01035
1,36,30,30,100.0,01036
1,37,31,31,100.0,01037
1,38,10,10,100.0,01038
1,39,19,19,100.0,01039
1,40,56,56,100.0,01040
2,1,33,33,100.0,02001
2,3,32,32,100.0,02003
2,4,23,23,100.0,02004
2,5,27,27,100.0,02005
2,6,30,30,100.0,02006
2,7,23,23,100.0,02007
2,8,23,23,100.0,02008
2,12,22,22,100.0,02012
2,14,7,7,100.0,02014
2,15,65,65,100.0,02015
2,16,27,27,100.0,02016
2,17,0,0,0.0,02017
2,20,13,13,100.0,02020
2,21,39,39,100.0,02021
2,22,34,34,100.0,02022
2,24,44,44,100.0,02024
2,25,41,41,100.0,02025
2,26,36,36,100.0,02026
2,28,30,30,100.0,02028
2,30,34,34,100.0,02030
2,31,71,71,100.0,02031
2,33,95,95,100.0,02033
2,37,48,48,100.0,02037
2,38,28,28,100.0,02038
2,44,25,25,100.0,02044
26,28,26,26,100.0,26028
26,32,28,28,100.0,26032
27,7,48,48,100.0,27007
27,12,23,23,100.0,27012
27,13,5,5,100.0,27013
27,21,0,0,0.0,27021
27,27,3,3,100.0,27027
27,35,2,2,100.0,27035
27,37,5,5,100.0,27037
27,40,12,12,100.0,27040
27,42,27,27,100.0,27042
27,43,2,2,100.0,27043
27,46,19,19,100.0,27046
29,23,38,38,100.0,29023
29,29,63,63,100.0,29029
29,31,35,35,100.0,29031
29,32,45,45,100.0,29032
29,38,0,0,0.0,29038
29,39,4,4,100.0,29039
30,15,75,75,100.0,30015
30,17,53,53,100.0,30017
30,21,50,50,100.0,30021
32,1,48,48,100.0,32001
32,2,32,32,100.0,32002
32,4,44,44,100.0,32004
32,5,38,38,100.0,32005
32,6,32,32,100.0,32006
32,7,39,39,100.0,32007
32,8,20,20,100.0,32008
32,9,30,30,100.0,32009
32,10,47,47,100.0,32010
32,13,22,22,100.0,32013
32,15,26,26,100.0,32015
32,16,38,38,100.0,32016
32,18,29,29,100.0,32018
32,19,30,30,100.0,32019
32,21,45,45,100.0,32021
32,23,25,25,100.0,32023
32,24,14,14,100.0,32024
32,25,35,35,100.0,32025
32,27,17,17,100.0,32027
32,29,54,54,100.0,32029
32,30,25,25,100.0,32030
32,31,33,33,100.0,32031
32,32,36,36,100.0,32032
32,33,47,47,100.0,32033
32,34,26,26,100.0,32034
32,35,28,28,100.0,32035
32,36,30,30,100.0,32036
32,37,21,21,100.0,32037
32,38,27,27,100.0,32038
32,39,31,31,100.0,32039
32,40,27,27,100.0,32040
32,41,34,34,100.0,32041
32,42,27,27,100.0,32042
33,2,55,55,100.0,33002
33,3,4,4,100.0,33003
33,5,53,53,100.0,33005
33,7,60,60,100.0,33007
33,8,55,55,100.0,33008
33,9,0,0,0.0,33009
33,10,1,1,100.0,33010
33,18,64,64,100.0,33018
33,19,3,3,100.0,33019
33,23,0,0,0.0,33023
33,24,96,96,100.0,33024
33,27,3,3,100.0,33027
36,7,57,57,100.0,36007
36,14,91,91,100.0,36014
