ward,precinct,total,Brad Stephens,Brad Stephens Percent,precinct_id
29,1,400,400,100.0,29001
38,1,747,747,100.0,38001
38,2,343,343,100.0,38002
38,3,462,462,100.0,38003
38,4,351,351,100.0,38004
38,5,551,551,100.0,38005
38,6,325,325,100.0,38006
38,7,389,389,100.0,38007
38,8,352,352,100.0,38008
38,9,308,308,100.0,38009
38,10,334,334,100.0,38010
38,13,264,264,100.0,38013
41,1,244,244,100.0,41001
41,4,426,426,100.0,41004
41,5,407,407,100.0,41005
41,6,400,400,100.0,41006
41,7,322,322,100.0,41007
41,8,335,335,100.0,41008
41,9,590,590,100.0,41009
41,10,506,506,100.0,41010
41,16,214,214,100.0,41016
41,17,170,170,100.0,41017
41,18,577,577,100.0,41018
41,19,285,285,100.0,41019
41,20,343,343,100.0,41020
41,21,323,323,100.0,41021
41,22,260,260,100.0,41022
41,23,365,365,100.0,41023
41,24,411,411,100.0,41024
41,25,507,507,100.0,41025
41,26,626,626,100.0,41026
41,27,463,463,100.0,41027
41,28,764,764,100.0,41028
41,29,801,801,100.0,41029
41,30,669,669,100.0,41030
41,31,627,627,100.0,41031
45,6,366,366,100.0,45006
