ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,precinct_id
1,12,361,361,100.0,01012
1,13,540,540,100.0,01013
1,14,473,473,100.0,01014
1,15,811,811,100.0,01015
1,16,820,820,100.0,01016
1,21,27,27,100.0,01021
1,22,912,912,100.0,01022
1,23,436,436,100.0,01023
1,24,937,937,100.0,01024
1,25,848,848,100.0,01025
1,26,768,768,100.0,01026
2,1,677,677,100.0,02001
2,2,853,853,100.0,02002
2,3,545,545,100.0,02003
2,4,582,582,100.0,02004
2,10,378,378,100.0,02010
2,11,625,625,100.0,02011
2,18,617,617,100.0,02018
2,21,131,131,100.0,02021
2,22,529,529,100.0,02022
2,23,354,354,100.0,02023
3,1,668,668,100.0,03001
3,2,32,32,100.0,03002
3,3,450,450,100.0,03003
3,5,122,122,100.0,03005
3,6,668,668,100.0,03006
3,7,116,116,100.0,03007
3,8,521,521,100.0,03008
3,9,402,402,100.0,03009
3,10,423,423,100.0,03010
3,11,716,716,100.0,03011
3,12,678,678,100.0,03012
3,13,770,770,100.0,03013
3,14,823,823,100.0,03014
3,15,554,554,100.0,03015
3,16,350,350,100.0,03016
3,17,195,195,100.0,03017
3,18,236,236,100.0,03018
3,19,317,317,100.0,03019
3,20,192,192,100.0,03020
3,21,571,571,100.0,03021
3,22,447,447,100.0,03022
3,24,131,131,100.0,03024
3,25,809,809,100.0,03025
4,24,149,149,100.0,04024
4,25,863,863,100.0,04025
4,26,747,747,100.0,04026
4,27,822,822,100.0,04027
4,28,870,870,100.0,04028
11,1,175,175,100.0,11001
11,2,79,79,100.0,11002
11,3,454,454,100.0,11003
11,7,261,261,100.0,11007
11,8,374,374,100.0,11008
11,9,397,397,100.0,11009
11,10,71,71,100.0,11010
11,11,73,73,100.0,11011
11,12,135,135,100.0,11012
11,13,357,357,100.0,11013
11,14,660,660,100.0,11014
11,21,556,556,100.0,11021
11,22,367,367,100.0,11022
11,23,399,399,100.0,11023
14,1,294,294,100.0,14001
15,1,189,189,100.0,15001
15,2,269,269,100.0,15002
15,3,116,116,100.0,15003
15,10,108,108,100.0,15010
15,15,200,200,100.0,15015
15,16,335,335,100.0,15016
15,17,408,408,100.0,15017
15,18,307,307,100.0,15018
15,19,176,176,100.0,15019
16,1,351,351,100.0,16001
16,2,225,225,100.0,16002
16,3,285,285,100.0,16003
16,4,194,194,100.0,16004
16,5,392,392,100.0,16005
16,6,376,376,100.0,16006
16,7,163,163,100.0,16007
16,8,156,156,100.0,16008
16,9,360,360,100.0,16009
16,10,304,304,100.0,16010
16,11,246,246,100.0,16011
16,12,104,104,100.0,16012
16,13,158,158,100.0,16013
16,14,409,409,100.0,16014
16,15,342,342,100.0,16015
16,16,261,261,100.0,16016
16,17,437,437,100.0,16017
16,18,404,404,100.0,16018
16,19,310,310,100.0,16019
16,20,210,210,100.0,16020
16,21,240,240,100.0,16021
16,22,321,321,100.0,16022
16,23,31,31,100.0,16023
16,24,273,273,100.0,16024
16,25,131,131,100.0,16025
17,2,157,157,100.0,17002
17,3,318,318,100.0,17003
17,4,319,319,100.0,17004
17,5,208,208,100.0,17005
17,6,308,308,100.0,17006
17,7,178,178,100.0,17007
17,8,235,235,100.0,17008
17,9,240,240,100.0,17009
17,11,286,286,100.0,17011
17,12,174,174,100.0,17012
17,13,198,198,100.0,17013
17,14,190,190,100.0,17014
18,11,454,454,100.0,18011
20,1,49,49,100.0,20001
20,3,161,161,100.0,20003
20,4,133,133,100.0,20004
20,5,219,219,100.0,20005
20,6,164,164,100.0,20006
20,7,224,224,100.0,20007
20,8,119,119,100.0,20008
20,9,502,502,100.0,20009
20,10,526,526,100.0,20010
20,11,424,424,100.0,20011
20,14,80,80,100.0,20014
20,23,228,228,100.0,20023
22,1,202,202,100.0,22001
22,2,90,90,100.0,22002
24,1,234,234,100.0,24001
24,2,211,211,100.0,24002
24,3,420,420,100.0,24003
