ward,precinct,total,Kam Buckner,Kam Buckner Percent,precinct_id
2,1,668,668,100.0,02001
2,2,830,830,100.0,02002
2,3,537,537,100.0,02003
2,4,569,569,100.0,02004
2,5,561,561,100.0,02005
2,6,785,785,100.0,02006
2,7,709,709,100.0,02007
3,2,27,27,100.0,03002
3,4,471,471,100.0,03004
3,12,629,629,100.0,03012
3,27,297,297,100.0,03027
4,2,316,316,100.0,04002
4,4,628,628,100.0,04004
4,5,317,317,100.0,04005
4,9,474,474,100.0,04009
4,13,400,400,100.0,04013
4,14,348,348,100.0,04014
4,15,350,350,100.0,04015
4,16,511,511,100.0,04016
4,17,690,690,100.0,04017
4,18,213,213,100.0,04018
4,20,513,513,100.0,04020
4,21,402,402,100.0,04021
4,23,366,366,100.0,04023
4,24,57,57,100.0,04024
5,1,389,389,100.0,05001
5,6,265,265,100.0,05006
5,8,188,188,100.0,05008
5,9,176,176,100.0,05009
5,10,271,271,100.0,05010
5,13,289,289,100.0,05013
5,24,148,148,100.0,05024
5,25,0,0,0.0,05025
7,1,510,510,100.0,07001
7,2,647,647,100.0,07002
7,9,0,0,0.0,07009
7,10,463,463,100.0,07010
7,11,200,200,100.0,07011
7,12,542,542,100.0,07012
7,13,383,383,100.0,07013
7,16,1,1,100.0,07016
8,1,236,236,100.0,08001
8,4,111,111,100.0,08004
10,1,61,61,100.0,10001
20,13,185,185,100.0,20013
20,14,418,418,100.0,20014
20,18,622,622,100.0,20018
20,19,353,353,100.0,20019
34,20,87,87,100.0,34020
42,1,264,264,100.0,42001
42,2,256,256,100.0,42002
42,3,722,722,100.0,42003
42,4,606,606,100.0,42004
42,5,825,825,100.0,42005
42,6,347,347,100.0,42006
42,7,570,570,100.0,42007
42,8,407,407,100.0,42008
42,9,640,640,100.0,42009
42,10,427,427,100.0,42010
42,11,75,75,100.0,42011
42,22,103,103,100.0,42022
42,23,562,562,100.0,42023
