ward,precinct,total,Lamont J. Robinson,Lamont J. Robinson Percent,precinct_id
3,1,646,646,100.0,03001
3,2,633,633,100.0,03002
3,6,649,649,100.0,03006
3,7,346,346,100.0,03007
3,8,503,503,100.0,03008
3,9,399,399,100.0,03009
3,10,414,414,100.0,03010
3,11,702,702,100.0,03011
3,14,817,817,100.0,03014
3,15,535,535,100.0,03015
3,16,347,347,100.0,03016
3,19,836,836,100.0,03019
3,20,617,617,100.0,03020
3,21,553,553,100.0,03021
3,22,468,468,100.0,03022
3,23,305,305,100.0,03023
3,24,111,111,100.0,03024
3,25,812,812,100.0,03025
3,26,302,302,100.0,03026
3,27,402,402,100.0,03027
4,19,461,461,100.0,04019
4,20,118,118,100.0,04020
4,22,210,210,100.0,04022
4,24,688,688,100.0,04024
4,25,845,845,100.0,04025
4,27,818,818,100.0,04027
5,11,422,422,100.0,05011
5,24,8,8,100.0,05024
6,7,170,170,100.0,06007
8,1,268,268,100.0,08001
20,6,98,98,100.0,20006
20,7,208,208,100.0,20007
20,8,132,132,100.0,20008
20,9,475,475,100.0,20009
20,10,500,500,100.0,20010
20,11,406,406,100.0,20011
20,12,81,81,100.0,20012
20,15,392,392,100.0,20015
20,16,444,444,100.0,20016
20,17,523,523,100.0,20017
20,20,462,462,100.0,20020
20,21,607,607,100.0,20021
20,22,536,536,100.0,20022
34,18,700,700,100.0,34018
34,19,511,511,100.0,34019
34,20,560,560,100.0,34020
42,11,62,62,100.0,42011
42,12,384,384,100.0,42012
42,13,281,281,100.0,42013
42,16,669,669,100.0,42016
42,17,777,777,100.0,42017
42,18,442,442,100.0,42018
42,21,192,192,100.0,42021
