ward,precinct,total,Bill Cunningham,Bill Cunningham Percent,Christine Shanahan McGovern,Christine Shanahan McGovern Percent,precinct_id
18,1,362,344,95.03,18,4.97,18001
18,7,621,582,93.72,39,6.28,18007
19,1,885,566,63.95,319,36.05,19001
19,2,813,704,86.59,109,13.41,19002
19,3,662,244,36.86,418,63.14,19003
19,4,615,286,46.5,329,53.5,19004
19,5,674,550,81.6,124,18.4,19005
19,6,653,292,44.72,361,55.28,19006
19,7,892,554,62.11,338,37.89,19007
19,8,291,279,95.88,12,4.12,19008
19,9,553,523,94.58,30,5.42,19009
19,10,650,530,81.54,120,18.46,19010
19,11,553,289,52.26,264,47.74,19011
19,12,862,379,43.97,483,56.03,19012
19,13,526,489,92.97,37,7.03,19013
19,14,757,661,87.32,96,12.68,19014
19,15,506,225,44.47,281,55.53,19015
19,16,613,285,46.49,328,53.51,19016
19,17,586,338,57.68,248,42.32,19017
19,18,571,241,42.21,330,57.79,19018
19,19,684,578,84.5,106,15.5,19019
19,20,49,47,95.92,2,4.08,19020
19,21,872,393,45.07,479,54.93,19021
19,22,665,515,77.44,150,22.56,19022
19,23,640,385,60.16,255,39.84,19023
19,24,609,251,41.22,358,58.78,19024
19,25,116,112,96.55,4,3.45,19025
19,26,565,419,74.16,146,25.84,19026
19,27,658,586,89.06,72,10.94,19027
19,28,1006,931,92.54,75,7.46,19028
19,29,741,368,49.66,373,50.34,19029
19,30,636,264,41.51,372,58.49,19030
19,31,937,735,78.44,202,21.56,19031
19,33,466,163,34.98,303,65.02,19033
19,34,1011,629,62.22,382,37.78,19034
19,35,682,538,78.89,144,21.11,19035
19,36,558,430,77.06,128,22.94,19036
21,16,653,628,96.17,25,3.83,21016
21,21,316,307,97.15,9,2.85,21021
21,26,322,313,97.2,9,2.8,21026
21,27,707,676,95.62,31,4.38,21027
