ward,precinct,total,Barry Goldberg,Barry Goldberg Percent,precinct_id
39,15,49,49,100.0,39015
39,27,103,103,100.0,39027
40,1,464,464,100.0,40001
40,2,518,518,100.0,40002
40,3,484,484,100.0,40003
40,4,65,65,100.0,40004
40,6,411,411,100.0,40006
40,7,487,487,100.0,40007
45,2,338,338,100.0,45002
45,3,175,175,100.0,45003
45,4,44,44,100.0,45004
45,5,360,360,100.0,45005
48,2,255,255,100.0,48002
48,13,487,487,100.0,48013
48,18,228,228,100.0,48018
48,22,305,305,100.0,48022
48,27,254,254,100.0,48027
48,32,340,340,100.0,48032
48,33,227,227,100.0,48033
49,1,670,670,100.0,49001
49,2,601,601,100.0,49002
49,3,786,786,100.0,49003
49,4,788,788,100.0,49004
49,5,854,854,100.0,49005
49,6,55,55,100.0,49006
49,7,349,349,100.0,49007
49,8,670,670,100.0,49008
49,9,842,842,100.0,49009
49,10,561,561,100.0,49010
49,11,627,627,100.0,49011
49,12,547,547,100.0,49012
49,13,718,718,100.0,49013
49,14,868,868,100.0,49014
49,15,780,780,100.0,49015
49,16,740,740,100.0,49016
49,17,833,833,100.0,49017
50,1,359,359,100.0,50001
50,2,364,364,100.0,50002
50,3,307,307,100.0,50003
50,4,327,327,100.0,50004
50,5,515,515,100.0,50005
50,6,248,248,100.0,50006
50,7,645,645,100.0,50007
50,8,440,440,100.0,50008
50,9,128,128,100.0,50009
50,10,290,290,100.0,50010
50,11,381,381,100.0,50011
50,12,121,121,100.0,50012
50,13,445,445,100.0,50013
50,14,81,81,100.0,50014
50,15,430,430,100.0,50015
50,16,85,85,100.0,50016
50,17,215,215,100.0,50017
50,18,56,56,100.0,50018
50,19,199,199,100.0,50019
50,20,125,125,100.0,50020
50,21,339,339,100.0,50021
50,22,425,425,100.0,50022
50,23,217,217,100.0,50023
50,24,348,348,100.0,50024
50,25,105,105,100.0,50025
50,26,177,177,100.0,50026
50,27,84,84,100.0,50027
