ward,precinct,total,Thomas More Donnelly,Thomas More Donnelly Percent,precinct_id
1,1,648,648,100.0,01001
1,2,671,671,100.0,01002
1,3,754,754,100.0,01003
1,4,682,682,100.0,01004
1,5,697,697,100.0,01005
1,6,584,584,100.0,01006
1,7,726,726,100.0,01007
1,8,640,640,100.0,01008
1,9,325,325,100.0,01009
1,10,858,858,100.0,01010
1,11,675,675,100.0,01011
1,12,288,288,100.0,01012
1,13,463,463,100.0,01013
1,14,409,409,100.0,01014
1,15,706,706,100.0,01015
1,16,680,680,100.0,01016
1,17,443,443,100.0,01017
1,18,649,649,100.0,01018
1,19,584,584,100.0,01019
1,20,591,591,100.0,01020
1,21,583,583,100.0,01021
1,22,782,782,100.0,01022
1,23,387,387,100.0,01023
1,24,812,812,100.0,01024
1,25,720,720,100.0,01025
1,26,620,620,100.0,01026
2,1,598,598,100.0,02001
2,2,743,743,100.0,02002
2,3,490,490,100.0,02003
2,4,525,525,100.0,02004
2,5,495,495,100.0,02005
2,6,693,693,100.0,02006
2,7,612,612,100.0,02007
2,8,461,461,100.0,02008
2,9,675,675,100.0,02009
2,10,325,325,100.0,02010
2,11,541,541,100.0,02011
2,12,482,482,100.0,02012
2,13,646,646,100.0,02013
2,14,413,413,100.0,02014
2,15,536,536,100.0,02015
2,16,608,608,100.0,02016
2,17,886,886,100.0,02017
2,18,553,553,100.0,02018
2,19,302,302,100.0,02019
2,20,349,349,100.0,02020
2,21,114,114,100.0,02021
2,22,452,452,100.0,02022
2,23,505,505,100.0,02023
2,24,385,385,100.0,02024
2,25,565,565,100.0,02025
3,1,557,557,100.0,03001
3,2,552,552,100.0,03002
3,3,383,383,100.0,03003
3,4,430,430,100.0,03004
3,5,108,108,100.0,03005
3,6,562,562,100.0,03006
3,7,280,280,100.0,03007
3,8,432,432,100.0,03008
3,9,364,364,100.0,03009
3,10,368,368,100.0,03010
3,11,607,607,100.0,03011
3,12,570,570,100.0,03012
3,13,682,682,100.0,03013
3,14,713,713,100.0,03014
3,15,474,474,100.0,03015
3,16,295,295,100.0,03016
3,17,157,157,100.0,03017
3,18,179,179,100.0,03018
3,19,738,738,100.0,03019
3,20,505,505,100.0,03020
3,21,515,515,100.0,03021
3,22,407,407,100.0,03022
3,23,250,250,100.0,03023
3,24,114,114,100.0,03024
3,25,712,712,100.0,03025
3,26,246,246,100.0,03026
3,27,626,626,100.0,03027
4,1,731,731,100.0,04001
4,2,272,272,100.0,04002
4,3,474,474,100.0,04003
4,4,583,583,100.0,04004
4,5,267,267,100.0,04005
4,6,401,401,100.0,04006
4,7,291,291,100.0,04007
4,8,407,407,100.0,04008
4,9,433,433,100.0,04009
4,10,411,411,100.0,04010
