ward,precinct,total,"Jaime M. Andrade, Jr.","Jaime M. Andrade, Jr. Percent",precinct_id
30,3,48,48,100.0,30003
30,8,531,531,100.0,30008
30,15,264,264,100.0,30015
30,18,389,389,100.0,30018
30,20,279,279,100.0,30020
30,26,531,531,100.0,30026
31,2,469,469,100.0,31002
31,4,301,301,100.0,31004
32,2,341,341,100.0,32002
32,10,826,826,100.0,32010
32,11,519,519,100.0,32011
32,12,295,295,100.0,32012
32,13,191,191,100.0,32013
32,16,435,435,100.0,32016
32,17,818,818,100.0,32017
32,18,348,348,100.0,32018
32,19,322,322,100.0,32019
32,23,244,244,100.0,32023
33,1,857,857,100.0,33001
33,2,943,943,100.0,33002
33,3,674,674,100.0,33003
33,4,876,876,100.0,33004
33,5,724,724,100.0,33005
33,6,766,766,100.0,33006
33,7,709,709,100.0,33007
33,8,441,441,100.0,33008
33,9,504,504,100.0,33009
33,10,524,524,100.0,33010
33,11,418,418,100.0,33011
33,12,661,661,100.0,33012
33,13,507,507,100.0,33013
33,14,778,778,100.0,33014
33,15,573,573,100.0,33015
33,16,328,328,100.0,33016
33,17,680,680,100.0,33017
35,13,581,581,100.0,35013
35,16,930,930,100.0,35016
35,17,602,602,100.0,35017
35,18,394,394,100.0,35018
35,19,560,560,100.0,35019
35,20,343,343,100.0,35020
35,21,534,534,100.0,35021
35,22,730,730,100.0,35022
39,10,140,140,100.0,39010
39,24,28,28,100.0,39024
39,25,167,167,100.0,39025
45,29,187,187,100.0,45029
47,28,242,242,100.0,47028
