ward,precinct,total,Robyn Gabel,Robyn Gabel Percent,Charles Hutchinson,Charles Hutchinson Percent,precinct_id
40,1,583,497,85.25,86,14.75,40001
49,1,36,31,86.11,5,13.89,49001
50,4,450,354,78.67,96,21.33,50004
50,6,319,278,87.15,41,12.85,50006
50,7,75,67,89.33,8,10.67,50007
50,15,172,139,80.81,33,19.19,50015
