ward,precinct,total,Laura Fine,Laura Fine Percent,Paul T. Kelly,Paul T. Kelly Percent,precinct_id
40,1,583,503,86.28,80,13.72,40001
49,1,36,28,77.78,8,22.22,49001
50,4,450,349,77.56,101,22.44,50004
50,6,323,279,86.38,44,13.62,50006
50,7,74,65,87.84,9,12.16,50007
50,15,171,139,81.29,32,18.71,50015
