ward,precinct,total,La Shawn K. Ford,La Shawn K. Ford Percent,Thomas Hurley,Thomas Hurley Percent,precinct_id
24,1,236,231,97.88,5,2.12,24001
28,1,285,279,97.89,6,2.11,28001
28,2,285,276,96.84,9,3.16,28002
28,24,89,86,96.63,3,3.37,28024
28,25,544,525,96.51,19,3.49,28025
29,18,525,505,96.19,20,3.81,29018
29,19,582,564,96.91,18,3.09,29019
29,20,332,318,95.78,14,4.22,29020
29,21,429,378,88.11,51,11.89,29021
29,22,590,570,96.61,20,3.39,29022
29,23,533,517,97.0,16,3.0,29023
29,24,421,409,97.15,12,2.85,29024
37,1,433,399,92.15,34,7.85,37001
37,3,407,396,97.3,11,2.7,37003
37,5,324,309,95.37,15,4.63,37005
37,6,562,540,96.09,22,3.91,37006
37,8,520,504,96.92,16,3.08,37008
37,10,367,339,92.37,28,7.63,37010
37,11,382,371,97.12,11,2.88,37011
37,12,519,483,93.06,36,6.94,37012
37,14,520,507,97.5,13,2.5,37014
37,15,486,459,94.44,27,5.56,37015
37,16,507,464,91.52,43,8.48,37016
37,17,316,306,96.84,10,3.16,37017
37,20,550,526,95.64,24,4.36,37020
37,22,213,197,92.49,16,7.51,37022
