ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
1,18,743,743,100.0,01018
1,19,672,672,100.0,01019
1,21,649,649,100.0,01021
1,23,441,441,100.0,01023
1,25,840,840,100.0,01025
1,26,771,771,100.0,01026
2,10,98,98,100.0,02010
2,18,139,139,100.0,02018
2,22,521,521,100.0,02022
2,23,556,556,100.0,02023
2,24,430,430,100.0,02024
2,25,656,656,100.0,02025
22,1,187,187,100.0,22001
24,2,199,199,100.0,24002
24,3,407,407,100.0,24003
24,4,352,352,100.0,24004
24,5,580,580,100.0,24005
24,6,366,366,100.0,24006
24,7,173,173,100.0,24007
24,8,242,242,100.0,24008
24,9,430,430,100.0,24009
24,10,314,314,100.0,24010
24,11,407,407,100.0,24011
24,12,469,469,100.0,24012
24,13,434,434,100.0,24013
24,14,331,331,100.0,24014
24,15,372,372,100.0,24015
24,16,484,484,100.0,24016
24,17,285,285,100.0,24017
24,18,109,109,100.0,24018
25,3,52,52,100.0,25003
25,13,516,516,100.0,25013
25,15,485,485,100.0,25015
25,17,47,47,100.0,25017
27,1,474,474,100.0,27001
27,2,655,655,100.0,27002
27,3,356,356,100.0,27003
27,4,454,454,100.0,27004
27,5,99,99,100.0,27005
27,6,612,612,100.0,27006
27,7,779,779,100.0,27007
27,8,184,184,100.0,27008
27,9,580,580,100.0,27009
27,10,317,317,100.0,27010
27,11,558,558,100.0,27011
27,13,461,461,100.0,27013
27,14,376,376,100.0,27014
27,15,192,192,100.0,27015
27,16,633,633,100.0,27016
27,17,237,237,100.0,27017
27,18,565,565,100.0,27018
27,20,336,336,100.0,27020
27,21,149,149,100.0,27021
27,22,351,351,100.0,27022
27,23,308,308,100.0,27023
27,25,413,413,100.0,27025
27,26,467,467,100.0,27026
27,27,315,315,100.0,27027
27,29,745,745,100.0,27029
28,3,77,77,100.0,28003
28,4,230,230,100.0,28004
28,5,227,227,100.0,28005
28,6,391,391,100.0,28006
28,7,182,182,100.0,28007
28,8,381,381,100.0,28008
28,9,205,205,100.0,28009
28,10,119,119,100.0,28010
28,11,518,518,100.0,28011
28,12,641,641,100.0,28012
28,13,495,495,100.0,28013
28,14,445,445,100.0,28014
28,15,265,265,100.0,28015
28,16,535,535,100.0,28016
28,17,301,301,100.0,28017
28,18,347,347,100.0,28018
28,19,348,348,100.0,28019
28,20,283,283,100.0,28020
28,21,311,311,100.0,28021
28,22,232,232,100.0,28022
28,23,330,330,100.0,28023
28,24,171,171,100.0,28024
28,26,161,161,100.0,28026
32,23,14,14,100.0,32023
32,25,609,609,100.0,32025
32,26,801,801,100.0,32026
32,27,817,817,100.0,32027
32,29,304,304,100.0,32029
34,1,569,569,100.0,34001
34,2,324,324,100.0,34002
34,3,771,771,100.0,34003
34,4,420,420,100.0,34004
34,5,753,753,100.0,34005
34,6,544,544,100.0,34006
34,7,255,255,100.0,34007
34,8,420,420,100.0,34008
34,9,781,781,100.0,34009
34,10,312,312,100.0,34010
34,11,535,535,100.0,34011
34,12,535,535,100.0,34012
34,13,617,617,100.0,34013
34,14,479,479,100.0,34014
34,15,0,0,0.0,34015
37,13,300,300,100.0,37013
37,21,3,3,100.0,37021
42,14,0,0,0.0,42014
42,19,645,645,100.0,42019
42,20,639,639,100.0,42020
42,21,99,99,100.0,42021
43,15,72,72,100.0,43015
43,20,424,424,100.0,43020
43,21,388,388,100.0,43021
43,22,702,702,100.0,43022
43,23,637,637,100.0,43023
