ward,precinct,total,Jonathan L. Jackson,Jonathan L. Jackson Percent,Eric Carlson,Eric Carlson Percent,precinct_id
3,2,666,650,97.6,16,2.4,03002
3,4,506,486,96.05,20,3.95,03004
3,7,253,236,93.28,17,6.72,03007
3,19,615,488,79.35,127,20.65,03019
3,20,444,428,96.4,16,3.6,03020
3,22,21,21,100.0,0,0.0,03022
3,23,340,311,91.47,29,8.53,03023
3,26,327,306,93.58,21,6.42,03026
3,27,829,660,79.61,169,20.39,03027
4,1,562,530,94.31,32,5.69,04001
4,2,349,322,92.26,27,7.74,04002
4,3,313,301,96.17,12,3.83,04003
4,4,707,680,96.18,27,3.82,04004
4,5,338,331,97.93,7,2.07,04005
4,6,486,456,93.83,30,6.17,04006
4,9,523,505,96.56,18,3.44,04009
4,13,438,414,94.52,24,5.48,04013
4,14,424,402,94.81,22,5.19,04014
4,15,383,365,95.3,18,4.7,04015
4,16,550,535,97.27,15,2.73,04016
4,17,763,737,96.59,26,3.41,04017
4,18,254,247,97.24,7,2.76,04018
4,19,480,448,93.33,32,6.67,04019
4,20,683,649,95.02,34,4.98,04020
4,21,436,412,94.5,24,5.5,04021
4,22,217,209,96.31,8,3.69,04022
4,23,398,365,91.71,33,8.29,04023
4,24,649,616,94.92,33,5.08,04024
5,1,677,644,95.13,33,4.87,05001
5,7,169,163,96.45,6,3.55,05007
5,8,214,208,97.2,6,2.8,05008
5,9,4,4,100.0,0,0.0,05009
5,10,306,290,94.77,16,5.23,05010
5,11,453,439,96.91,14,3.09,05011
5,13,329,320,97.26,9,2.74,05013
5,14,368,364,98.91,4,1.09,05014
5,15,173,163,94.22,10,5.78,05015
5,20,718,686,95.54,32,4.46,05020
5,21,648,605,93.36,43,6.64,05021
5,22,751,707,94.14,44,5.86,05022
5,23,418,391,93.54,27,6.46,05023
5,24,464,415,89.44,49,10.56,05024
5,25,1086,996,91.71,90,8.29,05025
6,1,226,219,96.9,7,3.1,06001
6,2,286,275,96.15,11,3.85,06002
6,3,88,86,97.73,2,2.27,06003
6,4,202,198,98.02,4,1.98,06004
6,5,372,359,96.51,13,3.49,06005
6,6,337,319,94.66,18,5.34,06006
6,7,411,400,97.32,11,2.68,06007
6,8,325,308,94.77,17,5.23,06008
