ward,precinct,total,Mary E. Flowers,Mary E. Flowers Percent,Kenneth J. Yerkes,Kenneth J. Yerkes Percent,precinct_id
6,12,423,410,96.93,13,3.07,06012
6,13,212,205,96.7,7,3.3,06013
6,19,345,338,97.97,7,2.03,06019
17,5,69,69,100.0,0,0.0,17005
17,8,1,1,100.0,0,0.0,17008
17,10,503,485,96.42,18,3.58,17010
17,14,34,30,88.24,4,11.76,17014
17,15,592,569,96.11,23,3.89,17015
17,16,269,260,96.65,9,3.35,17016
17,17,229,218,95.2,11,4.8,17017
17,18,667,646,96.85,21,3.15,17018
17,19,457,446,97.59,11,2.41,17019
17,20,447,436,97.54,11,2.46,17020
17,21,537,521,97.02,16,2.98,17021
17,22,534,521,97.57,13,2.43,17022
17,23,341,326,95.6,15,4.4,17023
17,24,565,548,96.99,17,3.01,17024
17,25,248,240,96.77,8,3.23,17025
17,26,455,446,98.02,9,1.98,17026
17,27,547,533,97.44,14,2.56,17027
17,28,630,618,98.1,12,1.9,17028
17,29,121,118,97.52,3,2.48,17029
18,1,328,311,94.82,17,5.18,18001
18,2,730,712,97.53,18,2.47,18002
18,3,306,289,94.44,17,5.56,18003
18,4,543,521,95.95,22,4.05,18004
18,5,452,437,96.68,15,3.32,18005
18,6,781,743,95.13,38,4.87,18006
18,8,895,856,95.64,39,4.36,18008
18,9,694,654,94.24,40,5.76,18009
18,10,803,751,93.52,52,6.48,18010
18,12,707,669,94.63,38,5.37,18012
18,13,579,507,87.56,72,12.44,18013
19,25,434,333,76.73,101,23.27,19025
21,23,528,513,97.16,15,2.84,21023
21,26,103,99,96.12,4,3.88,21026
