ward,precinct,total,JB Pritzker & Juliana Stratton,JB Pritzker & Juliana Stratton Percent,Darren Bailey & Stephanie Trussell,Darren Bailey & Stephanie Trussell Percent,Scott Schluter & John Phillips,Scott Schluter & John Phillips Percent,precinct_id
1,1,889,803,90.33,62,6.97,24,2.7,01001
1,2,884,814,92.08,55,6.22,15,1.7,01002
1,3,960,849,88.44,87,9.06,24,2.5,01003
1,4,846,795,93.97,37,4.37,14,1.65,01004
1,5,902,835,92.57,53,5.88,14,1.55,01005
1,6,770,684,88.83,70,9.09,16,2.08,01006
1,7,923,854,92.52,56,6.07,13,1.41,01007
1,8,815,736,90.31,63,7.73,16,1.96,01008
1,9,456,389,85.31,51,11.18,16,3.51,01009
1,10,1094,990,90.49,80,7.31,24,2.19,01010
1,11,836,756,90.43,70,8.37,10,1.2,01011
1,12,408,366,89.71,35,8.58,7,1.72,01012
1,13,601,543,90.35,51,8.49,7,1.16,01013
1,14,561,489,87.17,54,9.63,18,3.21,01014
1,15,908,824,90.75,70,7.71,14,1.54,01015
1,16,930,832,89.46,86,9.25,12,1.29,01016
1,17,584,535,91.61,43,7.36,6,1.03,01017
1,18,818,746,91.2,55,6.72,17,2.08,01018
1,19,764,649,84.95,89,11.65,26,3.4,01019
1,20,748,672,89.84,58,7.75,18,2.41,01020
1,21,747,650,87.01,74,9.91,23,3.08,01021
1,22,1022,902,88.26,92,9.0,28,2.74,01022
1,23,503,438,87.08,53,10.54,12,2.39,01023
1,24,1067,938,87.91,116,10.87,13,1.22,01024
1,25,969,845,87.2,101,10.42,23,2.37,01025
1,26,926,781,84.34,125,13.5,20,2.16,01026
2,1,850,644,75.76,184,21.65,22,2.59,02001
2,2,1066,857,80.39,193,18.11,16,1.5,02002
2,3,655,530,80.92,107,16.34,18,2.75,02003
2,4,706,562,79.6,128,18.13,16,2.27,02004
2,5,722,547,75.76,154,21.33,21,2.91,02005
2,6,1025,811,79.12,200,19.51,14,1.37,02006
2,7,932,692,74.25,218,23.39,22,2.36,02007
2,8,730,553,75.75,153,20.96,24,3.29,02008
2,9,990,741,74.85,215,21.72,34,3.43,02009
2,10,505,352,69.7,133,26.34,20,3.96,02010
2,11,771,618,80.16,136,17.64,17,2.2,02011
2,12,680,523,76.91,140,20.59,17,2.5,02012
2,13,967,710,73.42,235,24.3,22,2.28,02013
2,14,583,462,79.25,104,17.84,17,2.92,02014
2,15,790,583,73.8,182,23.04,25,3.16,02015
2,16,876,666,76.03,185,21.12,25,2.85,02016
2,17,1243,988,79.49,226,18.18,29,2.33,02017
2,18,765,593,77.52,154,20.13,18,2.35,02018
2,19,407,317,77.89,76,18.67,14,3.44,02019
2,20,536,399,74.44,118,22.01,19,3.54,02020
2,21,175,126,72.0,42,24.0,7,4.0,02021
2,22,641,507,79.1,113,17.63,21,3.28,02022
2,23,693,571,82.4,104,15.01,18,2.6,02023
2,24,547,434,79.34,102,18.65,11,2.01,02024
2,25,840,656,78.1,150,17.86,34,4.05,02025
3,1,704,658,93.47,30,4.26,16,2.27,03001
3,2,711,686,96.48,19,2.67,6,0.84,03002
3,3,510,463,90.78,38,7.45,9,1.76,03003
3,4,530,502,94.72,19,3.58,9,1.7,03004
3,5,135,123,91.11,8,5.93,4,2.96,03005
3,6,749,661,88.25,69,9.21,19,2.54,03006
3,7,376,347,92.29,21,5.59,8,2.13,03007
3,8,552,525,95.11,19,3.44,8,1.45,03008
3,9,438,397,90.64,30,6.85,11,2.51,03009
3,10,501,416,83.03,72,14.37,13,2.59,03010
3,11,758,715,94.33,29,3.83,14,1.85,03011
3,12,711,688,96.77,15,2.11,8,1.13,03012
3,13,927,781,84.25,125,13.48,21,2.27,03013
3,14,969,803,82.87,140,14.45,26,2.68,03014
3,15,576,547,94.97,20,3.47,9,1.56,03015
3,16,386,357,92.49,24,6.22,5,1.3,03016
3,17,208,191,91.83,9,4.33,8,3.85,03017
3,18,250,233,93.2,11,4.4,6,2.4,03018
3,19,1030,828,80.39,180,17.48,22,2.14,03019
3,20,654,624,95.41,24,3.67,6,0.92,03020
3,21,641,563,87.83,65,10.14,13,2.03,03021
3,22,526,488,92.78,32,6.08,6,1.14,03022
3,23,351,320,91.17,22,6.27,9,2.56,03023
3,24,139,136,97.84,1,0.72,2,1.44,03024
